file,n,dx,L,width,rate,kappa,eta,lapse_damping,order,k,kh_pi,gamma,factor50000,taper,plateau,corner
candidate-q0.0-orderafter.json,128,32,4096,512.0,0.001,0,2,0.1,after,0.0,0.0,1.7807668487099644e-06,1.0931225685043922,0,0,False
candidate-q0.0-orderbefore.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.0,0.0,1.6990180326767437e-06,1.0886636137814465,0,0,False
candidate-q0.001953125-orderafter.json,128,32,4096,512.0,0.001,0,2,0.1,after,0.00019174759848570515,0.001953125,1.7452213162436898e-06,1.09118151272444,0,0,False
coarse-h128-L8192-w1024-r0.001-k01-q32.json,64,128.0,8192.0,1024.0,0.001,0.1,2,0.1,before,0.0007669903939428206,0.03125,0.001421668380229263,7.432529326857097e+30,0,0,False
coarse-h128-L8192-w1024-r0.005-k01-q32.json,64,128.0,8192.0,1024.0,0.005,0.1,2,0.1,before,0.0007669903939428206,0.03125,0.0011087512187335808,1.1918642820519428e+24,0,0,False
coarse-h128-L8192-w1024-r0.02-k01-q32.json,64,128.0,8192.0,1024.0,0.02,0.1,2,0.1,before,0.0007669903939428206,0.03125,0.001239504936768626,8.232044634472497e+26,0,0,False
coarse-h128-L8192-w2048-r0.001-k01-q32.json,64,128.0,8192.0,2048.0,0.001,0.1,2,0.1,before,0.0007669903939428206,0.03125,0.0012968078594631654,1.4448570210882238e+28,0,0,False
coarse-h128-L8192-w2048-r0.005-k01-q32.json,64,128.0,8192.0,2048.0,0.005,0.1,2,0.1,before,0.0007669903939428206,0.03125,0.00055829767858787,1328250700142.0557,0,0,False
coarse-h128-L8192-w2048-r0.02-k01-q32.json,64,128.0,8192.0,2048.0,0.02,0.1,2,0.1,before,0.0007669903939428206,0.03125,0.0006555130409683291,171508174893577.97,0,0,False
coarse-h128-L8192-w2048-r005-k0.0-q32.json,64,128.0,8192.0,2048.0,0.005,0.0,2,0.1,before,0.0007669903939428206,0.03125,3.689914220977725e-16,1.0000000000184495,0,0,False
coarse-h128-L8192-w2048-r005-k0.0-q64.json,64,128.0,8192.0,2048.0,0.005,0.0,2,0.1,before,0.0003834951969714103,0.015625,1.0212137741575234e-05,1.6663021453898266,0,0,False
coarse-h128-L8192-w2048-r005-k0.0-q8.json,64,128.0,8192.0,2048.0,0.005,0.0,2,0.1,before,0.0030679615757712823,0.125,3.951246652144712e-16,1.0000000000197562,0,0,False
