resolution,event,event_time,before_time,after_time,field,before,after,ratio,delta_log10_abs,leaf_count,max_level
n256,5,0.30557312589868324,0.30305969096346536,0.30808547539811854,H-norm2,8.087578913464232e-05,8.36913197113841e-05,1.0348130213858497,0.014861884946362203,137,6
n256,5,0.30557312589868324,0.30305969096346536,0.30808547539811854,M-norm2,3.09884807298502e-05,3.9988645378372526e-05,1.290435814746244,0.11073640795407425,137,6
n256,5,0.30557312589868324,0.30305969096346536,0.30808547539811854,Z-norm2,1.895035921854166e-05,1.8923193611523164e-05,0.9985664859064034,-0.000623013916960069,137,6
n512,5,0.30557312589868324,0.30432707512218327,0.30716092953426744,C-norm2,3.969962577675801e-06,4.07624869432e-06,1.0267725739385742,0.011474259740141157,137,6
n512,5,0.30557312589868324,0.30432707512218327,0.30716092953426744,H-norm2,2.724127096251666e-06,2.8085647781275687e-06,1.0309962343504775,0.0132570790528721,137,6
n512,5,0.30557312589868324,0.30432707512218327,0.30716092953426744,M-norm2,7.960807604201982e-07,8.1363264606355e-07,1.0220478706633827,0.009471237753747808,137,6
n512,5,0.30557312589868324,0.30432707512218327,0.30716092953426744,Z-norm2,1.0951975163136477e-07,1.105478663383931e-07,1.0093874820908002,0.004057914532201501,137,6
n128,6,0.30682957468014205,0.3045064856257353,0.30808547539811854,C-norm2,0.03967072976880083,0.04361851978390081,1.0995139247023564,0.04120073381786593,179,7
n128,6,0.30682957468014205,0.3045064856257353,0.30808547539811854,H-norm2,0.016199728145710118,0.019334921913702695,1.193533727220158,0.0768346959348516,179,7
n128,6,0.30682957468014205,0.3045064856257353,0.30808547539811854,M-norm2,0.007062306582671137,0.007731171498899247,1.0947091305649788,0.03929874038946268,179,7
n128,6,0.30682957468014205,0.3045064856257353,0.30808547539811854,Z-norm2,0.003950011398438427,0.003985596816366262,1.0090089405670837,0.003895014424965204,179,7
n256,6,0.30682957468014205,0.30305969096346536,0.30808547539811854,C-norm2,0.00019043930764841045,0.0002022085423305184,1.0618004488014436,0.026042904572617154,179,7
