block,level,x,y,z,r,h,w,rho,alpha,K,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
21,4,-0.90625,-0.71875,-0.59375,1.30016525391967,0.0625,0.5302966870298221,1.1543397224330365,0.6121425305131637,-0.01158041699530473,1.3334779266351573e-05,6.155436469488269e-06,1.907131506321458e-05,15.838807072601023,-15.86075505332125
22,4,-0.03125,-0.53125,-0.65625,0.8449066146622359,0.0625,0.40864531536170773,1.2602920957490267,0.5150124609152286,-0.001531593625405011,8.614307189066313e-06,1.977406897678222e-06,6.643620588462118e-06,15.757924262731445,-15.756105385465531
23,4,-0.71875,-0.40625,-0.65625,1.0546585644178879,0.0625,0.4715458164471839,1.1994461826924887,0.5655938295021877,-0.007263283035721255,7.900193244379224e-06,2.0055015744490178e-06,5.8992829302513555e-06,15.806429917897942,-15.810838043338899
24,4,-0.03125,-0.03125,-0.59375,0.5953924651018015,0.0625,0.3131138686711304,1.3930466953516132,0.4361822400210772,0.006503389093112795,5.794162844807963e-06,2.732031029612839e-06,8.25246102962387e-06,15.663951636972996,-15.677668270381822
25,4,-0.90625,-0.71875,-0.09375,1.1604652892266965,0.0625,0.49857045410480844,1.177548855580169,0.5870910676572023,-0.009414210054778138,1.477686419120344e-05,1.7717870532802936e-06,1.591017773878675e-05,15.802817092909544,-15.83409096000652
27,4,-0.53125,-0.21875,-0.40625,0.7036456405748563,0.0625,0.3577441961375815,1.3233503438863525,0.4734209049820152,0.0030957236481547272,7.431972227683935e-06,4.873929470603489e-06,2.6069391434183676e-06,15.757933481858695,-15.713108463770029
28,5,-0.328125,-0.453125,-0.296875,0.6333427562347264,0.03125,0.3293519989573799,1.365824289284345,0.4498369599003417,0.005398563512609761,1.6136631710940864e-05,6.486254006123616e-06,9.798432070152038e-06,15.767697989094865,-15.690289700637562
29,5,-0.046875,-0.265625,-0.328125,0.42475866309588084,0.03125,0.2312205888923375,1.574101641950407,0.3639647086281685,0.008573176805581116,1.9002238645998486e-05,5.508864297661352e-06,1.3778920149580104e-05,15.747697730293627,-15.621580530593967
30,5,-0.390625,-0.234375,-0.328125,0.5614138819756775,0.03125,0.29797000331814205,1.420520756718045,0.4232725745927655,0.007452119007944182,1.4449781260245105e-05,5.055714281187426e-06,9.439399033640752e-06,15.76671983730811,-15.666343485140752
31,5,-0.015625,-0.046875,-0.296875,0.30095875444153475,0.03125,0.16223992327804984,1.8152263279943974,0.2945021801861072,0.00021370493447777289,7.372980732464764e-05,3.6095382461518706e-05,3.846364910060361e-05,15.698558191445901,-15.588461675701172
32,5,-0.296875,-0.421875,-0.046875,0.5179870141953368,0.03125,0.2777988872695341,1.4609230562215922,0.40584279940476536,0.008333362301010205,2.489322993499566e-05,8.633704227741338e-06,1.626378084774527e-05,15.732657919354176,-15.651966383483494
34,5,-0.265625,-0.203125,-0.203125,0.3912495007984036,0.03125,0.2133442069823812,1.6265749720768894,0.34702034751513283,0.0076069743318571284,3.8741853210194364e-05,5.1289686061519894e-05,1.4460191995793388e-05,15.787741047774858,-15.611810640135861
35,6,-0.2109375,-0.2421875,-0.1484375,0.3538122460695079,0.015625,0.19264810424262035,1.6955877231363723,0.3266517604392832,0.0054670593251643015,5.243337430781986e-05,0.00018902080114169875,0.00016713497186546312,15.790881084828468,-15.602646808754157
36,6,-0.0234375,-0.1328125,-0.1640625,0.21237933154794042,0.015625,0.10834261180766042,2.0874602346550257,0.22616089386715718,-0.01979802427065168,3.977045783628821e-05,2.820553460618231e-05,3.8396569866927596e-05,15.786971867083157,-15.57461515405085
37,6,-0.1796875,-0.0234375,-0.1796875,0.2551950464228293,0.015625,0.13475049641365014,1.9447178688425268,0.26205169821102625,-0.007602303005526342,5.1129392505184683e-05,2.6163151321739007e-05,2.5087077086653672e-05,15.787944298835482,-15.580844279862745
38,6,-0.0078125,-0.0234375,-0.1484375,0.15047937722076737,0.015625,0.06970680670995524,2.2761670346334775,0.15866433552276782,-0.04877498419774647,0.00028298880409196594,0.00036301486935501494,8.007332053991509e-05,15.697432603393146,-15.575320136650555
39,6,-0.1953125,-0.2265625,-0.0234375,0.3000447557761175,0.015625,0.1616709853244482,1.8175453758405862,0.2938443517840421,0.00026399387175952505,5.013973098941462e-05,1.8183893035781133e-05,3.462481937747753e-05,15.773770506050326,-15.588304031434282
41,6,-0.1640625,-0.0390625,-0.1171875,0.20536624106398305,0.015625,0.10396989305907728,2.112113598461276,0.21959622496064177,-0.02245979620589077,0.0001046612066660119,0.00016275232575354534,5.833890692666176e-05,15.784583035590726,-15.573730181386077
41,6,-0.1796875,-0.0078125,-0.0078125,0.18002685346567052,0.015625,0.08814473262234189,2.1989351464355895,0.19382455053643524,-0.03322833974973196,0.00015377362423237123,0.00018852935902656696,3.490629000999457e-05,15.714159220458438,-15.574857806192043
42,7,-0.11328125,-0.11328125,-0.11328125,0.19620888054491187,0.0078125,0.09819961835554858,2.142209515426572,0.21036415685251403,-0.024722419914918695,9.330270236439956e-05,0.000185919086958175,0.00027922178932257455,15.812157846466087,-15.579162407275009
