phase,receiver_gid,sender_gid,face,ghost_depth,variable,rho,z,abs_delta,relative_delta
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.984375,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.953125,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.921875,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.890625,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.859375,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.828125,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.796875,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,26,32,outer_x1,1,chi,6.015625,-1.765625,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.984375,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.953125,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.921875,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.890625,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.859375,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.828125,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.796875,0.0,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,26,32,outer_x1,1,chi,6.015625,-1.765625,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.984375,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.953125,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.921875,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.890625,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.859375,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.828125,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.796875,0.0,0.0
t3_05_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.765625,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.984375,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.953125,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.921875,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.890625,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.859375,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.828125,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.796875,0.0,0.0
t3_06_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.765625,0.0,0.0
