target_time,region,norm,coarse,medium,fine,p_coarse_medium,p_medium_fine
0.0,if2,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,all,H_L2,3.49633291010135017e-01,6.84005437036345088e-01,1.15349170084725561e+00,-1.6550894,-1.81652966
1.0,all,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,lt1,H_L2,3.01052186058033655e+00,3.11826567136568888e+00,3.19954993105975083e+00,-0.0867239441,-0.089450067
1.0,lt1,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,lt2,H_L2,2.95155882281994586e+00,3.10174644878547801e+00,3.20736008962761687e+00,-0.122407273,-0.11638846
1.0,lt2,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,r2to4,H_L2,3.49000097570340631e-02,2.38937614326254544e-01,3.17573196495412324e-01,-4.74446591,-0.988959234
1.0,r2to4,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,r4to8,H_L2,1.54949654756101024e-03,2.69015016396943014e-03,1.02768712302863611e-02,-1.3605781,-4.65895852
1.0,r4to8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,gt8,H_L2,1.97814544697224303e-05,1.60646617681163094e-05,1.38730500159675952e-05,0.513294272,0.509846953
1.0,gt8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,if64,H_L2,nan,nan,nan,nan,nan
1.0,if64,M_L2,nan,nan,nan,nan,nan
1.0,if32,H_L2,3.47891653632079377e-05,2.82525538754617642e-05,2.43983372517488351e-05,0.513292359,0.509829724
1.0,if32,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,if16,H_L2,8.87788025140222420e-09,2.38766792966026490e-09,9.79712219589839273e-10,3.23886239,3.09652084
1.0,if16,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,if8,H_L2,8.56882455313641443e-08,2.97046349654347722e-08,1.60978863166790529e-08,2.61283288,2.12948659
1.0,if8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,if4,H_L2,2.60781636787915530e-03,2.49529231326739681e-05,7.71890180454319521e-05,11.4665293,-3.92539656
1.0,if4,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
1.0,if2,H_L2,6.78224456484899096e-02,2.91498587929070130e-01,5.98873677481227440e-01,-3.59622058,-2.5028168
1.0,if2,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,all,H_L2,4.53873840114639160e-01,1.42979100662453895e+00,4.68903157088019373e+00,-2.82999515,-4.12850818
2.0,all,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,lt1,H_L2,3.97298475807530282e+00,5.78565368612154174e+00,9.60385122392898616e+00,-0.926993971,-1.76160729
2.0,lt1,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,lt2,H_L2,3.89273645854442085e+00,5.77432348235754311e+00,9.62307579720946826e+00,-0.972484995,-1.7753725
2.0,lt2,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,r2to4,H_L2,1.12437880907284585e-01,5.29594983254893958e-01,2.74491108106437753e+00,-3.82205916,-5.7194785
2.0,r2to4,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,r4to8,H_L2,5.64221235764808277e-03,1.60796751448554938e-02,8.24537215125865086e-02,-2.58290982,-5.68224884
2.0,r4to8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,gt8,H_L2,1.98274397411454730e-05,1.60986207532015309e-05,1.38970079510131585e-05,0.513812949,0.511189446
2.0,gt8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,if64,H_L2,nan,nan,nan,nan,nan
2.0,if64,M_L2,nan,nan,nan,nan,nan
2.0,if32,H_L2,3.48700567280391599e-05,2.83109796649877247e-05,2.44404972572474087e-05,0.513925317,0.511009331
2.0,if32,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,if16,H_L2,1.24768107817388356e-08,4.11155054008153836e-09,2.10322120326151657e-09,2.73777335,2.33010746
2.0,if16,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,if8,H_L2,1.95053301217521978e-07,9.54286961318775335e-08,6.57671778631769347e-08,1.76314439,1.29399246
2.0,if8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,if4,H_L2,1.15485256964366657e-02,1.96916042418793599e-04,7.33012546425005629e-02,10.0416424,-20.5767273
2.0,if4,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
2.0,if2,H_L2,2.12246702838346873e-01,6.76344126682299485e-01,3.23844483658354332e-01,-2.8583291,2.55990438
2.0,if2,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
