case	target	time	dt	GH_L2	reduction_L2	curl_L2	Psi_error_L2	Pi_L2	Phi_L2	bad_state	physical_lapse_min	G_lambda_min	G_condition_max	relative_lapse_min	relative_v2_max	r_core	transition_amplitude	feedback
fixed_core_tau4	2.2	2.2	0.003463792735241796	0.0030221837664085424	0.00040846189288649726	0.010911596633733535	0.1249750314682329	0.6127747939678249	0.2795817233741401	0.0	0.004530772756223845	0.9808874922648292	2.027480127446355	0.9999995997324651	0.0842694505598534	0.3	0.593126875	0.0
fixed_core_tau4	3.0	3.0024802614372	0.003400974711530614	0.07143173890799294	0.006890360637829971	0.4677958128157115	0.36582163192499245	1.7949191740652422	1.5044703428783872	0.0	0.004530767667065242	0.8353580951414188	5.92399999379242	0.9999984764899543	2.6804459020538	0.3	0.8971372685337891	0.0
fixed_width	0.5	0.5026791037511678	0.003587904315841504	5.998279573576962e-05	2.5919419940743278e-06	0.00011332487701779124	0.002435759412010859	0.08213951904397343	0.002965164757238977	0.0	0.004530774811974443	0.9992708327971193	1.008914111550965	1.000000053462962	2.526334810355578e-07	0.214575803488565	0.01629372478902176	0.0
fixed_width	1.0	1.000280029625192	0.003568837215680822	0.0005557996465029484	6.782900043602972e-05	0.0012661502398054354	0.021928509540410094	0.610928510422515	0.027186244497060804	0.0	0.004530770921703519	0.9993908139536616	1.061614190061801	0.9999991948303236	5.478242435043479e-05	0.1539963839929566	0.1035894747200673	0.0
fixed_width	1.5	1.501025396629015	0.003531635721320893	0.004398424637422509	0.0010691869121431964	0.015862910212050815	0.11563727681219137	3.058461355439158	0.16466281109330075	0.0	0.004531361996879529	0.9990254073119974	1.217727812948608	0.9992744923586542	0.003038872514884396	0.1102884136646199	0.2756300853706763	0.0
fixed_width	1.6	1.603304556604595	0.003522353638540804	0.008581174104109418	0.001734723046334461	0.03405608352145091	0.16908167531595905	4.501312706516639	0.2630711328103055	0.0	0.0045320965184453	0.9985853179092656	1.268916568117985	0.9990855163895167	0.007641757177760992	0.1030189312879826	0.3188685487793643	0.0
fixed_width	1.8	1.800024556235831	0.003503544334511837	0.04984290055746574	0.006106176392968911	0.30863772957497665	0.47756096519006724	14.648309763865756	1.0326539596812627	0.0	0.004534984627168796	0.9972357007670741	1.388239134376835	0.9993358704833084	0.07568919227696226	0.09035678434654904	0.4068844066998906	0.0
fixed_core_tau8	0.5	0.5027850639936354	0.003590782663778694	1.4844653746998998e-05	8.75910291335646e-07	3.7876557245409352e-06	0.0009791762752258653	0.013368974973571892	0.0010484225405058684	0.0	0.004530774797442789	0.9979255253491843	1.009610494519072	1.00000005025564	5.744952944377581e-08	0.3	0.002254289738127392	0.0
fixed_core_tau8	1.0	1.00168235125731	0.003586943178010516	3.3303272619610076e-05	6.879759124348433e-06	3.981859366079256e-05	0.004213550113338441	0.03264407708319541	0.00462369194016365	0.0	0.004530775093376311	0.9928878596725419	1.037665769456613	1.00000011557196	3.93987056130253e-06	0.3	0.0161278266473486	0.0
fixed_core_tau8	1.5	1.503306939699935	0.003578296142145126	6.713060430570587e-05	2.2577886338070786e-05	0.0001486254864926234	0.010488343162013117	0.061743566708093146	0.012494309329606603	0.0	0.004530774867601656	0.9862350786478978	1.09944535489394	1.000000065740601	4.811294548951583e-05	0.3	0.04905729596916814	0.0
fixed_core_tau8	1.6	1.603465169711929	0.003575910865405573	7.852953010504179e-05	2.725101621205286e-05	0.00018248032838380873	0.012204264248406094	0.06902242502215505	0.014849715423832887	0.0	0.004530774705506468	0.9848221725042651	1.117989007504496	1.000000029964116	7.162327066914105e-05	0.3	0.05825319665758544	0.0
fixed_core_tau8	1.8	1.803565129987342	0.003570462960302504	0.00010765520175952286	3.8472764388861046e-05	0.00026594317682139535	0.016195705479459397	0.08525261697692191	0.020611083523174974	0.0	0.004530774225025159	0.981984106657364	1.162924305182256	0.9999999239157348	0.0001478953488558561	0.3	0.07932987792442234	0.0
fixed_core_tau8	2.0	2.003334325088336	0.003564115912947646	0.00014663944058204402	5.261245583084563e-05	0.00037587352519638615	0.021038908443288516	0.10390397532332345	0.028052278356967678	0.0	0.004530773504130031	0.9791825558479529	1.220139460363078	0.9999997648049435	0.0002822691019613106	0.3	0.1039556973550676	0.0
