cycle,time,rk_stage,max_abs_prescribed_shift_state
1886,3.9254346416604911,2,0
1886,3.9254346416604911,3,0
1886,3.9254346416604911,4,0
1887,3.9279241208851849,1,0
1887,3.9279241208851849,2,0
1887,3.9279241208851849,3,0
1887,3.9279241208851849,4,0
1888,3.9304143247778613,1,0
1888,3.9304143247778613,2,0
1888,3.9304143247778613,3,0
1888,3.9304143247778613,4,0
1889,3.9329052534951567,1,0
1889,3.9329052534951567,2,0
1889,3.9329052534951567,3,0
1889,3.9329052534951567,4,0
1890,3.9353969071913601,1,0
1890,3.9353969071913601,2,0
1890,3.9353969071913601,3,0
1890,3.9353969071913601,4,0
1891,3.9378892860184185,1,0
1891,3.9378892860184185,2,0
1891,3.9378892860184185,3,0
1891,3.9378892860184185,4,0
1892,3.9403823901259436,1,0
1892,3.9403823901259436,2,0
1892,3.9403823901259436,3,0
1892,3.9403823901259436,4,0
1893,3.942876219661219,1,0
1893,3.942876219661219,2,0
1893,3.942876219661219,3,0
1893,3.942876219661219,4,0
1894,3.9453707747692071,1,0
1894,3.9453707747692071,2,0
1894,3.9453707747692071,3,0
1894,3.9453707747692071,4,0
1895,3.9478660555925535,1,0
1895,3.9478660555925535,2,0
1895,3.9478660555925535,3,0
1895,3.9478660555925535,4,0
1896,3.9503620622715969,1,0
1896,3.9503620622715969,2,0
1896,3.9503620622715969,3,0
1896,3.9503620622715969,4,0
1897,3.9528587949443725,1,0
1897,3.9528587949443725,2,0
1897,3.9528587949443725,3,0
1897,3.9528587949443725,4,0
1898,3.9553562537466203,1,0
1898,3.9553562537466203,2,0
1898,3.9553562537466203,3,0
1898,3.9553562537466203,4,0
1899,3.9578544388117916,1,0
1899,3.9578544388117916,2,0
1899,3.9578544388117916,3,0
1899,3.9578544388117916,4,0
1900,3.9603533502710544,1,0
1900,3.9603533502710544,2,0
1900,3.9603533502710544,3,0
1900,3.9603533502710544,4,0
1901,3.9628529882533008,1,0
1901,3.9628529882533008,2,0
1901,3.9628529882533008,3,0
1901,3.9628529882533008,4,0
1902,3.965353352885153,1,0
1902,3.965353352885153,2,0
1902,3.965353352885153,3,0
1902,3.965353352885153,4,0
1903,3.9678544442909707,1,0
1903,3.9678544442909707,2,0
1903,3.9678544442909707,3,0
1903,3.9678544442909707,4,0
1904,3.9703562625928561,1,0
1904,3.9703562625928561,2,0
1904,3.9703562625928561,3,0
1904,3.9703562625928561,4,0
1905,3.9728588079106619,1,0
1905,3.9728588079106619,2,0
1905,3.9728588079106619,3,0
1905,3.9728588079106619,4,0
1906,3.9753620803619958,1,0
1906,3.9753620803619958,2,0
1906,3.9753620803619958,3,0
1906,3.9753620803619958,4,0
1907,3.9778660800622281,1,0
1907,3.9778660800622281,2,0
1907,3.9778660800622281,3,0
1907,3.9778660800622281,4,0
1908,3.9803708071244985,1,0
1908,3.9803708071244985,2,0
1908,3.9803708071244985,3,0
1908,3.9803708071244985,4,0
1909,3.982876261659722,1,0
1909,3.982876261659722,2,0
1909,3.982876261659722,3,0
1909,3.982876261659722,4,0
1910,3.9853824437765941,1,0
1910,3.9853824437765941,2,0
1910,3.9853824437765941,3,0
1910,3.9853824437765941,4,0
1911,3.9878893535815996,1,0
1911,3.9878893535815996,2,0
1911,3.9878893535815996,3,0
1911,3.9878893535815996,4,0
1912,3.9903969911790158,1,0
1912,3.9903969911790158,2,0
1912,3.9903969911790158,3,0
1912,3.9903969911790158,4,0
1913,3.9929053566709216,1,0
1913,3.9929053566709216,2,0
1913,3.9929053566709216,3,0
1913,3.9929053566709216,4,0
1914,3.9954144501572024,1,0
1914,3.9954144501572024,2,0
1914,3.9954144501572024,3,0
1914,3.9954144501572024,4,0
1915,3.997924271735557,1,0
1915,3.997924271735557,2,0
1915,3.997924271735557,3,0
1915,3.997924271735557,4,0
1916,4.0004348215015026,1,0
1916,4.0004348215015026,2,0
1916,4.0004348215015026,3,0
1916,4.0004348215015026,4,0
1917,4.0029460995483825,1,0
1917,4.0029460995483825,2,0
1917,4.0029460995483825,3,0
1917,4.0029460995483825,4,0
1918,4.0054581059673717,1,0
1918,4.0054581059673717,2,0
1918,4.0054581059673717,3,0
1918,4.0054581059673717,4,0
1919,4.0079708408474826,1,0
1919,4.0079708408474826,2,0
1919,4.0079708408474826,3,0
1919,4.0079708408474826,4,0
1920,4.0104843042755718,1,0
1920,4.0104843042755718,2,0
1920,4.0104843042755718,3,0
1920,4.0104843042755718,4,0
1921,4.0129984963363476,1,0
1921,4.0129984963363476,2,0
1921,4.0129984963363476,3,0
1921,4.0129984963363476,4,0
1922,4.0155134171123725,1,0
1922,4.0155134171123725,2,0
1922,4.0155134171123725,3,0
1922,4.0155134171123725,4,0
1923,4.0180290666840737,1,0
1923,4.0180290666840737,2,0
1923,4.0180290666840737,3,0
1923,4.0180290666840737,4,0
1924,4.0205454451297458,1,0
1924,4.0205454451297458,2,0
1924,4.0205454451297458,3,0
1924,4.0205454451297458,4,0
1925,4.023062552525559,1,0
1925,4.023062552525559,2,0
1925,4.023062552525559,3,0
1925,4.023062552525559,4,0
1926,4.0255803889455635,1,0
1926,4.0255803889455635,2,0
1926,4.0255803889455635,3,0
1926,4.0255803889455635,4,0
1927,4.0280989544616972,1,0
1927,4.0280989544616972,2,0
1927,4.0280989544616972,3,0
1927,4.0280989544616972,4,0
1928,4.0306182491437905,1,0
1928,4.0306182491437905,2,0
1928,4.0306182491437905,3,0
1928,4.0306182491437905,4,0
1929,4.0331382730595733,1,0
1929,4.0331382730595733,2,0
1929,4.0331382730595733,3,0
1929,4.0331382730595733,4,0
1930,4.0356590262746801,1,0
1930,4.0356590262746801,2,0
1930,4.0356590262746801,3,0
1930,4.0356590262746801,4,0
1931,4.0381805088526574,1,0
1931,4.0381805088526574,2,0
