# PC-GH Gauge A0 M=1; derivatives are d/d(log(r/M))
# log_r A dx_A chi dx_chi beta_r dx_beta_r K dx_K At_radial dx_At_radial h_perp dx_h_perp h_radial dx_h_radial
-1.83262387772475321e+01 2.04528387555170823e-18 4.46402473835805176e-18 7.01283013299183301e-17 1.40256602459250902e-16 6.06146347776474423e-09 6.06146345648869190e-09 3.00936506178439145e-01 -1.45290718858239647e-09 -1.35362578608525785e+00 4.35474207725070058e-09 6.01873011926498669e-01 -3.37548159319765304e-09 -3.34302295701352050e-09 -3.34302292070107619e-09
-1.83194929224829011e+01 2.07562018880098380e-18 4.53023659987587487e-18 7.10808633959976143e-17 1.42161726587182631e-16 6.10249145871598323e-09 6.10249143713765098e-09 3.00936506168601903e-01 -1.46361077920797501e-09 -1.35362578605577277e+00 4.38690144026904465e-09 6.01873011903644173e-01 -3.40035542345508492e-09 -3.36565074017003012e-09 -3.36565070334217247e-09
-1.83127470677182700e+01 2.10640649877246938e-18 4.59743062163124323e-18 7.20463642396003911e-17 1.44092728270072302e-16 6.14379714408969127e-09 6.14379712220478356e-09 3.00936506158692274e-01 -1.47442968875052787e-09 -1.35362578602607053e+00 4.41929283234958413e-09 6.01873011880621478e-01 -3.42548864214563792e-09 -3.38843168307776544e-09 -3.38843164572692161e-09
-1.83060012129536389e+01 2.13764945910280117e-18 4.66562132581288341e-18 7.30249796098663663e-17 1.46049959006197429e-16 6.18538241357245387e-09 6.18538239137661558e-09 3.00936506148709149e-01 -1.48532732605655082e-09 -1.35362578599614825e+00 4.45200100504936631e-09 6.01873011857428031e-01 -3.45081943500181602e-09 -3.41136682242284415e-09 -3.41136678454138049e-09
-1.82992553581890078e+01 2.16935606864925874e-18 4.73482398808611750e-18 7.40168876431592093e-17 1.48033775068283403e-16 6.22724915957382492e-09 6.22724913706263726e-09 3.00936506138652526e-01 -1.49628846905459214e-09 -1.35362578596600525e+00 4.48478998033118295e-09 6.01873011834063720e-01 -3.47628550835327391e-09 -3.43445720190836945e-09 -3.43445716348960773e-09
-1.82925095034243768e+01 2.20153231407098136e-18 4.80505167489845197e-18 7.50222688954925084e-17 1.50044537568355527e-16 6.26939928731242466e-09 6.26939926448140926e-09 3.00936506128521408e-01 -1.50736122361767845e-09 -1.35362578593563976e+00 4.51802518312394560e-09 6.01873011810526437e-01 -3.50200035688373689e-09 -3.45770387230190906e-09 -3.45770383333725570e-09
-1.82857636486597457e+01 2.23418649486909890e-18 4.87632250069292244e-18 7.60413063753962922e-17 1.52082612523471739e-16 6.31183471490264965e-09 6.31183469174726117e-09 3.00936506118315572e-01 -1.51846713545772927e-09 -1.35362578590504912e+00 4.55136961594238765e-09 6.01873011786815515e-01 -3.52781916336008903e-09 -3.48110789148331237e-09 -3.48110785196548115e-09
-1.82790177938951146e+01 2.26732448755442985e-18 4.94864929150795747e-18 7.70741855772298488e-17 1.54148370922348667e-16 6.35455737344196521e-09 6.35455734995759542e-09 3.00936506108034352e-01 -1.52972379515517724e-09 -1.35362578587423332e+00 4.58501586673806863e-09 6.01873011762929400e-01 -3.55396083419962965e-09 -3.50467032449286814e-09 -3.50467028441353472e-09
-1.82722719391304871e+01 2.30095479609206924e-18 5.02205060804845696e-18 7.81210945149464026e-17 1.56242188792890615e-16 6.39756920709874285e-09 6.39756918328071570e-09 3.00936506097676859e-01 -1.54103553607652568e-09 -1.35362578584318882e+00 4.61892556972759434e-09 6.01873011738866204e-01 -3.58023767020107871e-09 -3.52839224357973133e-09 -3.52839220293118060e-09
-1.82655260843658560e+01 2.33508317596000999e-18 5.09653901218730089e-18 7.91822237563196074e-17 1.58364447270642845e-16 6.44087217320085051e-09 6.44087214904442790e-09 3.00936506087242983e-01 -1.55242056633903009e-09 -1.35362578581191584e+00 4.65296085294583448e-09 6.01873011714625483e-01 -3.60668782607810028e-09 -3.55227472825080289e-09 -3.55227468702528913e-09
