resolution,time,axisTau,dt,C-norm2,H-norm2,M-norm2,Z-norm2,axisKret,maxAbsKret,max_abs_K,nmb_total,maxRefLev,axisLapse
n512,0.621312925683933,0.3826521662619128,0.002744757591235993,7.1897397882193035e-06,4.4012432495499395e-06,1.6062149605166761e-06,2.871146197226089e-07,0.0005645424987091734,26.25833238024581,0.2996467888516743,44.0,1.0,0.615877332685343
n512,0.6323180367236807,0.38942996499421256,0.0027552346452797793,7.342554256709632e-06,4.473086810508512e-06,1.6354866723098351e-06,2.998719095912661e-07,0.0005645119809518215,24.713265695484317,0.29848025175251663,44.0,1.0,0.6158773875025025
n512,0.6433655554275841,0.3962338822691821,0.00276579748919409,7.497591008522623e-06,4.5448987113694796e-06,1.6646593529066413e-06,3.1322104570787626e-07,0.0005644807736803841,23.1985416076065,0.29710070539589134,44.0,1.0,0.6158774453859026
n512,0.6544551049866308,0.4030636860581187,0.0027763857712632626,7.655359277307402e-06,4.6172094110892594e-06,1.6936534850707056e-06,3.27176938103352e-07,0.0005644488656157414,21.71668551586869,0.2955363746324291,44.0,1.0,0.6158775064618779
n512,0.6655877106723972,0.40992000784405963,0.002787159578125469,7.816339827961235e-06,4.690492050816863e-06,1.7224130030235946e-06,3.417557373345866e-07,0.0005644162443804379,20.269971891092368,0.29380451155628906,44.0,1.0,0.6158775708685144
n512,0.6767629198720515,0.41680256891626866,0.002797832098868283,7.980856929216847e-06,4.765048784540452e-06,1.7509042050678138e-06,3.569715625443711e-07,0.0005643829056240909,18.860796971856427,0.29186897054815075,44.0,1.0,0.6158776387398348
n512,0.6879815822827006,0.4237118926295402,0.002808745404665256,8.149048496010587e-06,4.84095758227252e-06,1.7791230999844125e-06,3.7284049770196987e-07,0.0005643488454307374,17.49130412017833,0.28973164522009026,44.0,1.0,0.6158777102219188
n512,0.6992432835955996,0.4306477238678572,0.002819477230913524,8.320785897528692e-06,4.9180187132921414e-06,1.8070839967399597e-06,3.8937686204904994e-07,0.0005643140669623747,16.16369492884572,0.28739479602513507,44.0,1.0,0.6158777854574572
n512,0.7105486892442547,0.4376104725065736,0.002830466419630359,8.4957569888115e-06,4.99582664388679e-06,1.8348184537160204e-06,4.065962690744292e-07,0.0005642785731442596,14.879927718860586,0.28486060787900325,44.0,1.0,0.6158778646006828
n512,0.721897366001056,0.44459987178232624,0.0028412346309222335,8.67359176759649e-06,5.07391956832647e-06,1.8623623933550597e-06,4.2451292374699184e-07,0.000564242371725788,13.641959130557783,0.28213163697959265,44.0,1.0,0.6158779478029154
n512,0.7332898737508298,0.4516162665700462,0.0028522434270074025,8.854047740162904e-06,5.1519506113831355e-06,1.8897561514042608e-06,4.4314310357758273e-07,0.0005642054674590979,12.451490527259837,0.27933116748723386,44.0,1.0,0.61587803522724
n512,0.7447256974055095,0.4586593396949562,0.0028630270569869392,9.037025125884238e-06,5.229722387457584e-06,1.9170385417046628e-06,4.625017771920535e-07,0.0005641678675279134,11.31017827653025,0.27637443351746294,44.0,1.0,0.6158781270333024
n512,0.7562053668639203,0.46572941756922503,0.002874006048126965,9.222579542839599e-06,5.307178792264554e-06,1.9442538794300605e-06,4.826059952907574e-07,0.0005641295721476081,10.219399329446071,0.27323600856813224,44.0,1.0,0.6158782233937282
n512,0.7677282320913467,0.47282609991228897,0.0028847860165539642,9.410875206602052e-06,5.384376324505497e-06,1.971448061223951e-06,5.034713273399704e-07,0.0005640905814720797,10.017992637896777,0.2700957134511453,44.0,1.0,0.6158783244762562
n512,0.7792948208822368,0.4799497118455317,0.00289569218643705,9.602211255396964e-06,5.4614888065211645e-06,1.998672591753275e-06,5.251162259122456e-07,0.0005640508865358219,10.564882739863293,0.266824566397285,44.0,1.0,0.6158784304635239
n512,0.7909043785391917,0.4870997886340786,0.0029064512328075536,9.796911714997737e-06,5.5387264142276125e-06,2.025974432770594e-06,5.475573485278649e-07,0.000564010477182702,11.107820572204734,0.2635273569116776,44.0,1.0,0.6158785415315454
n512,0.802557401547503,0.4942766361222424,0.00291724757502764,9.99526240474608e-06,5.6162547144202145e-06,2.0533956670259795e-06,5.708141296428195e-07,0.0005639693341400852,11.630111505819212,0.2602023945597099,44.0,1.0,0.6158786578729238
n512,0.8142530897878636,0.50147976160621,0.002927970177459981,1.019743380928339e-05,5.694150232278588e-06,2.0809607085876315e-06,5.949038632556081e-07,0.0005639274384886104,12.130139134248244,0.2568274209963397,44.0,1.0,0.6158787796725075
n512,0.8259918530376438,0.5087094175346055,0.002938625227665141,1.0403580654958457e-05,5.772479898498646e-06,2.108676981690985e-06,6.198465607561684e-07,0.0005638847651544117,12.607594189344212,0.2535184843064177,44.0,1.0,0.6158789071324283
n512,0.8377729261952265,0.5159651327759978,0.002949297507518321,1.0613845915604274e-05,5.851331571564367e-06,2.136529116819984e-06,6.456597801897642e-07,0.0005638412923832348,13.062141774564997,0.2500832401212342,44.0,1.0,0.6158790404472799
n512,0.8495965298823797,0.5232470432882221,0.002959784857556131,1.0828376889280542e-05,5.9308016259608194e-06,2.164489937495873e-06,6.723629578683882e-07,0.0005637969971105646,13.493512677557751,0.24684916550182176,44.0,1.0,0.6158791798275998
n512,0.8614620850235452,0.5305547925154469,0.0029703944819719145,1.1047260590636798e-05,6.010940910210344e-06,2.1925254800393242e-06,6.999734956106424e-07,0.0005637518628214543,13.901435860535015,0.24348190971227684,44.0,1.0,0.6158793254796991
