axisTau,field,n128,n256,n512,E_128_256,E_256_512,Q,p
0.3695471477359898,C-norm2,0.024442497840812785,8.726003325293779e-05,6.897454208393245e-06,0.024355237807559847,8.036257904454455e-05,303.0669012508903,8.24349248990543
0.37339659719157303,C-norm2,0.023703691044475783,8.823899686383102e-05,6.9830285129081735e-06,0.02361545204761195,8.125596835092284e-05,290.6303687825504,8.183041651874307
0.3772460466471562,C-norm2,0.022964884248138792,8.921796047472425e-05,7.068793705609446e-06,0.02287566628766407,8.21491667691148e-05,278.46498251111313,8.121352107164476
0.38109549610273946,C-norm2,0.022333176661997897,9.018161307479111e-05,7.154913855557036e-06,0.022242995048923107,8.302669921923408e-05,267.9017142448349,8.065560002476516
0.3849449455583227,C-norm2,0.021762551023614102,9.110834234118995e-05,7.241433540628447e-06,0.021671442681272912,8.386690880056151e-05,258.40278354372606,8.013477800762834
0.38879439501390595,C-norm2,0.021191925385230306,9.20350716075888e-05,7.3282244879211144e-06,0.021099890313622718,8.470684711966769e-05,249.09309024115043,7.960541192031561
0.39264384446948913,C-norm2,0.02062129974684652,9.296180087398763e-05,7.4157869863899835e-06,0.020528337945972534,8.554601388759765e-05,239.96837506590947,7.906700478350728
0.3964932939250724,C-norm2,0.020050674108462726,9.349124692771705e-05,7.503583410225099e-06,0.01995718286153501,8.598766351749194e-05,232.09355906589138,7.8585626761252225
0.4003427433806556,C-norm2,0.01948004847007893,9.390322021172792e-05,7.5925055806343956e-06,0.019386145249867204,8.631071463109352e-05,224.6087908404749,7.811270583469465
0.4041921928362388,C-norm2,0.018909422831695145,9.43151934957388e-05,7.681855647843987e-06,0.018815107638199408,8.663333784789481e-05,217.18091563358382,7.7627535243605825
0.40804164229182205,C-norm2,0.018475007792526893,9.455971007476503e-05,7.772237417022991e-06,0.01838044808245213,8.678747265774204e-05,211.7868802901759,7.726469410235503
0.4118910917474053,C-norm2,0.01814161403809811,9.422073183053572e-05,7.863455575530758e-06,0.018047393306267572,8.635727625500497e-05,208.98520760399282,7.707257018819537
0.41574054120298853,C-norm2,0.017808220283669327,9.388175358630641e-05,7.955470780222475e-06,0.017714338530083022,8.592628280608393e-05,206.15739389146222,7.687602394581849
0.4195899906585717,C-norm2,0.01747482652924055,9.35427753420771e-05,8.048710289344173e-06,0.017381283753898472,8.549406505273293e-05,203.30398072869338,7.667494653463619
0.42343944011415496,C-norm2,0.017141432774811765,9.274196849093552e-05,8.142416267251133e-06,0.017048690806320828,8.459955222368439e-05,201.52223455324503,7.654795214185658
0.4272888895697382,C-norm2,0.016808039020382984,9.168948050259565e-05,8.237618148102769e-06,0.01671634953988039,8.345186235449288e-05,200.3112820762641,7.6460998697226366
0.4311383390253214,C-norm2,0.016474645265954206,9.063699251425579e-05,8.333114860407526e-06,0.01638400827343995,8.230387765384827e-05,199.0672704674673,7.637112230442464
0.43498778848090464,C-norm2,0.016233209428242506,8.956509834124057e-05,8.42984998715563e-06,0.016143644329901265,8.113524835408494e-05,198.9720208835532,7.636421765415677
0.4388372379364879,C-norm2,0.016130211631251116,8.806617548756797e-05,8.526970194731315e-06,0.01604214545576355,7.953920529283666e-05,201.68853079059255,7.655985235837675
0.4426866873920711,C-norm2,0.016027213834259726,8.656725263389537e-05,8.624913661024981e-06,0.01594064658162583,7.79423389728704e-05,204.51845289341824,7.676087207498199
0.4465361368476543,C-norm2,0.01592421603726834,8.506832978022279e-05,8.72339093170876e-06,0.015839147707488118,7.634493884851403e-05,207.46820871671193,7.696746472544537
0.45038558630323755,C-norm2,0.01582121824027695,8.35446386679646e-05,8.822395643725294e-06,0.015737673601608985,7.47222430242393e-05,210.6156475589713,7.718468814253853
0.4542350357588208,C-norm2,0.015718220443285556,8.19856370361905e-05,8.922082748670028e-06,0.015636234806249365,7.306355428752048e-05,214.00867995988105,7.741525501733492
0.45808448521440404,C-norm2,0.015615222646294167,8.042663540441643e-05,9.022090541483913e-06,0.015534796010889751,7.14045448629325e-05,217.56032533657626,7.765271678077583
0.4619339346699872,C-norm2,0.01553229498622888,7.886763377264236e-05,9.122966974356405e-06,0.015453427352456238,6.974466679828595e-05,221.5714557379751,7.79162822586519
0.46578338412557047,C-norm2,0.015601562816837784,7.754186076270042e-05,9.224011432849156e-06,0.015524020956075083,6.831784932985127e-05,227.23228421788025,7.828024011290718
0.4696328335811537,C-norm2,0.015670830647446687,7.62926806216589e-05,9.326148544998115e-06,0.015594537966825028,6.696653207666078e-05,232.87062183499341,7.863384835307416
0.4734822830367369,C-norm2,0.01574009847805559,7.504350048061739e-05,9.428499901419e-06,0.01566505497757497,6.561500057919839e-05,238.74197728104855,7.899308443210791
0.47733173249232014,C-norm2,0.015809366308664495,7.382991888464441e-05,9.531893861641611e-06,0.015735536389779852,6.429802502300281e-05,244.72814498035387,7.935036217994741
0.4811811819479034,C-norm2,0.015878634139273397,7.312119970766469e-05,9.635744852588596e-06,0.01580551293956573,6.34854548550761e-05,248.96274234226382,7.959786046687184
0.4850306314034866,C-norm2,0.015947901969882303,7.241248053068497e-05,9.740567444062377e-06,0.015875489489351618,6.26719130866226e-05,253.31107201736694,7.984766327209851
0.4888800808590698,C-norm2,0.016017169800491206,7.170376135370526e-05,9.846114682089207e-06,0.0159454660391375,6.185764667161605e-05,257.7767971644195,8.009978600400864
0.49272953031465305,C-norm2,0.016144844035259807,7.11952498414253e-05,9.952504145697786e-06,0.016073648785418383,6.12427456957275e-05,262.4580038471354,8.035942784025643
0.4965789797702363,C-norm2,0.01629527965699173,7.105722512736047e-05,1.0059882693546893e-05,0.01622422243186437,6.0997342433813577e-05,265.9824475052958,8.05518723349897
0.5004284292258195,C-norm2,0.01644571527872366,7.091920041329564e-05,1.0167925876310102e-05,0.016374796078310362,6.0751274536985534e-05,269.5383134446232,8.074346548792855
0.5042778786814027,C-norm2,0.01659615090045558,7.078117569923081e-05,1.0277219488518133e-05,0.016525369724756347,6.0503956210712675e-05,273.1287466096375,8.093437354513622
0.5081273281369859,C-norm2,0.016746586522187502,7.08992277355525e-05,1.0386982922727677e-05,0.01667568729445195,6.0512244812824824e-05,275.5754202481304,8.10630340340639
0.5119767775925692,C-norm2,0.01689702214391943,7.118195183218327e-05,1.0498266332573286e-05,0.016825840192087247,6.0683685499609985e-05,277.2712311976402,8.115154124357609
0.5158262270481524,C-norm2,0.017047457765651353,7.146467592881405e-05,1.0609820530359828e-05,0.01697599308972254,6.085485539845422e-05,278.9587285775351,8.123907883582332
0.5196756765037357,C-norm2,0.017193347748755524,7.174740002544483e-05,1.072316153510326e-05,0.01712160034873008,6.1024238490341574e-05,280.5704876012496,8.132219453791198
0.5235251259593189,C-norm2,0.01732269011750027,7.21768784811252e-05,1.0836706097418381e-05,0.017250513239019147,6.134017238370682e-05,281.2270094565504,8.135591349397714
0.5273745754149021,C-norm2,0.017452032486245023,7.263457829503214e-05,1.0952005859194944e-05,0.01737939790794999,6.16825724358372e-05,281.7554006203001,8.138299453671607
0.5312240248704854,C-norm2,0.017581374854989774,7.309227810893907e-05,1.106763798114617e-05,0.017508282576880835,6.202464012779291e-05,282.27947055891855,8.140980398973864
0.5350734743260686,C-norm2,0.017710717223734525,7.354756689256164e-05,1.1184849491037967e-05,0.017637169656841964,6.236271740152367e-05,282.81592579240373,8.143719552548637
0.5389229237816517,C-norm2,0.017840059592479272,7.394811779930078e-05,1.130257851326305e-05,0.01776611147467997,6.264553928603774e-05,283.5973906068621,8.147700448107237
0.542772373237235,C-norm2,0.017969401961224023,7.434866870603992e-05,1.1421715504160917e-05,0.017895053292517983,6.2926953201879e-05,284.3781937941282,8.151667032681383
0.5466218226928182,C-norm2,0.018098744329968774,7.474921961277906e-05,1.1541539238392259e-05,0.018023995110355996,6.32076803743868e-05,285.1551425965591,8.155603240829365
0.5504712721484014,C-norm2,0.018168270679574383,7.510801544623531e-05,1.1662599709461262e-05,0.018093162664128148,6.344541573677405e-05,285.1768319904166,8.155712970538964
0.5543207216039847,C-norm2,0.018197944542705045,7.531762098157219e-05,1.1784491510714276e-05,0.01812262692172347,6.353312947085792e-05,285.2468794258932,8.156067293426581
0.5581701710595679,C-norm2,0.018227618405835706,7.552722651690905e-05,1.1907446841329015e-05,0.018152091179318798,6.361977967558004e-05,285.32150334192903,8.156444669942566
0.5620196205151511,C-norm2,0.018257292268966364,7.573683205224592e-05,1.203135858557304e-05,0.018181555436914118,6.370547346667288e-05,285.40020892279665,8.156842580691318
0.5658690699707344,C-norm2,0.018286966132097026,7.587358918651092e-05,1.2156175212419724e-05,0.018211092542910517,6.37174139740912e-05,285.8102896378613,8.158914046524385
0.5697185194263176,C-norm2,0.018316639995227684,7.588584610808379e-05,1.2282074853311043e-05,0.0182407541491196,6.360377125477276e-05,286.78730504916143,8.163837352768592
0.5735679688819009,C-norm2,0.018346313858358346,7.589810302965666e-05,1.2408750695959136e-05,0.01827041575532869,6.348935233369752e-05,287.7713361966603,8.168779087668167
0.5774174183374841,C-norm2,0.018375987721489007,7.591035995122953e-05,1.2536649725684153e-05,0.018300077361537777,6.337371022554537e-05,288.76449392671316,8.173749551165441
0.5812668677930672,C-norm2,0.018303687576153475,7.587182200575279e-05,1.266522290645965e-05,0.01822781575414772,6.320659909929314e-05,288.38469422335316,8.171850786551673
0.5851163172486505,C-norm2,0.018217800405219614,7.578116202546565e-05,1.2795165014484889e-05,0.018142019243194148,6.298599701098075e-05,288.0325803214853,8.170088198698485
0.5889657667042337,C-norm2,0.018131913234285757,7.56905020451785e-05,1.2925692326644362e-05,0.018056222732240577,6.276480971853414e-05,287.68067350499217,8.168324493316108
0.5928152161598169,C-norm2,0.018046026063351896,7.559984206489136e-05,1.3057726504955234e-05,0.017970426221287004,6.254211555993613e-05,287.33320036264786,8.16658089072458
0.5966646656154002,C-norm2,0.017960138892418036,7.552772493582845e-05,1.3190263010495001e-05,0.017884611167482207,6.233746192533344e-05,286.89989317986726,8.164403620729317
0.6005141150709834,C-norm2,0.01787425172148418,7.546835726828737e-05,1.3324428757649618e-05,0.017798783364215892,6.214392851063775e-05,286.41226569976357,8.161949467590949
0.6043635645265666,C-norm2,0.017788364550550318,7.540898960074631e-05,1.3459019224617743e-05,0.01771295556094957,6.194997037612857e-05,285.92355175322206,8.159485650590682
0.6082130139821499,C-norm2,0.017698515793746435,7.534962193320525e-05,1.3595332429760386e-05,0.01762316617181323,6.175428950344486e-05,285.37557979401817,8.156718075333261
