selection_rank,receiver_gid,receiver_i,receiver_j,variable,offset_i,offset_j,operators,source_gid,source_i,source_j,source_status,source_rho,source_z,writer,receiver_stored_value,expected_sender_active_value,absolute_mismatch,exact_byte_equal
1,30,8,31,gamma_xy,0,-3,pure_z,30,8,28,ACTIVE,5.1328125,-0.0546875,ACTIVE_STATE,-0.0025214983497937236,-0.0025214983497937236,0.0,True
1,30,8,31,gamma_xy,1,-3,mixed_rho_z,30,9,28,ACTIVE,5.1484375,-0.0546875,ACTIVE_STATE,-0.0030337559812960127,-0.0030337559812960127,0.0,True
1,30,8,31,gamma_xy,2,-3,mixed_rho_z,30,10,28,ACTIVE,5.1640625,-0.0546875,ACTIVE_STATE,-0.004173159859530304,-0.004173159859530304,0.0,True
1,30,8,31,gamma_xy,3,-3,mixed_rho_z,30,11,28,ACTIVE,5.1796875,-0.0546875,ACTIVE_STATE,-0.005105611807539437,-0.005105611807539437,0.0,True
1,30,8,31,gamma_xy,-3,-2,mixed_rho_z,30,5,29,ACTIVE,5.0859375,-0.0390625,ACTIVE_STATE,-0.0004145770517816486,-0.0004145770517816486,0.0,True
1,30,8,31,gamma_xy,-2,-2,mixed_rho_z,30,6,29,ACTIVE,5.1015625,-0.0390625,ACTIVE_STATE,-0.0010618791769504657,-0.0010618791769504657,0.0,True
1,30,8,31,gamma_xy,-1,-2,mixed_rho_z,30,7,29,ACTIVE,5.1171875,-0.0390625,ACTIVE_STATE,-0.0018145009157717663,-0.0018145009157717663,0.0,True
1,30,8,31,gamma_xy,0,-2,pure_z,30,8,29,ACTIVE,5.1328125,-0.0390625,ACTIVE_STATE,-0.0026387736304850935,-0.0026387736304850935,0.0,True
1,30,8,31,gamma_xy,1,-2,mixed_rho_z,30,9,29,ACTIVE,5.1484375,-0.0390625,ACTIVE_STATE,-0.0032888323059040462,-0.0032888323059040462,0.0,True
1,30,8,31,gamma_xy,2,-2,mixed_rho_z,30,10,29,ACTIVE,5.1640625,-0.0390625,ACTIVE_STATE,-0.0037408664537780293,-0.0037408664537780293,0.0,True
1,30,8,31,gamma_xy,3,-2,mixed_rho_z,30,11,29,ACTIVE,5.1796875,-0.0390625,ACTIVE_STATE,-0.004134436927384378,-0.004134436927384378,0.0,True
1,30,8,31,gamma_xy,-3,-1,mixed_rho_z,30,5,30,ACTIVE,5.0859375,-0.0234375,ACTIVE_STATE,0.0020636735467328463,0.0020636735467328463,0.0,True
1,30,8,31,gamma_xy,-2,-1,mixed_rho_z,30,6,30,ACTIVE,5.1015625,-0.0234375,ACTIVE_STATE,0.0012911323351315295,0.0012911323351315295,0.0,True
1,30,8,31,gamma_xy,-1,-1,mixed_rho_z,30,7,30,ACTIVE,5.1171875,-0.0234375,ACTIVE_STATE,-0.0007853428304555473,-0.0007853428304555473,0.0,True
1,30,8,31,gamma_xy,0,-1,pure_z,30,8,30,ACTIVE,5.1328125,-0.0234375,ACTIVE_STATE,-0.0039448074292645794,-0.0039448074292645794,0.0,True
