axis_tau,region,family,variable,observed_order_rms,difference_128_256_rms,difference_256_512_rms,worst_rho,worst_z,N128_value,N256_value,N512_value,worst_abs_difference_256_512
1.0,outer_layer_0,rhs,rhs_z4c_Azz,-0.7567782697387414,3.2796241272045276e-07,5.541623699906785e-07,16.0,0.0,8.918901345706771e-06,7.865436744341525e-06,9.159128363005133e-06,1.2936916186636078e-06
1.0,outer_layer_0,constraints,con_Z,-0.42287944531529925,9.500691962733152e-11,1.2736632998386345e-10,16.0,0.0,4.2520192331025324e-09,3.958817186935666e-09,3.5675739367922474e-09,3.9124325014341884e-10
1.0,outer_layer_0,rhs,rhs_z4c_Theta,-0.29094015653112754,1.4995253344314187e-06,1.8345752136843437e-06,16.0,0.0,1.393689849958366e-05,1.0211146666135597e-05,5.584987612000973e-06,4.626159054134625e-06
1.0,outer_layer_0,constraints,con_M,-0.11728646105561989,1.0187381784553804e-11,1.1050179302779904e-11,16.0,0.25,8.770903010437758e-10,8.538400762565486e-10,8.280635759717818e-10,2.5776500284766758e-11
1.0,outer_layer_0,state,state_z4c_Theta,-0.0009874414710431773,1.3470689818132006e-06,1.3479912883639336e-06,16.0,0.0,1.5143669448200786e-05,1.1768269002112714e-05,8.383169327088098e-06,3.3850996750246162e-06
1.0,outer_layer_1,state,state_z4c_Ayy,-3.927530441638088,9.109329805577381e-08,1.3860883008514334e-06,15.875,0.0,3.026754416889464e-05,3.0159819392115286e-05,3.2701231958297714e-05,2.541412566182428e-06
1.0,outer_layer_1,state,state_z4c_Axx,-3.1452193675453946,1.9573709718288255e-07,1.7317233622147573e-06,15.875,0.0,-6.146027581397502e-05,-6.086409926560822e-05,-6.576223437560092e-05,4.898135109992699e-06
1.0,outer_layer_1,state,state_z4c_Azz,-2.6813204780432836,1.5003734904114018e-07,9.624036778984788e-07,15.875,0.0,3.118151043591479e-05,3.0693385525087995e-05,3.304927032880469e-05,2.3558848037166972e-06
1.0,outer_layer_1,rhs,rhs_z4c_Azz,-2.2676621870308242,2.376596388645553e-07,1.1444314159747119e-06,15.875,0.0,7.81868749518219e-06,8.143696750449606e-06,1.0938670788666374e-05,2.794974038216768e-06
1.0,outer_layer_1,rhs,rhs_z4c_Axx,-2.070478217611347,4.915529557268286e-07,2.064649620751004e-06,15.875,0.0,-1.4272264503159116e-05,-1.5472616270138907e-05,-2.1331104714513827e-05,5.8584884443749196e-06
1.0,outer_layer_1,rhs,rhs_z4c_Ayy,-1.786075641099788,4.813410201230787e-07,1.6600272474411454e-06,15.875,0.0,6.438975774951782e-06,7.314596583835579e-06,1.0376093313376918e-05,3.0614967295413393e-06
1.0,outer_layer_1,rhs,rhs_z4c_Theta,-0.13960711206898144,1.036040347161831e-06,1.1413073052052493e-06,15.875,0.0,1.016136217754219e-05,7.486458894344956e-06,4.6666098314894225e-06,2.8198490628555337e-06
1.0,outer_layer_1,constraints,con_Z,-0.05665659131430074,8.784387066728833e-11,9.13622522697482e-11,15.875,0.0,3.4437354957198442e-09,3.174196751588145e-09,2.8957726676713682e-09,2.7842408391677665e-10
1.25,outer_layer_0,rhs,rhs_z4c_Axx,-3.4994433307327975,1.5629011729597762e-07,1.7675386853634943e-06,16.0,0.0,-8.143021297101059e-06,-7.833811355525867e-06,-1.2801175775316833e-05,4.967364419790966e-06
1.25,outer_layer_0,rhs,rhs_z4c_Ayy,-3.086895809268521,1.7074214614015424e-07,1.4507379369887252e-06,0.0,-16.0,-1.4538744646153816e-05,-1.4723942542528131e-05,-1.7389298552560504e-05,2.665356010032373e-06
1.25,outer_layer_0,rhs,rhs_z4c_Azz,-2.5347751947685584,1.6699362509491503e-07,9.67705609119009e-07,16.0,0.0,4.959039730674354e-06,4.451742449477064e-06,6.757230901717013e-06,2.3054884522399494e-06
1.25,outer_layer_0,constraints,con_M,-0.7200665657885784,1.0542225829139869e-11,1.736576622580738e-11,16.0,-4.0,1.2743261582053938e-09,1.2857819387104025e-09,1.2449153868704263e-09,4.0866551839976233e-11
1.25,outer_layer_0,constraints,con_Z,-0.5044677982202834,1.9402515313912334e-10,2.75244071848244e-10,16.0,0.0,6.889015834703079e-09,6.281708535636599e-09,5.429431377037217e-09,8.522771585993818e-10
1.25,outer_layer_0,rhs,rhs_z4c_Theta,-0.33080157975883867,1.9790761412866313e-06,2.489107774680149e-06,16.0,0.0,1.71101202646886e-05,1.2127776926756199e-05,5.845909704425765e-06,6.281867222330433e-06
1.25,outer_layer_0,state,state_z4c_Theta,-0.10220477202959914,2.0714202720900655e-06,2.223488687726727e-06,16.0,0.0,2.148434956597639e-05,1.6290636107559447e-05,1.0697047714946871e-05,5.5935883926125754e-06
1.25,outer_layer_0,rhs,rhs_z4c_gyy,-0.02501004622478595,1.0864983073920915e-06,1.1054976613952496e-06,0.0,-16.0,0.00010089348385758046,9.888378244325554e-05,0.00010091290137625819,2.029118933002651e-06
1.25,outer_layer_1,state,state_z4c_Axx,-3.556549373020844,2.3027704932251095e-07,2.709434760678691e-06,15.875,0.0,-6.558940500605217e-05,-6.566820746074006e-05,-7.334945893896134e-05,7.681251478221287e-06
1.25,outer_layer_1,state,state_z4c_Azz,-3.3635454731222922,1.4602188408798238e-07,1.5029551708623419e-06,15.875,0.0,3.356959069833401e-05,3.3289975459665244e-05,3.697497543918164e-05,3.684999979516395e-06
