resolution,transfer_order,variable,samples,total_power,high_half_nyquist_fraction,dominant_k_over_nyquist
128,6,Axz,129,2.9582707870973734e-10,0.9641201602012794,0.96875
128,6,Ayy,129,5.643770017162439e-10,0.9688527166246094,0.96875
128,6,Ayz,129,2.9438815854034864e-10,0.9655548906874128,0.984375
128,6,Azz,129,2.1150126293509174e-10,0.9642771565038554,0.96875
128,6,Gamx,129,1.3637108579257641e-09,0.9462227915397564,0.96875
128,6,Gamy,129,1.890205855999827e-09,0.9756472927784762,0.96875
128,6,Gamz,129,1.1826616510768854e-09,0.964717165969129,0.96875
128,6,Theta,129,4.96279964160903e-10,0.9644984197487919,0.96875
128,6,alpha,129,8.731365518725858e-19,0.9783936181661104,0.96875
128,6,betax,129,8.722834103943575e-19,0.978904735868248,0.96875
128,6,betay,129,8.7083969787531e-19,0.979733041156362,0.96875
128,6,betaz,129,8.690180564398387e-19,0.9807645085314664,0.96875
128,6,Bx,129,8.671205694778212e-19,0.9818383114809341,0.984375
128,6,By,129,8.654889995810375e-19,0.9827698975479381,0.984375
128,6,Bz,129,8.644418996344179e-19,0.9833851490333544,0.984375
