resolution,transfer_order,variable,mode,k_over_nyquist,power
16,6,gxx,8,1.0,1.933797106796223e-09
16,6,gxy,0,0.0,0.0
16,6,gxy,1,0.125,2.875664387082299e-10
16,6,gxy,2,0.25,1.4487795965748505e-08
16,6,gxy,3,0.375,8.582676864526364e-10
16,6,gxy,4,0.5,6.808928596210616e-10
16,6,gxy,5,0.625,1.2631718628945665e-09
16,6,gxy,6,0.75,1.113752063853833e-08
16,6,gxy,7,0.875,2.0171276467991615e-09
16,6,gxy,8,1.0,3.868063813871571e-10
16,6,gxz,0,0.0,0.0
16,6,gxz,1,0.125,5.965026763172218e-11
16,6,gxz,2,0.25,3.4135694418100315e-09
16,6,gxz,3,0.375,1.2760000318222206e-10
16,6,gxz,4,0.5,6.093616415148499e-11
16,6,gxz,5,0.625,1.161480913237585e-10
16,6,gxz,6,0.75,1.8006107492810151e-09
16,6,gxz,7,0.875,9.633591319971036e-10
16,6,gxz,8,1.0,3.4184788528087125e-10
16,6,gyy,0,0.0,0.0
16,6,gyy,1,0.125,9.36840835721537e-10
16,6,gyy,2,0.25,1.448036303322679e-08
16,6,gyy,3,0.375,2.397550369276695e-10
16,6,gyy,4,0.5,4.3910902053602666e-10
16,6,gyy,5,0.625,1.4790192192115595e-09
16,6,gyy,6,0.75,2.3504730138166665e-08
16,6,gyy,7,0.875,1.0012433228756874e-08
16,6,gyy,8,1.0,3.898674721505897e-09
16,6,gyz,0,0.0,0.0
16,6,gyz,1,0.125,5.739435661921501e-10
16,6,gyz,2,0.25,7.4005838940689125e-09
16,6,gyz,3,0.375,2.3603131295390013e-10
16,6,gyz,4,0.5,4.41510894335941e-10
16,6,gyz,5,0.625,1.180597521109474e-09
16,6,gyz,6,0.75,1.3883482102230045e-08
16,6,gyz,7,0.875,4.173300156962886e-09
16,6,gyz,8,1.0,1.1057242818162024e-09
16,6,gzz,0,0.0,0.0
16,6,gzz,1,0.125,2.2564959354063972e-10
16,6,gzz,2,0.25,8.227045473073856e-09
16,6,gzz,3,0.375,3.8751800712076994e-10
16,6,gzz,4,0.5,3.0943814889324997e-10
16,6,gzz,5,0.625,5.768251887778947e-10
16,6,gzz,6,0.75,4.866146409023477e-09
16,6,gzz,7,0.875,6.925522403352968e-10
16,6,gzz,8,1.0,5.603845531161529e-11
16,6,Khat,0,0.0,0.0
16,6,Khat,1,0.125,4.798428945669549e-07
16,6,Khat,2,0.25,5.2580457258228265e-06
16,6,Khat,3,0.375,4.207291569040304e-06
16,6,Khat,4,0.5,4.857395889677756e-06
16,6,Khat,5,0.625,9.981467963117262e-06
16,6,Khat,6,0.75,8.919403639148744e-05
16,6,Khat,7,0.875,1.4472185182521007e-05
16,6,Khat,8,1.0,2.5126239954471455e-06
16,6,Axx,0,0.0,0.0
16,6,Axx,1,0.125,4.339579570152591e-07
16,6,Axx,2,0.25,4.133194971036528e-06
16,6,Axx,3,0.375,6.73916260417216e-08
16,6,Axx,4,0.5,2.352154014055519e-07
16,6,Axx,5,0.625,6.425060240018055e-07
16,6,Axx,6,0.75,6.646607750248094e-06
16,6,Axx,7,0.875,1.1879413578422837e-06
16,6,Axx,8,1.0,3.4836479204560796e-07
16,6,Axy,0,0.0,0.0
16,6,Axy,1,0.125,3.891131475431287e-07
16,6,Axy,2,0.25,2.1043456590233472e-06
16,6,Axy,3,0.375,1.0797185614597251e-06
16,6,Axy,4,0.5,1.3400218249705293e-06
16,6,Axy,5,0.625,2.8595257540374384e-06
16,6,Axy,6,0.75,2.6938026702339123e-05
16,6,Axy,7,0.875,6.474255693609517e-06
16,6,Axy,8,1.0,1.314684862352978e-07
16,6,Axz,0,0.0,0.0
16,6,Axz,1,0.125,1.278661030170146e-07
16,6,Axz,2,0.25,1.8790512194070416e-06
16,6,Axz,3,0.375,7.484866642389664e-07
16,6,Axz,4,0.5,8.478227837942308e-07
16,6,Axz,5,0.625,1.8425444025170383e-06
16,6,Axz,6,0.75,1.9562823886149794e-05
16,6,Axz,7,0.875,6.99785031545557e-06
16,6,Axz,8,1.0,5.070351584189872e-07
16,6,Ayy,0,0.0,0.0
16,6,Ayy,1,0.125,7.575932925093733e-07
16,6,Ayy,2,0.25,1.2536518277712673e-06
16,6,Ayy,3,0.375,1.0213511110960432e-06
16,6,Ayy,4,0.5,1.6521805837968922e-06
16,6,Ayy,5,0.625,3.7547799494561226e-06
16,6,Ayy,6,0.75,3.4958162608245865e-05
16,6,Ayy,7,0.875,5.914825850625405e-06
16,6,Ayy,8,1.0,6.387630281013029e-07
16,6,Ayz,0,0.0,0.0
16,6,Ayz,1,0.125,8.586912532339845e-08
16,6,Ayz,2,0.25,2.6187470144159166e-06
16,6,Ayz,3,0.375,3.896837341167026e-07
16,6,Ayz,4,0.5,4.475177805215259e-07
16,6,Ayz,5,0.625,1.1606036884785228e-06
16,6,Ayz,6,0.75,1.656553100852051e-05
16,6,Ayz,7,0.875,7.918268140748911e-06
16,6,Ayz,8,1.0,1.9293121515693387e-06
16,6,Azz,0,0.0,0.0
16,6,Azz,1,0.125,7.86301649144066e-08
16,6,Azz,2,0.25,1.1490882230628944e-06
16,6,Azz,3,0.375,5.655198412661361e-07
16,6,Azz,4,0.5,6.58095310237703e-07
16,6,Azz,5,0.625,1.4320727740329228e-06
16,6,Azz,6,0.75,1.465647571101839e-05
16,6,Azz,7,0.875,3.254817899861159e-06
16,6,Azz,8,1.0,1.3338268365194008e-06
16,6,Gamx,0,0.0,0.0
16,6,Gamx,1,0.125,2.4449012855456065e-07
16,6,Gamx,2,0.25,1.1173232556172542e-05
16,6,Gamx,3,0.375,4.80304129448044e-06
16,6,Gamx,4,0.5,5.237723345537356e-06
16,6,Gamx,5,0.625,1.0689785431539545e-05
16,6,Gamx,6,0.75,9.767480636175245e-05
16,6,Gamx,7,0.875,1.614589040554293e-05
16,6,Gamx,8,1.0,4.881887772191548e-06
16,6,Gamy,0,0.0,0.0
16,6,Gamy,1,0.125,5.089156084181295e-07
16,6,Gamy,2,0.25,7.400878674960537e-06
16,6,Gamy,3,0.375,5.036675803107447e-06
16,6,Gamy,4,0.5,6.048780874878374e-06
16,6,Gamy,5,0.625,1.3146747370640882e-05
16,6,Gamy,6,0.75,0.00013152308581015386
16,6,Gamy,7,0.875,2.8710647191346628e-05
16,6,Gamy,8,1.0,9.627237528482282e-06
16,6,Gamz,0,0.0,0.0
16,6,Gamz,1,0.125,1.7875109622205642e-07
16,6,Gamz,2,0.25,8.237846071226044e-06
16,6,Gamz,3,0.375,2.710746554991062e-06
16,6,Gamz,4,0.5,3.166642138429432e-06
16,6,Gamz,5,0.625,7.0989174204782424e-06
16,6,Gamz,6,0.75,7.760392972300095e-05
16,6,Gamz,7,0.875,2.3077586258385706e-05
16,6,Gamz,8,1.0,6.595317220888758e-06
16,6,Theta,0,0.0,0.0
16,6,Theta,1,0.125,2.4228744220552203e-07
16,6,Theta,2,0.25,4.508705231172751e-06
16,6,Theta,3,0.375,8.116599109115441e-07
16,6,Theta,4,0.5,1.0081290593604413e-06
16,6,Theta,5,0.625,2.477512967465802e-06
16,6,Theta,6,0.75,3.0581147636082956e-05
16,6,Theta,7,0.875,8.929899834169745e-06
16,6,Theta,8,1.0,4.90335857442421e-06
16,6,alpha,0,0.0,0.0
16,6,alpha,1,0.125,2.5123955954375616e-14
16,6,alpha,2,0.25,1.68600624733853e-14
16,6,alpha,3,0.375,1.0216828672477869e-13
16,6,alpha,4,0.5,1.3242763997646902e-13
16,6,alpha,5,0.625,2.828077604680253e-13
16,6,alpha,6,0.75,2.5713303773104947e-12
16,6,alpha,7,0.875,4.0517874072673097e-13
16,6,alpha,8,1.0,9.373812998711727e-14
16,6,betax,0,0.0,0.0
16,6,betax,1,0.125,2.1212734407200614e-14
16,6,betax,2,0.25,2.3396132438992415e-14
16,6,betax,3,0.375,9.699872603439039e-14
16,6,betax,4,0.5,1.2629814416436671e-13
16,6,betax,5,0.625,2.727355556576593e-13
16,6,betax,6,0.75,2.5381968193705618e-12
16,6,betax,7,0.875,3.924027852574658e-13
16,6,betax,8,1.0,1.4352903262954823e-13
16,6,betay,0,0.0,0.0
16,6,betay,1,0.125,1.632443229156924e-14
16,6,betay,2,0.25,3.891844448067468e-14
16,6,betay,3,0.375,8.424558337834838e-14
16,6,betay,4,0.5,1.1076816722803226e-13
16,6,betay,5,0.625,2.4547782202730053e-13
16,6,betay,6,0.75,2.4267255840817795e-12
16,6,betay,7,0.875,4.778885894500398e-13
16,6,betay,8,1.0,1.8127666248965184e-13
16,6,betaz,0,0.0,0.0
16,6,betaz,1,0.125,1.1164411280742884e-14
16,6,betaz,2,0.25,6.133661602525912e-14
16,6,betaz,3,0.375,6.557229966916803e-14
