resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,hanging_interface,Azz,8,0.0012313196421327652,0.0020318002545797165,
16,4,hanging_interface,Bx,8,4.499802064107907e-07,7.592291092787065e-07,
16,4,hanging_interface,By,8,4.507928458662136e-07,7.640373399019703e-07,
16,4,hanging_interface,Bz,8,4.51615201482277e-07,7.443560371941331e-07,
16,4,hanging_interface,Gamx,8,0.0032060385630555853,0.005087231765768125,
16,4,hanging_interface,Gamy,8,0.0035408042356540157,0.006096410721843472,
16,4,hanging_interface,Gamz,8,0.002901502897392239,0.0050165594149524945,
16,4,hanging_interface,Khat,8,0.002891634566554284,0.003996978709757625,
16,4,hanging_interface,Theta,8,0.001896137825692064,0.0032165496715913493,
16,4,hanging_interface,alpha,8,4.4682786089860164e-07,6.445827825984907e-07,
16,4,hanging_interface,betax,8,4.476011110486221e-07,7.45960671875573e-07,
16,4,hanging_interface,betay,8,4.483842866620172e-07,8.012549948493877e-07,
16,4,hanging_interface,betaz,8,4.4917733585068003e-07,8.056726693137776e-07,
16,4,hanging_interface,chi,8,2.2700348968958205e-05,3.592047035945455e-05,
16,4,hanging_interface,gxx,8,3.656949794156259e-05,6.184066089201209e-05,
16,4,hanging_interface,gxy,8,2.4315577404939735e-05,4.3015969565758985e-05,
16,4,hanging_interface,gxz,8,2.5857514599210507e-05,4.4187174379570614e-05,
16,4,hanging_interface,gyy,8,2.8933960948998677e-05,4.012452782764381e-05,
16,4,hanging_interface,gyz,8,1.3617426678424192e-05,2.2257177854622225e-05,
16,4,hanging_interface,gzz,8,1.9535335345866183e-05,3.454193559439373e-05,
16,4,interface_edge,Axx,6,0.0009647796689482914,0.0013627701677238814,
16,4,interface_edge,Axy,6,0.0011403015368176457,0.001522957214071289,
16,4,interface_edge,Axz,6,0.0007286726721720184,0.0011146719434205424,
16,4,interface_edge,Ayy,6,0.001536442478512606,0.002118627401831827,
16,4,interface_edge,Ayz,6,0.000528311117778251,0.0008677471826074364,
16,4,interface_edge,Azz,6,0.0005737207496190607,0.0007560980631816632,
16,4,interface_edge,Bx,6,2.198818818697057e-07,3.7937320538638426e-07,
16,4,interface_edge,By,6,1.6079541911930675e-07,2.7822474061853835e-07,
16,4,interface_edge,Bz,6,9.08615456907195e-08,1.5152866196014593e-07,
16,4,interface_edge,Gamx,6,0.001423075267183112,0.0021701795527278127,
16,4,interface_edge,Gamy,6,0.0018240499418202135,0.002941098019622954,
16,4,interface_edge,Gamz,6,0.001259881382798486,0.0021120465007248776,
16,4,interface_edge,Khat,6,0.0016202614073755378,0.002237705037766668,
16,4,interface_edge,Theta,6,0.0008509318346305346,0.0013133193841379873,
16,4,interface_edge,alpha,6,3.3397448599724676e-07,4.6571146397056393e-07,
16,4,interface_edge,betax,6,3.1925630058465474e-07,4.894910993417695e-07,
16,4,interface_edge,betay,6,2.974064617663252e-07,4.854509992028135e-07,
16,4,interface_edge,betaz,6,2.6518560109878044e-07,4.4918748510787335e-07,
16,4,interface_edge,chi,6,1.9760019476172937e-05,2.6617569313204157e-05,
16,4,interface_edge,gxx,6,2.31683333832211e-05,3.152555846912813e-05,
16,4,interface_edge,gxy,6,2.164245257470778e-05,3.2147940629457736e-05,
16,4,interface_edge,gxz,6,1.254132040814869e-06,2.0542880195872698e-06,
16,4,interface_edge,gyy,6,4.2006572317722264e-05,5.715602494509107e-05,
16,4,interface_edge,gyz,6,3.7367180767025246e-05,4.671338215987003e-05,
16,4,interface_edge,gzz,6,1.9533648938984096e-05,2.622365204933317e-05,
16,4,interface_face,Axx,129,0.0002905963075541116,0.0013428484128290784,
16,4,interface_face,Axy,129,0.0004547619564773641,0.0020697764096407807,
16,4,interface_face,Axz,129,0.00040556361480484306,0.002306730385075885,
16,4,interface_face,Ayy,129,0.00043023881699205744,0.002121063000011917,
16,4,interface_face,Ayz,129,0.00040858823326601836,0.0022959778503471536,
16,4,interface_face,Azz,129,0.0003542246874639971,0.0020318002545797165,
16,4,interface_face,Bx,129,1.405219860959917e-07,7.592291092787065e-07,
16,4,interface_face,By,129,1.426422309053469e-07,7.640373399019703e-07,
16,4,interface_face,Bz,129,1.4434167968267103e-07,7.443560371941331e-07,
16,4,interface_face,Gamx,129,0.0009140491144208346,0.005087231765768125,
16,4,interface_face,Gamy,129,0.0010129962142465402,0.006096410721843472,
16,4,interface_face,Gamz,129,0.0008323339376998249,0.0050165594149524945,
16,4,interface_face,Khat,129,0.0008143363437240852,0.003996978709757625,
16,4,interface_face,Theta,129,0.0005448223238663275,0.0032165496715913493,
16,4,interface_face,alpha,129,1.340854406972684e-07,6.445827825984907e-07,
16,4,interface_face,betax,129,1.3518629749911442e-07,7.45960671875573e-07,
16,4,interface_face,betay,129,1.3661117952167345e-07,8.012549948493877e-07,
16,4,interface_face,betaz,129,1.3841681926960963e-07,8.056726693137776e-07,
16,4,interface_face,chi,129,9.98718985691571e-06,4.023629659926178e-05,
16,4,interface_face,gxx,129,1.4530265502303936e-05,6.184066089201209e-05,
16,4,interface_face,gxy,129,1.4217162701197317e-05,6.703411970930529e-05,
16,4,interface_face,gxz,129,9.597275873059487e-06,4.876102572376726e-05,
