resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n256,2.0041327005191922,1.2343289578220378,shell_12_16,H,9.949875615933175e-17,17051.17715974132,2.077735514568688e-18,9.178959814448717e-10,15.5,-0.25,15.5,0.0
n256,2.0041327005191922,1.2343289578220378,shell_12_16,M,2.6437962491504616e-17,17051.17715974132,1.6945607183580827e-19,2.619141685780072e-10,15.5,0.125,15.25,0.0
n256,2.0041327005191922,1.2343289578220378,shell_12_16,Z,1.1457836744395623e-17,17051.17715974132,3.292171711371424e-20,1.2060324322150423e-10,12.125,0.125,12.125,0.0
n256,2.0041327005191922,1.2343289578220378,shell_16_32,C,4.342265999151375e-15,164284.5411280987,4.7399242129789386e-18,1.3234444892946146e-09,17.75,-0.125,17.375,0.0
n256,2.0041327005191922,1.2343289578220378,shell_16_32,H,3.4445694145518166e-15,164284.5411280987,4.284524280361522e-18,1.2580203545553559e-09,17.75,-0.125,17.375,0.0
n256,2.0041327005191922,1.2343289578220378,shell_16_32,M,2.2859975406354922e-17,164284.5411280987,1.0577942007800009e-19,2.0356987823864165e-10,16.625,-0.25,16.625,0.0
n256,2.0041327005191922,1.2343289578220378,shell_16_32,Z,3.505904155138428e-17,164284.5411280987,1.8604103464400178e-19,1.687764770370584e-10,24.0,0.25,24.0,0.0
n256,2.0041327005191922,1.2343289578220378,shell_32_64,C,1.2618820991705083e-15,1125170.4350808482,4.08246330316326e-18,6.977098591184724e-10,33.0,0.25,0.0,-32.75
n256,2.0041327005191922,1.2343289578220378,shell_32_64,H,1.124763190025798e-15,1125170.4350808482,4.005203965104531e-18,6.965681365045384e-10,33.0,0.25,0.0,-32.75
n256,2.0041327005191922,1.2343289578220378,shell_32_64,M,4.089412758044189e-18,1125170.4350808482,7.50222261453091e-20,1.6011638342934202e-10,23.625,-23.875,23.625,-23.875
n256,2.0041327005191922,1.2343289578220378,shell_32_64,Z,5.3219698137366905e-18,1125170.4350808482,5.387474866847354e-20,3.768320643708781e-11,48.0,-0.5,23.75,24.0
n256,2.0041327005191922,1.2343289578220378,shell_64_120,C,1.201866449931722e-16,6674475.128768126,2.4728649441144195e-19,8.66217843619156e-11,66.0,0.5,0.0,64.5
n256,2.0041327005191922,1.2343289578220378,shell_64_120,H,1.0314551188097979e-16,6674475.128768126,2.2546580760507625e-19,8.571304777049704e-11,66.0,0.5,0.0,64.5
n256,2.0041327005191922,1.2343289578220378,shell_64_120,M,6.392004713742668e-19,6674475.128768126,3.66798923987756e-21,1.2930722619283833e-11,63.5,8.0,47.25,-47.75
n256,2.0041327005191922,1.2343289578220378,shell_64_120,Z,4.881141186229141e-19,6674475.128768126,8.33330509360187e-21,5.072725745324595e-12,96.0,2.0,47.5,48.0
n256,2.0041327005191922,1.2343289578220378,shell_gt_120,C,2.89490655216799e-09,6291771.36896355,3.046895085163902e-11,2.669324381169581e-07,128.0,1.0,128.0,0.0
n256,2.0041327005191922,1.2343289578220378,shell_gt_120,H,2.513121829580175e-09,6291771.36896355,2.8945637023407162e-11,2.6017639243036683e-07,128.0,1.0,128.0,0.0
n256,2.0041327005191922,1.2343289578220378,shell_gt_120,M,3.7133934266315194e-11,6291771.36896355,1.0593799164832722e-13,1.573693507658267e-08,128.0,1.0,128.0,0.0
n256,2.0041327005191922,1.2343289578220378,shell_gt_120,Z,8.046687997880424e-11,6291771.36896355,3.2835936284565634e-13,2.7705855877512022e-08,128.0,1.0,128.0,0.0
n256,2.2528137941239863,1.387509142391019,R4,C,1.2160495197875166e-06,1083.0576716935886,8.079327196673181e-09,0.00022988453664666477,3.6875,-0.0625,4.0,0.0
n256,2.2528137941239863,1.387509142391019,R4,H,1.779256599284389e-07,1083.0576716935886,6.261001175451841e-09,0.00019714482186827809,3.9375,0.125,4.0,0.0
n256,2.2528137941239863,1.387509142391019,R4,M,1.523157858932537e-07,1083.0576716935886,1.275657586218804e-09,7.029481558462482e-05,3.75,-0.5,4.0,0.0
n256,2.2528137941239863,1.387509142391019,R4,Z,1.9704755976664568e-07,1083.0576716935886,1.4459844940312955e-09,5.802170817400868e-05,3.6875,-0.0625,3.6875,0.0
n256,2.2528137941239863,1.387509142391019,R8,C,0.00011090575131840202,6873.555145870445,5.817548549899907e-07,0.0009717407810890914,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,R8,H,2.730104044318115e-05,6873.555145870445,3.233417376541619e-07,0.000724454817827791,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,R8,M,1.8822955999666068e-05,6873.555145870445,1.6604893060061782e-07,0.0005153875183933892,4.8125,-0.0625,4.8125,-0.0625
n256,2.2528137941239863,1.387509142391019,R8,Z,1.4646212319613988e-05,6873.555145870445,7.624817502357873e-08,0.00038223443273604287,8.0,0.0,8.0,0.0
n256,2.2528137941239863,1.387509142391019,R12,C,0.00012989937016887474,17552.14501782461,7.886889656105488e-07,0.0009717407810890914,8.0,-0.125,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,R12,H,3.01728060857777e-05,17552.14501782461,3.233417376541619e-07,0.000724454817827791,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,R12,M,2.2662250793185116e-05,17552.14501782461,1.7715653810909683e-07,0.0005153875183933892,8.0,-0.75,4.8125,-0.0625
n256,2.2528137941239863,1.387509142391019,R12,Z,1.7462000146129965e-05,17552.14501782461,1.467564691544064e-07,0.00038223443273604287,8.0,-0.125,8.0,0.0
n256,2.2528137941239863,1.387509142391019,R14,C,0.00012989937016897804,25189.11941901332,7.886889656105488e-07,0.0009717407810890914,8.0,-0.125,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,R14,H,3.0172806085781934e-05,25189.11941901332,3.233417376541619e-07,0.000724454817827791,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,R14,M,2.2662250793206936e-05,25189.11941901332,1.7715653810909683e-07,0.0005153875183933892,8.0,-0.75,4.8125,-0.0625
