resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n128,0.25015903882253054,0.1540670901698768,shell_16_32,H,5.806097631376037e-14,164089.77889764297,7.409020313548057e-16,1.2020368700405015e-08,16.0,-0.5,16.0,-0.5,7.893255201438591e-12
n128,0.25015903882253054,0.1540670901698768,shell_16_32,M,2.018010897084755e-14,164089.77889764297,4.0517832200420335e-16,8.889155367141082e-09,16.0,0.5,16.0,0.5,1.7520614506913345e-12
n128,0.25015903882253054,0.1540670901698768,shell_16_32,Z,4.8202795872562965e-18,164089.77889764297,6.226209348218792e-20,1.1018034088071082e-10,16.0,0.25,16.0,0.25,1.1515683465520568e-15
n128,0.25015903882253054,0.1540670901698768,shell_32_64,C,1.5526129904281787e-13,1123913.4180792994,1.9622999176843836e-15,5.61282450978339e-09,32.5,1.0,32.5,0.0,4.2902528135068475e-12
n128,0.25015903882253054,0.1540670901698768,shell_32_64,H,1.4974006129983236e-13,1123913.4180792994,1.906478297415412e-15,5.532451829992624e-09,32.5,1.0,32.5,0.0,2.0356814383062964e-11
n128,0.25015903882253054,0.1540670901698768,shell_32_64,M,1.390022775850618e-15,1123913.4180792994,3.0986014455913527e-17,9.820248774054369e-10,32.0,-1.0,32.0,-1.0,1.2068345739208088e-13
n128,0.25015903882253054,0.1540670901698768,shell_32_64,Z,3.71935412595401e-20,1123913.4180792994,2.1131450456834703e-22,2.4450753391808016e-12,48.0,-1.0,32.0,-0.5,8.88556442325447e-18
n128,0.25015903882253054,0.1540670901698768,shell_64_120,C,6.093879973308719e-14,6664779.707096761,5.866751587446838e-16,1.273747492184761e-09,65.0,-2.0,0.0,-65.0,1.6838894084900518e-12
n128,0.25015903882253054,0.1540670901698768,shell_64_120,H,5.988520776961579e-14,6664779.707096761,5.770242967140047e-16,1.2629510770523211e-09,65.0,-2.0,0.0,-65.0,8.14125524108219e-12
n128,0.25015903882253054,0.1540670901698768,shell_64_120,M,9.090020338476805e-17,6664779.707096761,1.845981345960046e-18,9.007820388971393e-11,64.0,-2.0,64.0,-2.0,7.892065520584012e-15
n128,0.25015903882253054,0.1540670901698768,shell_64_120,Z,3.1197072392067555e-22,6664779.707096761,2.155189846663586e-24,9.437425091253295e-14,96.0,2.0,2.0,64.0,7.453003590658293e-20
n128,0.25015903882253054,0.1540670901698768,shell_gt_120,C,1.4487782074807495e-08,6302914.6872276105,3.4466287506518707e-10,4.493218219607803e-07,128.0,-2.0,128.0,0.0,4.003331686074294e-07
n128,0.25015903882253054,0.1540670901698768,shell_gt_120,H,1.4478157808366784e-08,6302914.6872276105,3.445502840327423e-10,4.4924848907612613e-07,128.0,-2.0,128.0,0.0,1.9682720078727942e-06
n128,0.25015903882253054,0.1540670901698768,shell_gt_120,M,6.3621265729608626e-12,6302914.6872276105,1.0730268243124204e-13,7.92566183795471e-09,128.0,-2.0,128.0,0.0,5.523675183819158e-10
n128,0.25015903882253054,0.1540670901698768,shell_gt_120,Z,6.726284147522462e-14,6302914.6872276105,8.489063557300141e-16,7.046816436901978e-10,128.0,-2.0,128.0,0.0,1.6069142409663933e-11
n128,0.5072046568982707,0.3123754969434922,shell_0_4,C,0.000251638468895676,1129.5754468973025,1.680526735133623e-05,0.005655174511533515,3.875,-0.125,4.0,0.0,0.007144441181265807
n128,0.5072046568982707,0.3123754969434922,shell_0_4,H,9.161058814992275e-05,1129.5754468973025,1.0830753454885537e-05,0.0048448629677295685,4.0,0.0,4.0,0.0,0.004452444872095718
n128,0.5072046568982707,0.3123754969434922,shell_0_4,M,5.695795210041123e-06,1129.5754468973025,2.480524888091738e-07,0.0007108063989609071,3.875,-0.5,4.0,0.0,0.0014155435225665306
n128,0.5072046568982707,0.3123754969434922,shell_0_4,Z,3.7205866979530546e-05,1129.5754468973025,2.3547106209718323e-06,0.0013837410936055857,3.875,-0.125,4.0,0.0,0.015593755970589197
n128,0.5072046568982707,0.3123754969434922,shell_4_8,C,0.0349692052578169,5746.959271689271,0.0008490684726158655,0.021465118811470296,5.75,-0.125,5.375,0.0,0.9928348046961784
