diss,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
0.10,3.0029236441181664,1.8496368505898182,R12,M,6.261164175126697e-05,17521.00838037084,4.3784000005171317e-07,0.0009193398460286794,7.8125,-1.3125,7.8125,-1.3125
0.10,3.0029236441181664,1.8496368505898182,R12,Z,1.7173697960923374e-05,17521.00838037084,3.088428766646469e-08,0.00020608784960684197,8.5,-1.375,6.25,0.0
0.10,3.0029236441181664,1.8496368505898182,full,C,0.0003521072563725553,47719.634352304216,6.861903719875475e-07,0.0010430652344695151,8.0,-2.125,7.8125,1.3125
0.10,3.0029236441181664,1.8496368505898182,full,H,9.747087677004947e-05,47719.634352304216,5.153628918668443e-07,0.0007543526007793844,8.0,-2.125,4.5,0.0
0.10,3.0029236441181664,1.8496368505898182,full,M,7.08058934859357e-05,47719.634352304216,4.3784000005171317e-07,0.0009193398460286794,7.8125,-1.3125,7.8125,-1.3125
0.10,3.0029236441181664,1.8496368505898182,full,Z,4.328642418576069e-05,47719.634352304216,3.088428766646469e-08,0.00020608784960684197,8.5,-1.375,6.25,0.0
0.10,3.251327475824071,2.0027090346311045,R4,C,7.160331624494476e-06,1075.6834893272835,7.830073527941921e-08,0.0005123187003292402,3.8125,-0.0625,4.0,0.0
0.10,3.251327475824071,2.0027090346311045,R4,H,1.958240096039617e-06,1075.6834893272835,3.2625349720412716e-08,0.00040278799133375287,3.75,-0.0625,4.0,0.0
0.10,3.251327475824071,2.0027090346311045,R4,M,9.764558386273026e-07,1075.6834893272835,1.1102598419531478e-08,0.00018673117354505995,3.8125,-0.3125,4.0,0.0
0.10,3.251327475824071,2.0027090346311045,R4,Z,9.222400529009709e-07,1075.6834893272835,1.0567728218000666e-08,0.00015268029059325175,3.875,-0.0625,3.875,0.0
0.10,3.251327475824071,2.0027090346311045,R8,C,0.00018087807913627833,6844.867997949404,5.186445351992503e-07,0.0009851790922836764,4.4375,-0.0625,4.4375,0.0
0.10,3.251327475824071,2.0027090346311045,R8,H,5.900083979920352e-05,6844.867997949404,3.34677370142497e-07,0.0007931945729069412,4.4375,-0.0625,4.4375,0.0
0.10,3.251327475824071,2.0027090346311045,R8,M,5.1036469190792356e-05,6844.867997949404,3.3243122949189594e-07,0.0007971891974780075,7.6875,-1.3125,7.6875,-1.3125
0.10,3.251327475824071,2.0027090346311045,R8,Z,1.4994158703383715e-05,6844.867997949404,2.4787842129633114e-08,0.000204336606359459,6.3125,-0.0625,6.3125,0.0
0.10,3.251327475824071,2.0027090346311045,R12,C,0.00021715021848361623,17507.8484342038,5.186445351992503e-07,0.0009851790922836764,4.4375,-0.0625,4.4375,0.0
0.10,3.251327475824071,2.0027090346311045,R12,H,7.772195575975809e-05,17507.8484342038,4.0377029949297846e-07,0.0007931945729069412,8.0,-2.625,4.4375,0.0
