prescription,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,maxAbsKret,cycle,axisLapse,axisTau,axisKret,muMin,muMax
local_chi_gradient_norm,8.9062499999999975e-02,4.6874999999999998e-03,5.4219436988276071e-01,4.9527090782459637e-01,2.1936343832111897e-02,6.1627291080487735e-03,7.7019693047216564e-02,9.1142691255749241e+01,8.0000000000000000e+00,6.1587916196013570e-01,5.4853500906141862e-02,5.6513209880743216e-04,2.9537861863504191e-04,1.5601934838582895e-01
local_chi_gradient_norm,1.0781249999999996e-01,4.6874999999999998e-03,4.5888682541440257e-01,3.9455865193184697e-01,4.1938293441139751e-02,5.4378596679617551e-03,9.2448181497406981e-02,8.9925280181208564e+01,1.2000000000000000e+01,6.1587916673986098e-01,6.6401235236621309e-02,5.6512653101313027e-04,2.9537828636453669e-04,1.4897455415546351e-01
local_chi_gradient_norm,1.3593749999999996e-01,9.3749999999999997e-03,2.8513827455906288e-01,2.2155893428349635e-01,4.8968262336499722e-02,3.3810035666702919e-03,1.1422903068130058e-01,8.6050163849361638e+01,1.6000000000000000e+01,6.1589007030852105e-01,8.3723041192538650e-02,5.6485947037077469e-04,5.9075671234092269e-04,1.3587000289722007e-01
local_chi_gradient_norm,1.7343749999999994e-01,9.3749999999999997e-03,1.8218771712666834e-01,1.0033164649524996e-01,7.2029175500146286e-02,2.0387313033706175e-03,1.4313428613115806e-01,8.3172770271846701e+01,2.0000000000000000e+01,6.1589008659013111e-01,1.0681891912188042e-01,5.6483617282491474e-04,5.9075560065049483e-04,1.1597537867536625e-01
local_chi_gradient_norm,2.1093749999999992e-01,9.3749999999999997e-03,1.3274707195814178e-01,4.3043549482521905e-02,8.3485957239263553e-02,1.0460233635378204e-03,1.6964474859800913e-01,8.1089015601037872e+01,2.4000000000000000e+01,6.1589010740022843e-01,1.2991479774510747e-01,5.6480726858099974e-04,5.9075375624926337e-04,9.5013736125171791e-02
local_chi_gradient_norm,2.4843749999999989e-01,9.3749999999999997e-03,1.4320104669072908e-01,5.7704752500879156e-02,8.0697493914187818e-02,6.7980156276736684e-04,1.9441059131376767e-01,7.8153479907196612e+01,2.8000000000000000e+01,6.1589013336474729e-01,1.5301067724327644e-01,5.6477318113151991e-04,5.9075093523024895e-04,7.5188190818176195e-02
local_chi_gradient_norm,2.9531249999999992e-01,1.8749999999999999e-02,7.7100242786346987e-02,4.0288491385429004e-02,3.4062592148851989e-02,3.8057309732641173e-04,2.2185691409567623e-01,7.0723039769448135e+01,3.2000000000000000e+01,6.1589017429630688e-01,1.8188052816787142e-01,5.6472406935433235e-04,5.9074585697466500e-04,5.5654118221158018e-02
local_chi_gradient_norm,3.7031249999999988e-01,1.8749999999999999e-02,2.1137251918806438e-01,1.8713484919314985e-01,1.5836209578226713e-02,1.9871306499062917e-03,2.6062713299080481e-01,6.4047134271768471e+01,3.6000000000000000e+01,6.1589026414429437e-01,2.2807229441280524e-01,5.6463332540857242e-04,5.9073414502391040e-04,7.3748979583115618e-02
local_chi_gradient_norm,4.0781249999999997e-01,9.3749999999999997e-03,2.0442433251854805e-01,1.8444434632994522e-01,9.1308056023486142e-03,2.6465603934132122e-03,2.7432780992991818e-01,5.9391594766437464e+01,4.0000000000000000e+01,6.1589032306127978e-01,2.5116818039189948e-01,5.6458338430214578e-04,5.9072712480264368e-04,8.2721734351418705e-02
local_chi_gradient_norm,4.4531250000000006e-01,9.3749999999999997e-03,1.8433855049809128e-01,1.6483995966865550e-01,7.6700950604941054e-03,2.9033261949498687e-03,2.8532434619678726e-01,5.4423041174434317e+01,4.4000000000000000e+01,6.1589039345177909e-01,2.7426406879018256e-01,5.6453047290103402e-04,5.9071985800950748e-04,9.2973603475263830e-02
