case,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxRefLev,cycle,axisLapse,axisTau,axisKret,maxAbsKret,eta_shift,S_beta
fixed_eta2,4.603124999999969,0.009375,9.721429532354275,9.469648101676324,0.026983563898830193,0.042568309327860945,0.6784228975140975,26.0,2.0,364.0,0.615700469510952,2.835814459258633,0.0005707415185040162,0.42340430169205806,2.0,0.01875
fixed_eta2,4.640624999999971,0.009375,10.158677514316153,9.90037545541851,0.027136581985224697,0.04365260948950841,0.6869851315461121,26.0,2.0,368.0,0.6156057598578029,2.858901477910747,0.0005866719477181748,0.445053948911997,2.0,0.01875
fixed_eta2,4.678124999999972,0.009375,10.610554880047548,10.344460909082992,0.0280462882643216,0.04484885729310201,0.6958063820558494,26.0,2.0,372.0,0.6155015447254087,2.8819847687237217,0.000593330351654982,0.46754056481372874,2.0,0.01875
fixed_eta2,4.7156249999999735,0.009375,11.075661797870573,10.801270292917419,0.02930748595852371,0.046069686692813853,0.7047638105442555,26.0,2.0,376.0,0.6153871324865374,2.905063962323864,0.0005863784639918285,0.4908867912437127,2.0,0.01875
fixed_eta2,4.753124999999975,0.009375,11.555244192946866,11.272553018224194,0.0302459241015439,0.04735759488712895,0.7137996195650584,26.0,2.0,380.0,0.6152618163775017,2.9281386631070485,0.0005667441909239848,0.515114561706603,2.0,0.01875
fixed_eta2,4.790624999999976,0.009375,12.051611725209366,11.760966410416277,0.03049277554575465,0.048714713452367754,0.7229143241361852,26.0,2.0,384.0,0.6151248777636034,2.951208448734344,0.0005407391274025846,0.5402439944022133,2.0,0.01875
fixed_eta2,4.828124999999978,0.009375,12.562030602537481,12.263757199691355,0.03025012413892648,0.050091729380054656,0.7321510781813048,26.0,2.0,388.0,0.6149755888296387,2.9742728697385754,0.0005166351885433771,0.5662933624140395,2.0,0.01875
fixed_eta2,4.865624999999979,0.009375,13.084190886762642,12.7777659605679,0.030118567563140904,0.05154887056663292,0.7415574559109596,26.0,2.0,392.0,0.6148132150040383,2.9973314492258076,0.0005004964257903897,0.593280131765392,2.0,0.01875
fixed_eta2,4.903124999999981,0.009375,13.620192380464953,13.304891406114951,0.03047093288513182,0.05304242345280801,0.7511327688031139,26.0,2.0,396.0,0.6146370173825004,3.0203836826672186,0.0004947771472193772,0.6212223819029209,2.0,0.01875
fixed_eta2,4.940624999999982,0.009375,14.172170295396178,13.847424767430281,0.03109554125597644,0.054585053612860285,0.760803867200027,26.0,2.0,400.0,0.6144462552226784,3.043429037783228,0.0005001612386626502,0.6501398495608618,2.0,0.01875
fixed_eta2,4.9781249999999835,0.009375,14.73944319117805,14.405173269898153,0.03157418679072532,0.056156839489696145,0.7704498821165435,26.0,2.0,404.0,0.6142401884879278,3.066466954522109,0.0005174686366309528,0.6800540274557816,2.0,0.01875
fixed_eta2,5.015624999999985,0.009375,15.321574008002345,14.97772748281114,0.03176752249408531,0.05778355798531955,0.7799446511542423,26.0,2.0,408.0,0.6140180804806576,3.0894968451354488,0.0005464933216848163,0.7109874874018787,2.0,0.01875
fixed_eta2,5.053124999999986,0.009375,15.918398964548949,15.564820060852645,0.03188062744143439,0.05943947650470098,0.7891847741983972,26.0,2.0,412.0,0.6137792006232251,3.112518094355061,0.0005826920018995867,0.7429628253734173,2.0,0.01875
fixed_eta2,5.090624999999988,0.009375,16.528517252155304,16.16465696490974,0.03220999814096686,0.061150273357390206,0.7981054088456621,26.0,2.0,416.0,0.6135228273645577,3.1355300596766975,0.0006161319532781417,0.7760018071311977,2.0,0.01875
fixed_eta2,5.128124999999989,0.009375,17.151851600769035,16.777119944135393,0.03280775932579962,0.06291491195069387,0.8066907246327163,26.0,2.0,420.0,0.6132482511864259,3.1585320717545597,0.0006356022316601514,0.8101249844483113,2.0,0.01875
fixed_eta2,5.165624999999991,0.009375,17.791265133314283,17.405301675831915,0.033407274037251244,0.06474336620006867,0.8149678964730621,26.0,2.0,424.0,0.6129547777843747,3.1815234349114885,0.000635455186802089,0.845351797266571,2.0,0.01875
fixed_eta2,5.203124999999992,0.009375,18.447572360506676,18.050229338462373,0.03375789372579834,0.06664498250566918,0.8229799340873252,26.0,2.0,428.0,0.6126417315224182,3.2045034277733895,0.0006193793914996064,0.8817010076820521,2.0,0.01875
fixed_eta2,5.240624999999993,0.009375,19.118870263544324,18.709899507206103,0.03392750291998869,0.06862774304466987,0.8307584869101586,26.0,2.0,432.0,0.6123084591658868,3.227471304038537,0.0005977816572477926,0.9191912567555235,2.0,0.01875
fixed_eta2,5.278124999999995,0.009375,19.803930654518496,19.382828029270847,0.03420169921678332,0.07068422997173046,0.838321108944166,26.0,2.0,436.0,0.6119543338871499,3.2504262933918016,0.0005812554695562172,0.9578415396654698,2.0,0.01875
