cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
145,0.4724686539420595,4,pre_ko_rhs,7.0584383176889806e-15,7.0584383176889806e-15,9,22,0.1875,0
146,0.47770503798643954,1,pre_ko_rhs,7.7422548271120795e-15,7.7422548271120795e-15,9,12,-0.625,0
146,0.47770503798643954,2,pre_ko_rhs,7.415597886500107e-15,7.415597886500107e-15,9,24,3.625,0
146,0.47770503798643954,3,pre_ko_rhs,6.4579297677321579e-15,6.4579297677321579e-15,9,12,-0.6875,0
146,0.47770503798643954,4,pre_ko_rhs,6.440291639620539e-15,6.440291639620539e-15,9,24,2.0625,0
147,0.48294976168093756,1,pre_ko_rhs,7.2005502899804068e-15,7.2005502899804068e-15,9,24,3.1875,0
147,0.48294976168093756,2,pre_ko_rhs,8.3982225475908193e-15,8.3982225475908193e-15,9,24,4,0
147,0.48294976168093756,3,pre_ko_rhs,6.7396007212115168e-15,6.7396007212115168e-15,9,22,1.375,0
147,0.48294976168093756,4,pre_ko_rhs,7.3431084200272226e-15,7.3431084200272226e-15,9,12,-1.8125,0
148,0.48820278044981341,1,pre_ko_rhs,8.0236312417013943e-15,8.0236312417013943e-15,9,24,2.3125,0
148,0.48820278044981341,2,pre_ko_rhs,6.0704470164342797e-15,6.0704470164342797e-15,9,24,2.5,0
148,0.48820278044981341,3,pre_ko_rhs,7.7876531162810072e-15,7.7876531162810072e-15,9,24,3.625,0
148,0.48820278044981341,4,pre_ko_rhs,6.1193318378120916e-15,6.1193318378120916e-15,9,24,2.125,0
149,0.49346346912009315,1,pre_ko_rhs,6.9496265388573349e-15,6.9496265388573349e-15,9,10,-3.0625,0
149,0.49346346912009315,2,pre_ko_rhs,6.8815768879382969e-15,6.8815768879382969e-15,9,24,2.875,0
149,0.49346346912009315,3,pre_ko_rhs,6.8562037394485694e-15,6.8562037394485694e-15,9,24,2.9375,0
149,0.49346346912009315,4,pre_ko_rhs,6.397429689821437e-15,6.397429689821437e-15,9,22,1.9375,0
150,0.49873205271002596,1,pre_ko_rhs,6.1218880337284684e-15,6.1218880337284684e-15,9,22,1,0
150,0.49873205271002596,2,pre_ko_rhs,7.3156822089474026e-15,7.3156822089474026e-15,9,10,-2.75,0
150,0.49873205271002596,3,pre_ko_rhs,7.8208853538511906e-15,7.8208853538511906e-15,9,10,-3,0
150,0.49873205271002596,4,pre_ko_rhs,6.0896313687096619e-15,6.0896313687096619e-15,9,24,3.75,0
151,0.50400875252737398,1,pre_ko_rhs,6.4873380741127884e-15,6.4873380741127884e-15,9,24,2.0625,0
151,0.50400875252737398,2,pre_ko_rhs,6.4055229562493792e-15,6.4055229562493792e-15,9,10,-3.0625,0
151,0.50400875252737398,3,pre_ko_rhs,7.581043986946216e-15,7.581043986946216e-15,9,10,-3.0625,0
151,0.50400875252737398,4,pre_ko_rhs,6.111440293528162e-15,6.111440293528162e-15,9,10,-3.25,0
152,0.50929378610719211,1,pre_ko_rhs,7.2263956601751461e-15,7.2263956601751461e-15,9,10,-2.4375,0
152,0.50929378610719211,2,pre_ko_rhs,7.5615030065092595e-15,7.5615030065092595e-15,9,10,-2.625,0
152,0.50929378610719211,3,pre_ko_rhs,5.0407703434705241e-15,5.0407703434705241e-15,9,22,1.9375,0
152,0.50929378610719211,4,pre_ko_rhs,6.1978353854977103e-15,6.1978353854977103e-15,9,10,-2.875,0
153,0.51458736714705944,1,pre_ko_rhs,6.6104385833371148e-15,6.6104385833371148e-15,9,24,2.5625,0
153,0.51458736714705944,2,pre_ko_rhs,7.6163636917306692e-15,7.6163636917306692e-15,9,12,-1.875,0
153,0.51458736714705944,3,pre_ko_rhs,6.4959634742382847e-15,6.4959634742382847e-15,9,12,-0.9375,0
153,0.51458736714705944,4,pre_ko_rhs,6.7208002936629358e-15,6.7208002936629358e-15,9,10,-2.0625,0
154,0.51988970544009561,1,pre_ko_rhs,7.1594501675607419e-15,7.1594501675607419e-15,9,24,2.75,0
154,0.51988970544009561,2,pre_ko_rhs,6.7665094552597511e-15,6.7665094552597511e-15,9,24,3.4375,0
154,0.51988970544009561,3,pre_ko_rhs,6.3190705180478567e-15,6.3190705180478567e-15,9,22,1.4375,0
154,0.51988970544009561,4,pre_ko_rhs,6.9027666804039754e-15,6.9027666804039754e-15,9,24,4,0
155,0.52520100680610993,1,pre_ko_rhs,6.5721437305807117e-15,6.5721437305807117e-15,9,24,3.0625,0
155,0.52520100680610993,2,pre_ko_rhs,7.6688289877954838e-15,7.6688289877954838e-15,9,22,2,0
155,0.52520100680610993,3,pre_ko_rhs,6.8670780134963474e-15,6.8670780134963474e-15,9,10,-2.9375,0
155,0.52520100680610993,4,pre_ko_rhs,6.3178367342066891e-15,6.3178367342066891e-15,9,10,-3.75,0
156,0.53052147302124353,1,pre_ko_rhs,7.3713158722126278e-15,7.3713158722126278e-15,9,12,-1.8125,0
156,0.53052147302124353,2,pre_ko_rhs,7.0234667807286751e-15,7.0234667807286751e-15,9,24,2.5625,0
156,0.53052147302124353,3,pre_ko_rhs,6.4268500199626939e-15,6.4268500199626939e-15,9,10,-2.5,0
156,0.53052147302124353,4,pre_ko_rhs,6.7712143261848192e-15,6.7712143261848192e-15,9,24,2.1875,0
157,0.53585130174647766,1,pre_ko_rhs,7.9449176861215813e-15,7.9449176861215813e-15,9,12,-0.9375,0
157,0.53585130174647766,2,pre_ko_rhs,6.9943049193106192e-15,6.9943049193106192e-15,9,10,-2.625,0
157,0.53585130174647766,3,pre_ko_rhs,7.1392361226470026e-15,7.1392361226470026e-15,9,10,-3.875,0
157,0.53585130174647766,4,pre_ko_rhs,6.8953669163669433e-15,6.8953669163669433e-15,9,24,3.6875,0
158,0.54119068645539192,1,pre_ko_rhs,6.5236642661553081e-15,6.5236642661553081e-15,9,12,-1.9375,0
158,0.54119068645539192,2,pre_ko_rhs,7.5711204608419116e-15,7.5711204608419116e-15,9,24,3.25,0
