resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n512,28.556957866698326,10.959997227936254,11008,H,0.12434793595620731,0.2305704610324817,0.5,0.0625,same_level_seam,0.03125,7,16.0,4080.0,2.0,112.0
n512,28.556957866698326,10.959997227936254,11008,M,0.03211179800453779,0.10976436303510975,0.5,0.125,clean_interior,0.03125,7,16.0,4080.0,4.0,112.0
n512,28.556957866698326,10.959997227936254,11008,Z,0.0024217630724372155,0.015215634260027902,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.567135481539324,10.962196716453736,11012,C,0.16553068875128107,0.25702999390364506,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.567135481539324,10.962196716453736,11012,H,0.1236983682256724,0.23127593961724924,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.567135481539324,10.962196716453736,11012,M,0.03196895379604575,0.11009793917601969,0.5,0.09375,same_level_seam,0.03125,7,16.0,4080.0,3.0,112.0
n512,28.567135481539324,10.962196716453736,11012,Z,0.0024236003723486555,0.015140658562058998,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.5773118343004,10.96439671603746,11016,C,0.16475200320409386,0.2574788430577399,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.5773118343004,10.96439671603746,11016,H,0.12305362929603661,0.23167022924236513,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.5773118343004,10.96439671603746,11016,M,0.031827343776277474,0.11041953983498008,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.5773118343004,10.96439671603746,11016,Z,0.0024254399810894065,0.015043498346419017,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.58748692294885,10.966597227387357,11020,C,0.16397934390235563,0.2575217621121847,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.58748692294885,10.966597227387357,11020,H,0.12241368606080513,0.23169527044836746,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.58748692294885,10.966597227387357,11020,M,0.031686955033440475,0.11064092555835499,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.58748692294885,10.966597227387357,11020,Z,0.0024272819078783765,0.014924311042971197,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.597660745443132,10.968798251418,11024,C,0.16321266551579958,0.2571585613618446,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.597660745443132,10.968798251418,11024,H,0.12177850601755727,0.23135086485010747,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.597660745443132,10.968798251418,11024,M,0.03154777471190456,0.11068670188583822,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
