resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n256,7.348926456335755,6.432761627139122,1584,C,0.0004405121389295342,0.0012146496378540826,0.0,-4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.348926456335755,6.432761627139122,1584,H,0.00013771182471677222,0.0011720812917219376,0.0,-4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.348926456335755,6.432761627139122,1584,M,5.611149217260227e-05,0.0004328412921794123,0.125,4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.348926456335755,6.432761627139122,1584,Z,5.529417282733949e-05,0.00027129628081572703,2.3125,0.0,same_level_seam,0.0625,7,37.0,2011.0,0.0,27.0
n256,7.370522500049748,6.440821662802695,1588,C,0.0004418973425623525,0.0012962913841943825,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.370522500049748,6.440821662802695,1588,H,0.0001378978093449633,0.0012605203253929784,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.370522500049748,6.440821662802695,1588,M,5.617827058027349e-05,0.0004383734822815956,0.125,4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.370522500049748,6.440821662802695,1588,Z,5.557245146425266e-05,0.0002708934106288777,2.3125,0.0,same_level_seam,0.0625,7,37.0,2011.0,0.0,27.0
n256,7.392120893038958,6.448811982246023,1592,C,0.0004432864219985009,0.0013667187897290099,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.392120893038958,6.448811982246023,1592,H,0.00013808076834667397,0.0013369861171654762,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.392120893038958,6.448811982246023,1592,M,5.624755410250201e-05,0.00043817536824181834,0.125,4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.392120893038958,6.448811982246023,1592,Z,5.5851889494601765e-05,0.0002703374653176657,2.3125,0.0,same_level_seam,0.0625,7,37.0,2011.0,0.0,27.0
n256,7.413721656821459,6.456733112319962,1596,C,0.0004446785128518786,0.001424418509101866,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.413721656821459,6.456733112319962,1596,H,0.00013825963791484506,0.0014000096908245744,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.413721656821459,6.456733112319962,1596,M,5.6319543683578254e-05,0.0004322263991836212,0.125,4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.413721656821459,6.456733112319962,1596,Z,5.613248429766591e-05,0.000269631905883436,2.3125,0.0,same_level_seam,0.0625,7,37.0,2011.0,0.0,27.0
n256,7.435324812579094,6.464585575727936,1600,C,0.00044607300152829416,0.0014680567719709387,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.435324812579094,6.464585575727936,1600,H,0.00013843367907988744,0.0014482899196455673,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.435324812579094,6.464585575727936,1600,M,5.639436232923995e-05,0.0004206325893452443,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.435324812579094,6.464585575727936,1600,Z,5.641423400631352e-05,0.0002696216512952563,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.45693038116991,6.4723698912465295,1604,C,0.0004474695338888934,0.001516830753874998,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.45693038116991,6.4723698912465295,1604,H,0.00013860248428830552,0.0014807203488733482,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.45693038116991,6.4723698912465295,1604,M,5.6472054867417424e-05,0.00041973237791655344,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,7.45693038116991,6.4723698912465295,1604,Z,5.669713824215801e-05,0.00027045109987107035,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.478538383139688,6.480086573940395,1608,C,0.0004488680084324459,0.0016022612716274718,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.478538383139688,6.480086573940395,1608,H,0.00013876596469990308,0.0015606544265938877,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.478538383139688,6.480086573940395,1608,M,5.65525918309316e-05,0.0004235887414369586,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,7.478538383139688,6.480086573940395,1608,Z,5.698119875775893e-05,0.00027111849779303833,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.500148838732206,6.487736135372594,1612,C,0.0004502685595253842,0.0016721405582071252,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.500148838732206,6.487736135372594,1612,H,0.00013892432541463197,0.0016346249018356534,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.500148838732206,6.487736135372594,1612,M,5.6635875902907424e-05,0.0004226494140958614,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,7.500148838732206,6.487736135372594,1612,Z,5.7266419947994636e-05,0.00027162636522084436,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.521761767898021,6.495319083811931,1616,C,0.00045167153627903947,0.0017249021032340562,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.521761767898021,6.495319083811931,1616,H,0.00013907803590834392,0.0016912388032730699,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.521761767898021,6.495319083811931,1616,M,5.6721749296160784e-05,0.00041708273834506547,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,7.521761767898021,6.495319083811931,1616,Z,5.75528092126127e-05,0.0002719773232363304,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.5433771903018005,6.5028359244391405,1620,C,0.0004530774812920073,0.0017592232616369047,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.5433771903018005,6.5028359244391405,1620,H,0.00013922780105635006,0.0017291826528312024,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.5433771903018005,6.5028359244391405,1620,M,5.681000089560771e-05,0.00040719508916916414,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,7.5433771903018005,6.5028359244391405,1620,Z,5.784037716919449e-05,0.00027217408958375694,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.564995125328323,6.510287159553922,1624,C,0.00045448711114089656,0.0017740506368798174,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.564995125328323,6.510287159553922,1624,H,0.00013937453495301366,0.0017474059638149242,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.564995125328323,6.510287159553922,1624,M,5.690037280554089e-05,0.00040438886259641914,2.0,-0.9375,same_level_seam,0.0625,7,32.0,2016.0,0.0,32.0
n256,7.564995125328323,6.510287159553922,1624,Z,5.8129137723465606e-05,0.00027221947422257134,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.586615592087478,6.517673288784753,1628,C,0.0004559012980953239,0.0017686219866694327,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.586615592087478,6.517673288784753,1628,H,0.0001395193364684082,0.0017451439962773126,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,7.586615592087478,6.517673288784753,1628,M,5.699256680347628e-05,0.00040504913658028624,2.0,-0.9375,same_level_seam,0.0625,7,32.0,2016.0,0.0,32.0
n256,7.586615592087478,6.517673288784753,1628,Z,5.841910800562505e-05,0.00027211637452091204,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.608238609418561,6.524994809303182,1632,C,0.0004573210507154973,0.0018227694909210776,0.0,4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.608238609418561,6.524994809303182,1632,H,0.00013966346309879588,0.0017815196650133227,0.0,4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.608238609418561,6.524994809303182,1632,M,5.708625177832214e-05,0.0004054269396973449,2.0,-0.9375,same_level_seam,0.0625,7,32.0,2016.0,0.0,32.0
n256,7.608238609418561,6.524994809303182,1632,Z,5.8710308180571095e-05,0.0002718677697506372,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.629864195894246,6.53225221604397,1636,C,0.0004587474902736042,0.0018659112743323284,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.629864195894246,6.53225221604397,1636,H,0.00013980829888993697,0.0018267620952380648,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.629864195894246,6.53225221604397,1636,M,5.718107330214993e-05,0.00040567665016778067,1.9375,0.75,same_level_seam,0.0625,7,31.0,2017.0,1.0,33.0
n256,7.629864195894246,6.53225221604397,1636,Z,5.900276113846379e-05,0.000271476714820392,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.651492369824514,6.539446001931944,1640,C,0.0004601818203744554,0.001888595797014091,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.651492369824514,6.539446001931944,1640,H,0.00013995531310143582,0.0018515339825787552,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.651492369824514,6.539446001931944,1640,M,5.727666603056343e-05,0.0004065666516797877,1.9375,-0.8125,same_level_seam,0.0625,7,31.0,2017.0,1.0,33.0
n256,7.651492369824514,6.539446001931944,1640,Z,5.929649207292644e-05,0.0002709463332115499,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.673123149260775,6.546576658115943,1644,C,0.0004616252885178804,0.001889943416240062,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.673123149260775,6.546576658115943,1644,H,0.00014010600844390926,0.0018549645538726567,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.673123149260775,6.546576658115943,1644,M,5.7372668824282855e-05,0.0004078480233332278,1.9375,-0.8125,same_level_seam,0.0625,7,31.0,2017.0,1.0,33.0
n256,7.673123149260775,6.546576658115943,1644,Z,5.959152795646868e-05,0.0002702798090956048,2.25,0.0,same_level_seam,0.0625,7,36.0,2012.0,0.0,28.0
n256,7.694756552000305,6.553644674209645,1648,C,0.000463079140327554,0.0018693933226782379,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.694756552000305,6.553644674209645,1648,H,0.00014026186053310398,0.0018364968465950631,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,7.694756552000305,6.553644674209645,1648,M,5.7468741614380576e-05,0.0004088698058411253,1.9375,-0.8125,same_level_seam,0.0625,7,31.0,2017.0,1.0,33.0
n256,7.694756552000305,6.553644674209645,1648,Z,5.988789693318954e-05,0.0002699568243591514,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.716392595591079,6.560650538538528,1652,C,0.00046454456916108713,0.0018407224361261941,0.0,4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.716392595591079,6.560650538538528,1652,H,0.0001404242528428092,0.0018000017491172854,0.0,4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.716392595591079,6.560650538538528,1652,M,5.756458235478164e-05,0.00041460376711217564,0.25,-4.375,axis,0.125,6,2.0,989.0,14.317821063276353,3.0
n256,7.716392595591079,6.560650538538528,1652,Z,6.018562765687025e-05,0.00027076985825132566,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.738031297336943,6.567594738391745,1656,C,0.0004660226652365682,0.0018688855040034425,0.0,4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.738031297336943,6.567594738391745,1656,H,0.00014059441316924254,0.0018287079100944665,0.0,4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.738031297336943,6.567594738391745,1656,M,5.76599420634154e-05,0.00043606215365244675,0.25,4.5,axis,0.125,6,2.0,988.0,14.560219778561036,4.0
n256,7.738031297336943,6.567594738391745,1656,Z,6.048474861035222e-05,0.00027143556008263526,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.7596726743030775,6.5744777602772135,1660,C,0.0004675143691133809,0.001876329552459362,0.0,4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.7596726743030775,6.5744777602772135,1660,H,0.0001407733582424483,0.001836742092147508,0.0,4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.7596726743030775,6.5744777602772135,1660,M,5.775463598836077e-05,0.00045608380148855925,0.25,4.5,axis,0.125,6,2.0,988.0,14.560219778561036,4.0
n256,7.7596726743030775,6.5744777602772135,1660,Z,6.0785287452843173e-05,0.0002719563014107157,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.781316743321612,6.581300090177951,1664,C,0.00046902043396713654,0.0018624669279637233,0.0,-4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.781316743321612,6.581300090177951,1664,H,0.00014096185233954326,0.0018235325534717295,0.0,-4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.781316743321612,6.581300090177951,1664,M,5.7848549329895366e-05,0.0004710388274183538,0.25,4.5,axis,0.125,6,2.0,988.0,14.560219778561036,4.0
n256,7.781316743321612,6.581300090177951,1664,Z,6.10872704380939e-05,0.00027233454039401924,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.802963520997228,6.588062213807393,1668,C,0.0004705414000593098,0.0018270292507756396,0.0,-4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.802963520997228,6.588062213807393,1668,H,0.00014116038400062883,0.0017888223633616427,0.0,-4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.802963520997228,6.588062213807393,1668,M,5.794163666531309e-05,0.00048085116548965005,0.25,4.5,axis,0.125,6,2.0,988.0,14.560219778561036,4.0
n256,7.802963520997228,6.588062213807393,1668,Z,6.139072194506233e-05,0.00027257281337104104,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.82461302371257,6.594764616861388,1672,C,0.00047207758302510356,0.0017700750201710166,0.0,-4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.82461302371257,6.594764616861388,1672,H,0.00014136916226201038,0.0017326754818792053,0.0,-4.875,axis,0.125,6,0.0,985.0,17.46424919657298,7.0
n256,7.82461302371257,6.594764616861388,1672,M,5.803391518336067e-05,0.00048551796770118793,0.25,4.5,axis,0.125,6,2.0,988.0,14.560219778561036,4.0
n256,7.82461302371257,6.594764616861388,1672,Z,6.169566414883175e-05,0.00027267372624452483,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.8462652676332505,6.6014077852645014,1676,C,0.00047362907613581026,0.0017605442828131474,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.8462652676332505,6.6014077852645014,1676,H,0.0001415881313329177,0.0017231058658186398,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.8462652676332505,6.6014077852645014,1676,M,5.812545289472671e-05,0.0004904576052704406,0.125,4.5,axis,0.125,6,1.0,988.0,15.524174696260024,4.0
n256,7.8462652676332505,6.6014077852645014,1676,Z,6.200211684872965e-05,0.00027263994592326314,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.867920268712255,6.607992205408453,1680,C,0.0004751957650416663,0.001748878893421224,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.867920268712255,6.607992205408453,1680,H,0.00014181700014707723,0.0017109194485987302,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.867920268712255,6.607992205408453,1680,M,5.821635391389126e-05,0.0004937607128601649,0.125,4.5,axis,0.125,6,1.0,988.0,15.524174696260024,4.0
n256,7.867920268712255,6.607992205408453,1680,Z,6.231009744828511e-05,0.0002724741921076449,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.889578042693584,6.614518364380691,1684,C,0.0004767773527061713,0.0017172967729338023,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.889578042693584,6.614518364380691,1684,H,0.00014205528191288364,0.0016788538207142467,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.889578042693584,6.614518364380691,1684,M,5.8306743455294554e-05,0.0004920124646844151,0.125,4.5,axis,0.125,6,1.0,988.0,15.524174696260024,4.0
n256,7.889578042693584,6.614518364380691,1684,Z,6.261962107173932e-05,0.00027217922961220403,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.911238605115039,6.62098675018146,1688,C,0.0004783733914610752,0.0016658998136562303,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.911238605115039,6.62098675018146,1688,H,0.00014230233807175987,0.0016270206207002732,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.911238605115039,6.62098675018146,1688,M,5.83967551689434e-05,0.0004955844198472585,0.25,4.625,axis,0.125,6,2.0,987.0,14.866068747318506,5.0
n256,7.911238605115039,6.62098675018146,1688,Z,6.293070078834133e-05,0.00027175786157053363,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.932901971310148,6.627397851928091,1692,C,0.0004799833192012238,0.0015950926210487138,0.0,-5.0,axis,0.125,6,0.0,984.0,17.88854381999832,8.0
n256,7.932901971310148,6.627397851928091,1692,H,0.00014255742180241577,0.0015567158687353807,0.0,-5.125,axis,0.125,6,0.0,983.0,18.35755975068582,9.0
n256,7.932901971310148,6.627397851928091,1692,M,5.8486522821344535e-05,0.0004965062405432158,0.25,-4.625,axis,0.125,6,2.0,987.0,14.866068747318506,5.0
n256,7.932901971310148,6.627397851928091,1692,Z,6.324334791005433e-05,0.00027121292357464363,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.954568156409364,6.633752160045691,1696,C,0.000481606496541603,0.0015728229878675065,0.0,-5.125,axis,0.125,6,0.0,983.0,18.35755975068582,9.0
n256,7.954568156409364,6.633752160045691,1696,H,0.0001428197170782901,0.0015404465477209814,0.0,-5.125,axis,0.125,6,0.0,983.0,18.35755975068582,9.0
n256,7.954568156409364,6.633752160045691,1696,M,5.857617725234913e-05,0.0004992239578073173,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.954568156409364,6.633752160045691,1696,Z,6.355757232984677e-05,0.00027054727891874996,2.1875,0.0,same_level_seam,0.0625,7,35.0,2013.0,0.0,29.0
n256,7.976237175340773,6.640050166443837,1700,C,0.00048324224226909437,0.0015397899830496438,0.0,-5.125,axis,0.125,6,0.0,983.0,18.35755975068582,9.0
n256,7.976237175340773,6.640050166443837,1700,H,0.0001430883710250716,0.0015062676385419575,0.0,-5.125,axis,0.125,6,0.0,983.0,18.35755975068582,9.0
n256,7.976237175340773,6.640050166443837,1700,M,5.86658482943518e-05,0.0005022518051067008,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.976237175340773,6.640050166443837,1700,Z,6.387338287103872e-05,0.00027027576233611936,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,7.997909042830654,6.646292364679301,1704,C,0.0004848898647420005,0.0015118775508392993,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.997909042830654,6.646292364679301,1704,H,0.00014336251870848202,0.001477874030658289,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,7.997909042830654,6.646292364679301,1704,M,5.875567025530178e-05,0.0005010815420295329,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,7.997909042830654,6.646292364679301,1704,Z,6.419078762369686e-05,0.00027102479075734125,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.01958377340428,6.652479250105213,1708,C,0.00048654868760108507,0.0016055206740032202,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.01958377340428,6.652479250105213,1708,H,0.00014364130081829827,0.0015739334396595063,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.01958377340428,6.652479250105213,1708,M,5.884578890427088e-05,0.0004959486286216459,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,8.01958377340428,6.652479250105213,1708,Z,6.450979425386092e-05,0.00027164314662217205,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.04126138138737,6.658611320007379,1712,C,0.00048821806893378913,0.001684194277969018,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.04126138138737,6.658611320007379,1712,H,0.00014392387562482412,0.001654826589857536,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.04126138138737,6.658611320007379,1712,M,5.8936367763621544e-05,0.0004871586533367939,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,8.04126138138737,6.658611320007379,1712,Z,6.483041027268341e-05,0.00027213300119016757,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.062941880908543,6.66468907372872,1716,C,0.000489897413921108,0.001747270386412471,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.062941880908543,6.66468907372872,1716,H,0.0001442094271005447,0.0017199800220199166,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.062941880908543,6.66468907372872,1716,M,5.90275918484152e-05,0.00047508349075617843,0.125,-4.625,axis,0.125,6,1.0,987.0,15.811388300841896,5.0
n256,8.062941880908543,6.66468907372872,1716,Z,6.515264326234148e-05,0.0002724965767882139,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.084625285902987,6.670713012782907,1720,C,0.0004915861818178853,0.0017943407196953777,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.084625285902987,6.670713012782907,1720,H,0.0001444971712859357,0.0017690213104451652,0.0,4.5,axis,0.125,6,0.0,988.0,16.492422502470642,4.0
n256,8.084625285902987,6.670713012782907,1720,M,5.9119667645707404e-05,0.0004621937795770496,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,8.084625285902987,6.670713012782907,1720,Z,6.547650105254892e-05,0.0002727361424574653,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.106311610117492,6.676683640958425,1724,C,0.0004932838886156363,0.001884626910033161,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.106311610117492,6.676683640958425,1724,H,0.00014478636267258944,0.001838477372278411,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.106311610117492,6.676683640958425,1724,M,5.921281891219526e-05,0.000461073252111599,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,8.106311610117492,6.676683640958425,1724,Z,6.580199184736235e-05,0.0002728540102854118,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.128000867116778,6.682601464414248,1728,C,0.0004949901070583197,0.001976059610568726,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.128000867116778,6.682601464414248,1728,H,0.00014507630192267914,0.0019307472121178997,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.128000867116778,6.682601464414248,1728,M,5.9307278648820916e-05,0.00045789937254025033,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,8.128000867116778,6.682601464414248,1728,Z,6.612912430183437e-05,0.00027285253230256647,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.149693070290983,6.688466991768323,1732,C,0.0004967044655156238,0.002048857615597049,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.149693070290983,6.688466991768323,1732,H,0.00014536634541270236,0.002004482150509147,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.149693070290983,6.688466991768323,1732,M,5.940327826962346e-05,0.00045299782537634254,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,8.149693070290983,6.688466991768323,1732,Z,6.645790755048053e-05,0.0002727340978019286,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.171388232863979,6.694280734179929,1736,C,0.0004984266470305018,0.0021025819893100476,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.171388232863979,6.694280734179929,1736,H,0.0001456559164589488,0.0020592671396026316,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.171388232863979,6.694280734179929,1736,M,5.9501035420938086e-05,0.0004467294778275468,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,8.171388232863979,6.694280734179929,1736,Z,6.678835119082489e-05,0.0002725011307537188,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.19308636790222,6.700043205426941,1740,C,0.0005001563892648276,0.002137036326711623,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.19308636790222,6.700043205426941,1740,H,0.00014594451732714562,0.0020949192099202624,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.19308636790222,6.700043205426941,1740,M,5.960074204600236e-05,0.0004394789496812442,0.125,-4.75,axis,0.125,6,1.0,986.0,16.15549442140351,6.0
n256,8.19308636790222,6.700043205426941,1740,Z,6.712046523111413e-05,0.000272156087239019,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.214787488323678,6.7057549219787935,1744,C,0.0005018934857997179,0.0021522570013799403,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.214787488323678,6.7057549219787935,1744,H,0.00014623174104200253,0.002111479959356408,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.214787488323678,6.7057549219787935,1744,M,5.970255410671122e-05,0.0004520184101338496,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
n256,8.214787488323678,6.7057549219787935,1744,Z,6.745426001164635e-05,0.00027170145265012583,2.125,0.0,same_level_seam,0.0625,7,34.0,2014.0,0.0,30.0
n256,8.236491606906524,6.711416403065887,1748,C,0.0005036377886838888,0.002148501373233687,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.236491606906524,6.711416403065887,1748,H,0.00014651728186477258,0.0021092052045815247,0.0,4.625,axis,0.125,6,0.0,987.0,16.76305461424021,5.0
n256,8.236491606906524,6.711416403065887,1748,M,5.980658394291257e-05,0.00046780946586189937,0.0,-4.75,axis,0.125,6,0.0,986.0,17.08800749063506,6.0
