time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxAbsKret,maxRefLev,cycle,axisLapse,axisTau,axisKret
16.392187499999917,0.0046875,177.38486432049297,124.4776811127418,0.45346857189229745,11.808690612392775,5.821334691813928,56.0,5815.126060450792,3.0,1904.0,0.6430968565847754,10.152893121007262,5815.126060448419
16.410937499999914,0.0046875,177.6655650207886,124.52171358148748,0.4541786319838017,11.863281009780273,6.460893880535829,56.0,6691.565161600163,3.0,1908.0,0.6432027207045291,10.164952178296982,6691.565161595048
16.42968749999991,0.0046875,177.95208737930238,124.57041939133029,0.4553898175459127,11.918016485820543,7.21272686720267,56.0,7510.861211328094,3.0,1912.0,0.6433087660945599,10.177013224268974,7510.861211322737
16.44843749999991,0.0046875,178.24434221564366,124.62272086244633,0.45806579517405643,11.97290516416028,8.103286722390617,56.0,8065.590311887085,3.0,1916.0,0.6434134259315033,10.189076248168,8065.590311886218
16.467187499999905,0.0046875,178.54065420935234,124.6754896924015,0.463624938034525,12.027957885789572,9.166152000990769,56.0,7985.617747340777,3.0,1920.0,0.6435147597160111,10.201141206374592,7976.84421851211
16.485937499999903,0.0046875,178.83818105973234,124.72425882212096,0.47364848496323914,12.083187883720647,10.443559302622294,56.0,7676.701379527665,3.0,1924.0,0.643610469151251,10.213208015459712,6655.998406925415
16.5046874999999,0.0046875,179.13758211893287,124.768807995468,0.48896547106229504,12.138610197760656,11.987508307002692,56.0,11463.21992647327,3.0,1928.0,0.6436979960226274,10.225276546238474,3478.8699050766772
16.523437499999897,0.0046875,179.45531108964013,124.82688463039179,0.5082287441245045,12.194240363849085,13.859450079771204,56.0,15225.930494415723,3.0,1932.0,0.643774752959021,10.237346620826393,1281.9814197664637
16.542187499999894,0.0046875,179.85228984071364,124.96142286548545,0.5293737025893568,12.250092564059063,16.12689623414374,56.0,19600.447947329485,3.0,1936.0,0.6438385318202791,10.249418015644547,3591.9766162179544
16.56093749999989,0.0046875,180.56316952228107,125.25190454771737,0.7072162986986856,12.306253624426645,19.286684350228317,62.0,21533.456861621184,4.0,1940.0,0.6438888155322646,10.261490473727095,10708.13442867409
16.570312499999897,0.00234375,180.72864105079128,125.33528032434918,0.6679467394985388,12.334346929753021,21.020117460474616,62.0,33078.25541852046,4.0,1944.0,0.6439079019980517,10.267527023347737,33078.2554184405
16.579687499999903,0.00234375,181.02381992290861,125.17675824564768,0.9998667412788066,12.362545117023178,22.94898805801046,62.0,78191.17680274593,4.0,1948.0,0.6439237588397165,10.273563736499106,78191.17680257597
16.587890624999908,0.001171875,181.64142406141912,125.74252870766682,0.9448384735637408,12.387314397083154,24.93267220397148,68.0,139821.88661791148,5.0,1952.0,0.6439352711768127,10.278845972005875,139821.88661779318
16.59257812499991,0.001171875,184.40031767666932,127.3665066115048,2.0186745335308482,12.40147234542982,25.993850065562405,68.0,272099.4822309894,5.0,1956.0,0.6439408804996518,10.281864432005726,272099.4822304952
16.597265624999913,0.001171875,183.55724797374017,127.16595873234233,1.3150408291633835,12.41563425216267,27.118347941524423,68.0,317548.2576869362,5.0,1960.0,0.6439457533139321,10.284882916569192,317548.25768636086
16.601953124999916,0.001171875,184.68063322393238,127.97355425917476,1.5696910285456793,12.429799142619391,28.310441372140666,68.0,266166.9035871299,5.0,1964.0,0.6439499494989143,10.287901422348966,266166.9035869252
