gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
51,2,1,5.0390625,0.0234375,5.0390625,0.0234375,0.0390625,19.191642748367016,0.9370787187545147,18.60918937366941,8.665440949129023e-05
51,3,3,5.0546875,0.0546875,5.0546875,0.0546875,0.0546875,19.182918128596413,-0.9465916209736187,18.802282463051846,-0.00014006145649359634
51,4,1,5.0703125,0.0234375,5.0703125,0.0234375,0.0703125,19.02943815494208,0.22635354624108311,18.929721561024618,0.0003092105089782098
30,4,30,5.0703125,-0.0234375,5.0703125,0.0234375,0.0703125,18.686202608584534,0.23430438953779975,18.583424808930637,0.0003203526055685828
30,4,26,5.0703125,-0.0859375,5.0703125,0.0703125,0.0703125,18.44294436145531,0.4733738772693328,18.22050203600467,2.166058199257758e-05
51,4,5,5.0703125,0.0859375,5.0703125,0.0703125,0.0703125,18.325012251861313,0.47269441857707895,18.104174489653733,2.1837068364399947e-05
30,10,28,5.1640625,-0.0546875,5.1640625,0.0546875,0.1640625,17.66547677753052,-1.1896521070339614,16.789847510350786,-0.00014719419699004828
51,10,3,5.1640625,0.0546875,5.1640625,0.0546875,0.1640625,17.606297134301272,-1.185254536983649,16.746558849167965,-0.00014520316563305496
30,6,27,5.1015625,-0.0703125,5.1015625,0.0703125,0.1015625,17.089296127764115,-0.980446409841898,16.03843762623057,0.0006310167556117911
51,6,4,5.1015625,0.0703125,5.1015625,0.0703125,0.1015625,16.96269725821396,-0.979034204296676,15.91275140194581,0.0006256007939752931
30,11,30,5.1796875,-0.0234375,5.1796875,0.0234375,0.1796875,16.80812325323533,1.5083009587863156,15.493880784829342,0.0004037730415916375
51,11,1,5.1796875,0.0234375,5.1796875,0.0234375,0.1796875,16.46751834852405,1.5023463798943522,15.196682751585069,0.0004038281490206178
30,12,28,5.1953125,-0.0546875,5.1953125,0.0546875,0.1953125,15.6540782398815,-0.37503867718107176,15.654868166997451,-5.5846256287031806e-05
51,12,3,5.1953125,0.0546875,5.1953125,0.0546875,0.1953125,15.48440560696692,-0.37603536295911144,15.48384351582904,-5.575326008383434e-05
30,9,27,5.1484375,-0.0703125,5.1484375,0.0703125,0.1484375,14.818651223035214,-0.9401247778267445,14.04210019277638,0.00017649822274320195
30,5,26,5.0859375,-0.0859375,5.0859375,0.0859375,0.0859375,14.634787583983838,0.5766972803058515,14.135347740848749,-6.867392121609505e-05
51,9,4,5.1484375,0.0703125,5.1484375,0.0703125,0.1484375,14.599589890933952,-0.9391117896836202,13.820692076969882,0.00017548069464067096
30,10,29,5.1640625,-0.0390625,5.1640625,0.0390625,0.1640625,14.38637639831166,2.7510140598708985,6.347419290023424,0.0004321506099383463
51,5,5,5.0859375,0.0859375,5.0859375,0.0859375,0.0859375,14.375260734288704,0.5752623356135627,13.879761356503218,-6.762779115544825e-05
51,10,2,5.1640625,0.0390625,5.1640625,0.0390625,0.1640625,14.19351992024353,2.745802065496136,6.18611735942502,0.0004263657427343862
30,8,27,5.1328125,-0.0703125,5.1328125,0.0703125,0.1328125,13.984689786653306,0.1738358189549819,14.12679709033622,0.0006107278997924398
51,8,4,5.1328125,0.0703125,5.1328125,0.0703125,0.1328125,13.757169884004398,0.1721526590808523,13.900121864014766,0.0006048283422166677
30,6,26,5.1015625,-0.0859375,5.1015625,0.0859375,0.1015625,13.60151789160183,-0.13433081294143004,13.49550164834517,-0.00021059168856322796
51,6,5,5.1015625,0.0859375,5.1015625,0.0859375,0.1015625,13.411910995236314,-0.1340855677049731,13.305234869734843,-0.00020774934949920732
30,3,26,5.0546875,-0.0859375,5.0546875,0.0546875,0.0546875,11.996610595288955,0.3826946821970316,11.96231590910967,2.1329248396857694e-05
51,3,5,5.0546875,0.0859375,5.0546875,0.0546875,0.0546875,11.959511459248699,0.382782341624506,11.923620221704033,2.1522098111269392e-05
30,12,31,5.1953125,-0.0078125,5.1953125,0.0078125,0.1953125,11.873952932298803,-1.0828133081704228,10.299913621936145,0.00012112420822821909
51,12,0,5.1953125,0.0078125,5.1953125,0.0078125,0.1953125,11.73203651031126,-1.0783412007139275,10.169235953334503,0.00012096756717953918
30,9,25,5.1484375,-0.1015625,5.1484375,0.1015625,0.1484375,11.444489344058995,-0.25119514130308485,11.381912217849516,-9.08950997664622e-06
51,9,6,5.1484375,0.1015625,5.1484375,0.1015625,0.1484375,11.337160470269524,-0.24999856943106394,11.274817510984139,-8.564779956298218e-06
30,11,26,5.1796875,-0.0859375,5.1796875,0.0859375,0.1796875,10.983407270910355,0.5426377063750631,10.85768978906167,4.294374980338107e-05
30,4,25,5.0703125,-0.1015625,5.0703125,0.0703125,0.0703125,10.964438256594843,-0.24837514549239081,10.893402467577001,1.638953691839988e-06
51,11,5,5.1796875,0.0859375,5.1796875,0.0859375,0.1796875,10.914913084426558,0.5417085555011435,10.791068041670274,4.262474443062432e-05
30,5,24,5.0859375,-0.1171875,5.0859375,0.0859375,0.0859375,10.913372046766098,0.019245760039418927,10.913692346805878,-8.590919960808488e-06
51,4,6,5.0703125,0.1015625,5.0703125,0.0703125,0.0703125,10.905804665480025,-0.24813268362668653,10.834777226942906,1.7468663408358094e-06
30,9,24,5.1484375,-0.1171875,5.1484375,0.1171875,0.1484375,10.894142869030773,-0.04207087469301176,10.885508514407682,-7.442522378246068e-06
51,5,7,5.0859375,0.1171875,5.0859375,0.0859375,0.0859375,10.823188078651096,0.019021201907297447,10.82350476678427,-8.883845173887822e-06
51,9,7,5.1484375,0.1171875,5.1484375,0.1171875,0.1484375,10.782973313390732,-0.04194990335649505,10.774544177256116,-7.84192303592631e-06
51,4,2,5.0703125,0.0390625,5.0703125,0.0390625,0.0703125,9.96305423176675,1.176110038608899,8.385205232283063,0.0011486176655926253
30,4,29,5.0703125,-0.0390625,5.0703125,0.0390625,0.0703125,9.837310201980534,1.1779463419560479,8.265987040232378,0.0011552544888107645
51,5,3,5.0859375,0.0546875,5.0859375,0.0546875,0.0859375,9.579344260789474,0.24386137032367144,9.737171296021856,-6.677068426667234e-05
