variable,region,difference_128_256_rms,difference_256_512_rms,observed_order_rms,geometry,family
z4c_betaz,outer_or_nearest,0.0,0.0,,vc_large,state
z4c_Bx,full,5.090341281038175e-05,1.5934647666445647e-06,4.99752335986024,vc_large,state
z4c_Bx,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Bx,core_r8,0.00018006171246383218,5.6664584980865955e-06,4.989900294014411,vc_large,state
z4c_Bx,core_r8_mb_interior,0.000187135240480283,5.84023465619881e-06,5.001911119220431,vc_large,state
z4c_Bx,outer_or_nearest,9.025494872647673e-06,2.3888827962539904e-07,5.239598058988465,vc_large,state
z4c_By,full,5.8044078491807524e-05,1.809290679308067e-06,5.003652780530015,vc_large,state
z4c_By,axis_or_nearest,8.252704707984827e-05,2.5539571896292973e-06,5.014060772509483,vc_large,state
z4c_By,core_r8,0.00022313301547742957,6.974338070950025e-06,4.999703886576542,vc_large,state
z4c_By,core_r8_mb_interior,0.00023178597329183653,7.252494970019125e-06,4.998172063110101,vc_large,state
z4c_By,outer_or_nearest,8.922718644882034e-06,2.4065106668658794e-07,5.212468625744818,vc_large,state
z4c_Bz,full,0.0,0.0,,vc_large,state
z4c_Bz,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Bz,core_r8,0.0,0.0,,vc_large,state
z4c_Bz,core_r8_mb_interior,0.0,0.0,,vc_large,state
z4c_Bz,outer_or_nearest,0.0,0.0,,vc_large,state
con_C,full,4.189749302745345e-07,2.4184822935439405e-09,7.436618135976427,vc_large,constraints
con_C,axis_or_nearest,1.2249227810983787e-10,3.646146182164015e-12,5.070174591234311,vc_large,constraints
con_C,core_r8,1.8882223052269912e-06,1.0899514285672498e-08,7.436620970928034,vc_large,constraints
con_C,core_r8_mb_interior,1.7721266864405045e-06,1.0055788374466168e-08,7.461311739802056,vc_large,constraints
con_C,outer_or_nearest,3.7200353055761274e-11,4.0110080844069507e-11,-0.10864856046548262,vc_large,constraints
con_H,full,7.724255760960568e-05,5.8956422048723306e-06,3.7116750569098604,vc_large,constraints
con_H,axis_or_nearest,4.686883607819265e-06,4.205722277360751e-07,3.478203477227868,vc_large,constraints
con_H,core_r8,0.0003480786509224036,2.6562713970854166e-05,3.7119388677771554,vc_large,constraints
con_H,core_r8_mb_interior,0.00034485035646956833,2.62960865556062e-05,3.713050442688677,vc_large,constraints
con_H,outer_or_nearest,1.760887617688335e-06,1.25766611426445e-06,0.48555387153608537,vc_large,constraints
con_M,full,1.6946194771360086e-07,9.504711045692267e-10,7.478102872644658,vc_large,constraints
con_M,axis_or_nearest,2.684589724960648e-13,1.2422897432438305e-13,1.1116999265599004,vc_large,constraints
con_M,core_r8,7.637331347485684e-07,4.2835945218732936e-09,7.478102883155492,vc_large,constraints
con_M,core_r8_mb_interior,7.370985858069353e-07,4.0769362855477496e-09,7.498228369720301,vc_large,constraints
con_M,outer_or_nearest,1.3771249193034086e-13,1.1107663277061386e-13,0.3101040841972503,vc_large,constraints
con_Z,full,1.7444227120887146e-08,8.954651850709521e-11,7.605896621423414,vc_large,constraints
con_Z,axis_or_nearest,3.4732455632451177e-13,3.9066975956103915e-13,-0.1696651707950501,vc_large,constraints
con_Z,core_r8,7.859077745534075e-08,4.0337821241995865e-10,7.606083051372913,vc_large,constraints
con_Z,core_r8_mb_interior,7.584202814898216e-08,3.904222762045959e-10,7.601818364065344,vc_large,constraints
con_Z,outer_or_nearest,1.6942200458586763e-12,2.1344052920651634e-12,-0.33321288412410616,vc_large,constraints
con_Mx,full,8.297466088359264e-05,6.199697449703768e-06,3.7424011104045705,vc_large,constraints
con_Mx,axis_or_nearest,2.7705194904181477e-19,5.831056835308343e-19,-1.0736008684377882,vc_large,constraints
con_Mx,core_r8,0.0003739484953705932,2.7940509791754858e-05,3.742409329738073,vc_large,constraints
con_Mx,core_r8_mb_interior,0.00036152075120332035,2.694160511361827e-05,3.746170749253468,vc_large,constraints
con_Mx,outer_or_nearest,3.860534391164418e-08,3.557573342201979e-08,0.11790706577786447,vc_large,constraints
con_My,full,6.0227940141021054e-05,4.3374776539189415e-06,3.7955046878162864,vc_large,constraints
con_My,axis_or_nearest,2.9129828567566304e-07,4.022291589176745e-08,2.8564076348085954,vc_large,constraints
con_My,core_r8,0.0002714291720692283,1.9547421349340978e-05,3.7955255757021353,vc_large,constraints
con_My,core_r8_mb_interior,0.00029255662333821435,2.1062925384367817e-05,3.7959381522328197,vc_large,constraints
con_My,outer_or_nearest,3.693816839370308e-08,3.158722301942125e-08,0.2257712224092436,vc_large,constraints
con_Mz,full,0.0,0.0,,vc_large,constraints
con_Mz,axis_or_nearest,0.0,0.0,,vc_large,constraints
con_Mz,core_r8,0.0,0.0,,vc_large,constraints
con_Mz,core_r8_mb_interior,0.0,0.0,,vc_large,constraints
con_Mz,outer_or_nearest,0.0,0.0,,vc_large,constraints
z4c_chi,full,2.6833374364435624e-06,3.5783481931893086e-07,2.9066628069553673,cc_base,state
z4c_chi,axis_or_nearest,1.8250217171569296e-07,6.199145349718689e-08,1.5577723957092542,cc_base,state
z4c_chi,core_r8,5.950672191992527e-06,7.820928825658678e-07,2.927640785917562,cc_base,state
