case,axis,offset,h,var,state,rhs
0,1,-1,0.125,1,1,0.019132712499999996
0,1,-1,0.125,2,0,-0.01929996875
0,1,-1,0.125,3,0,-0.0021463687500000031
0,1,-1,0.125,4,1,0.013170950000000001
0,1,-1,0.125,5,0,0.0025345437500000007
0,1,-1,0.125,6,1,-0.032303662499999997
0,1,-1,0.125,7,0.01225,0.0066414525856433402
0,1,-1,0.125,8,-0.0065000000000000006,-0.003602337344785675
0,1,-1,0.125,9,0.01375,0.0016907045998495211
0,1,-1,0.125,10,-0.0022500000000000003,0.0010426165955903898
0,1,-1,0.125,11,0.018000000000000002,0.0026478329913767521
0,1,-1,0.125,12,-0.00075000000000000002,-0.0022237702451200392
0,1,-1,0.125,13,-0.011500000000000002,0.0009138186440339213
0,1,-1,0.125,14,0.0035000000000000001,-0.028117282664062493
0,1,-1,0.125,15,-0.01525,0.030589383371874994
0,1,-1,0.125,16,0.0050000000000000001,-0.0053122973406249776
0,1,-1,0.125,17,-0.010999999999999999,0.0047355631989245885
0,1,-1,0.125,18,1.3975,-0.023439817757812592
0,1,-1,0.125,19,0.090499999999999997,-0.211308
0,1,-1,0.125,20,0.21075000000000002,-0.44523200000000002
0,1,-1,0.125,21,0.29475000000000007,-0.59679250000000017
0,1,-1,0.125,22,0.014999999999999999,0.011754690796874913
0,1,-1,0.125,23,-0.0037499999999999999,-0.035241290300781283
0,1,-1,0.125,24,0.019250000000000003,-0.00709511301640613
0,1,-1,0.125,25,0.00050000000000000001,0.0020666604312500067
0,1,-1,0.125,26,-0.018250000000000002,0.020741625
0,1,-1,0.125,27,0.002,-0.020168349999999995
0,1,-1,0.125,28,-0.013999999999999999,0.020501060431249978
0,1,-1,0.125,29,0.0062500000000000003,0.0094619624999999988
0,1,-1,0.125,30,0.013499999999999998,-0.022451102068749989
0,1,-1,0.125,31,0.0077500000000000008,-0.012206966640624997
0,1,-1,0.125,32,-0.0082500000000000004,0.0054542500000000008
0,1,-1,0.125,33,0.012,0.00013691250000000613
0,1,-1,0.125,34,-0.0067499999999999999,0.0056598083593749921
0,1,-1,0.125,35,0.016250000000000001,-0.014191474999999999
0,1,-1,0.125,36,-0.0010000000000000009,0.0069881458593750063
0,1,-1,0.125,37,0.017750000000000002,-0.01990435207812501
0,1,-1,0.125,38,-0.001,0.0048809499999999985
0,1,-1,0.125,39,-0.017000000000000001,-0.004714712500000013
0,1,-1,0.125,40,0.0032500000000000003,-0.0071356520781250049
0,1,-1,0.125,41,-0.0155,0.024044037499999997
0,1,-1,0.125,42,-0.021000000000000001,0.028133797921875019
0,1,-1,0.125,43,-0.01125,0.051961250000000091
0,1,-1,0.125,44,0.0090000000000000011,-0.1057135375000003
0,1,-1,0.125,45,-0.0097500000000000017,0.045107087500000233
0,1,-1,0.125,46,0.01325,-0.038093812499999963
0,1,-1,0.125,47,-0.0054999999999999997,0.0069004375000000021
0,1,-1,0.125,48,0.014749999999999999,-0.040495875000000001
0,1,-1,0.125,49,-0.0040000000000000001,0.0018226875000000014
0,1,-1,0.125,50,0.019000000000000003,-0.037737562500000002
0,1,-1,0.125,51,0.00025000000000000001,-0.012859375000000001
0,1,-1,0.125,52,-0.018500000000000003,0.051689562500000001
0,1,-1,0.125,53,0.00175,-0.019547375000000013
0,1,-1,0.125,54,-0.014249999999999999,0.048119125000000013
0,1,0,0.125,0,0.25,-0.0026950000000000125
0,1,0,0.125,1,1,0.018199999999999997
0,1,0,0.125,2,0,-0.0195
0,1,0,0.125,3,0,-0.00090000000000000258
0,1,0,0.125,4,1,0.013400000000000002
0,1,0,0.125,5,0,0.0030000000000000001
0,1,0,0.125,6,1,-0.031600000000000003
0,1,0,0.125,7,0.012,0.007240331249999999
0,1,0,0.125,8,-0.0060000000000000001,-0.003612728124999999
0,1,0,0.125,9,0.014999999999999999,0.0017238195312500001
0,1,0,0.125,10,-0.0030000000000000001,0.00099084843749999967
0,1,0,0.125,11,0.018000000000000002,0.0026278968750000032
0,1,0,0.125,12,0,-0.0021497429687500009
0,1,0,0.125,13,-0.012000000000000002,0.00091643124999999357
0,1,0,0.125,14,0.0030000000000000001,-0.027848933333333332
0,1,0,0.125,15,-0.014999999999999999,0.030678366666666665
0,1,0,0.125,16,0.0060000000000000001,-0.0055898666666666435
0,1,0,0.125,17,-0.012,0.0054404249999999979
0,1,0,0.125,18,1.3999999999999999,-0.02411000000000009
0,1,0,0.125,19,0.090999999999999998,-0.21404999999999999
0,1,0,0.125,20,0.21200000000000002,-0.44646800000000009
0,1,0,0.125,21,0.29400000000000004,-0.59655000000000014
0,1,0,0.125,22,0.014999999999999999,0.011729666666666579
0,1,0,0.125,23,-0.0030000000000000001,-0.035998033333333367
0,1,0,0.125,24,0.018000000000000002,-0.0058229666666666582
0,1,0,0.125,25,0,0.0025292000000000092
0,1,0,0.125,26,-0.018000000000000002,0.020593999999999998
0,1,0,0.125,27,0.0030000000000000001,-0.021107999999999988
0,1,0,0.125,28,-0.014999999999999999,0.021326199999999979
0,1,0,0.125,29,0.0060000000000000001,0.0096230000000000013
0,1,0,0.125,30,0.014999999999999999,-0.023797799999999984
0,1,0,0.125,31,0.0090000000000000011,-0.013348799999999989
0,1,0,0.125,32,-0.0090000000000000011,0.0062609999999999975
0,1,0,0.125,33,0.012,-1.5999999999998654e-05
0,1,0,0.125,34,-0.0060000000000000001,0.00492619999999999
0,1,0,0.125,35,0.014999999999999999,-0.012882999999999999
0,1,0,0.125,36,-0.0030000000000000009,0.0090201999999999991
0,1,0,0.125,37,0.018000000000000002,-0.020300400000000007
0,1,0,0.125,38,0,0.0038729999999999997
0,1,0,0.125,39,-0.018000000000000002,-0.0036340000000000088
0,1,0,0.125,40,0.0030000000000000001,-0.0067864000000000058
0,1,0,0.125,41,-0.014999999999999999,0.023479999999999997
0,1,0,0.125,42,-0.021000000000000001,0.028060600000000022
0,1,0,0.125,43,-0.012,0.053405000000000064
0,1,0,0.125,44,0.0090000000000000011,-0.1061880000000003
