receiver_gid,fine_j,fine_i,rho,z,variable,current,preserved,difference,captured,current_minus_captured,distance_to_known_seam
8,0,33,1.84375,-8.21875,By,-0.0030141086531964619,-0.0030141086531592261,-3.7235839411842164e-14,-0.0030141086531964623,4.3368086899420177e-19,8.8002186141169236
8,1,32,1.78125,-8.15625,chi,0.59494433006279246,0.59494433007242331,-9.6308516717158454e-12,0.59494433006279246,0,8.7657503333285742
8,1,32,1.78125,-8.15625,gxx,0.99234729123404819,0.99234729121049248,2.3555712935774409e-11,0.99234729123404819,0,8.7657503333285742
8,1,32,1.78125,-8.15625,gxy,-0.0058123122368213846,-0.0058123122407918336,3.9704489696035239e-12,-0.0058123122368213846,0,8.7657503333285742
8,1,32,1.78125,-8.15625,gyy,1.0163055071992226,1.0163055072067724,-7.5497386120559895e-12,1.0163055071992226,0,8.7657503333285742
8,1,32,1.78125,-8.15625,gzz,0.99157730992878146,0.99157730994499838,-1.6216916698397199e-11,0.99157730992878146,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Khat,-0.0017261057408847035,-0.0017261059431765964,2.0229189287221394e-10,-0.0017261057408847035,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Axx,0.001617957046513466,0.0016179568687526365,1.7776082949366723e-10,0.001617957046513466,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Axy,0.00048131186753252531,0.00048131169966379945,1.6786872586438406e-10,0.00048131186753252531,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Ayy,-0.0034268210535572906,-0.0034268210248371853,-2.8720105287038944e-11,-0.0034268210535572906,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Azz,0.0017212716740825577,0.001721271826114187,-1.5203162925629676e-10,0.0017212716740825577,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Gamx,-0.00084458580379718161,-0.00084458574630408843,-5.7493093185562172e-11,-0.0008445858037971815,-1.0842021724855044e-19,8.7657503333285742
8,1,32,1.78125,-8.15625,Gamy,-0.0084053728439270475,-0.0084053727168135663,-1.2711348119920363e-10,-0.0084053728439270475,0,8.7657503333285742
8,1,32,1.78125,-8.15625,Theta,2.4821583597009401e-05,2.4821465173967811e-05,1.1842304158913306e-10,2.4821583597009404e-05,-3.3881317890172014e-21,8.7657503333285742
8,1,32,1.78125,-8.15625,alpha,0.77506788772886559,0.77506788772893875,-7.3163697322797816e-14,0.77506788772886559,0,8.7657503333285742
8,1,32,1.78125,-8.15625,betax,-0.00038617989101066141,-0.00038617989008521338,-9.2544803200964032e-13,-0.00038617989101066141,0,8.7657503333285742
8,1,32,1.78125,-8.15625,betay,-0.0037138628877389471,-0.003713862889048672,1.3097248979798692e-12,-0.0037138628877389467,-4.3368086899420177e-19,8.7657503333285742
8,1,32,1.78125,-8.15625,Bx,0.00043281029167253611,0.00043281029176085517,-8.8319054760560567e-14,0.00043281029167253611,0,8.7657503333285742
8,1,32,1.78125,-8.15625,By,-0.0030399541523384605,-0.0030399541523012247,-3.7235839411842164e-14,-0.0030399541523384609,4.3368086899420177e-19,8.7657503333285742
8,1,33,1.84375,-8.15625,chi,0.59518311207206076,0.59518311205967822,1.2382539438249296e-11,0.59518311207206076,0,8.7422119358460986
8,1,33,1.84375,-8.15625,gxx,0.99243316852972463,0.99243316856001051,-3.0285884911052108e-11,0.99243316852972485,-2.2204460492503131e-16,8.7422119358460986
8,1,33,1.84375,-8.15625,gxy,-0.0059927861277717653,-0.0059927861226669026,-5.104862713101177e-12,-0.0059927861277717653,0,8.7422119358460986
8,1,33,1.84375,-8.15625,gyy,1.0161908589357069,1.0161908589259998,9.7071239935075937e-12,1.0161908589357069,0,8.7422119358460986
8,1,33,1.84375,-8.15625,gzz,0.99160546416535122,0.99160546414450079,2.085043249167029e-11,0.99160546416535122,0,8.7422119358460986
8,1,33,1.84375,-8.15625,Khat,-0.0017228707494619327,-0.0017228704893723563,-2.6008957639510333e-10,-0.0017228707494619327,0,8.7422119358460986
8,1,33,1.84375,-8.15625,Axx,0.0016071799144426876,0.0016071801429923256,-2.285496379823837e-10,0.0016071799144426876,0,8.7422119358460986
8,1,33,1.84375,-8.15625,Axy,0.00049419983593843541,0.0004942000517696544,-2.15831218999471e-10,0.00049419983593843541,0,8.7422119358460986
8,1,33,1.84375,-8.15625,Ayy,-0.0034181420347053114,-0.003418142071631161,3.6925849530855537e-11,-0.0034181420347053119,4.3368086899420177e-19,8.7422119358460986
8,1,33,1.84375,-8.15625,Azz,0.0017238167508960374,0.0017238165554267996,1.9546923780110192e-10,0.0017238167508960374,0,8.7422119358460986
8,1,33,1.84375,-8.15625,Gamx,-0.00085767781041230589,-0.00085767788433199711,7.3919691223091333e-11,-0.00085767781041230578,-1.0842021724855044e-19,8.7422119358460986
8,1,33,1.84375,-8.15625,Gamy,-0.0084361162563081193,-0.0084361164197397365,1.6343161719778454e-10,-0.0084361162563081193,0,8.7422119358460986
8,1,33,1.84375,-8.15625,Theta,1.8884165811056299e-05,1.8884318069252625e-05,-1.5225819632598125e-10,1.8884165811056299e-05,0,8.7422119358460986
8,1,33,1.84375,-8.15625,alpha,0.77521250873623038,0.77521250873613634,9.4035890185750759e-14,0.77521250873623038,0,8.7422119358460986
8,1,33,1.84375,-8.15625,betax,-0.00039471776886701589,-0.00039471777005687769,1.1898617941624723e-12,-0.00039471776886701589,0,8.7422119358460986
8,1,33,1.84375,-8.15625,betay,-0.0037363058806141052,-0.0037363058789301731,-1.6839320736428132e-12,-0.0037363058806141043,-8.6736173798840355e-19,8.7422119358460986
8,1,33,1.84375,-8.15625,Bx,0.00044771888111160327,0.00044771888099805023,1.1355304717353132e-13,0.00044771888111160327,0,8.7422119358460986
