receiver_gid,sender_gid,coarse_j,coarse_i,rho,z,variable,received_value,refreshed_value,difference,consumer_neighbor_gid,consumer_coarse_j,consumer_coarse_i,consumer_ox1,consumer_ox2
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,62,20,4,0,1
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,62,20,5,0,1
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,62,21,4,0,1
59,56,19,3,5.96875,1.96875,gyy,1.2083457943010762,1.2083434116547525,-2.3826463237952566e-06,62,21,5,0,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,62,20,4,0,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,62,20,5,0,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,62,21,4,0,1
59,56,19,3,5.96875,1.96875,gzz,0.70966559341903312,0.70966505961443926,-5.3380459386076495e-07,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Khat,0.038576565914535156,0.037291726431460684,-0.0012848394830744722,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Axx,0.021318375060112985,0.021536446995698542,0.00021807193558555718,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Axy,-0.044538917794445992,-0.044462655522959797,7.6262271486195188e-05,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Ayy,-0.0085268908991185492,-0.0086445082667937091,-0.00011761736767515983,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Azz,-0.0083353150610030492,-0.0083982727955718758,-6.2957734568826543e-05,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Gamx,0.061430476868309179,0.061417266602593133,-1.3210265716045999e-05,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Gamy,0.046059714516342012,0.046060412473652765,6.9795731075239509e-07,62,21,5,0,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,62,20,4,0,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,62,20,5,0,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,62,21,4,0,1
59,56,19,3,5.96875,1.96875,Theta,-0.00017927808470725613,0.00059507804303058677,0.0007743561277378429,62,21,5,0,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,62,20,4,0,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,62,20,5,0,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,62,21,4,0,1
59,56,19,3,5.96875,1.96875,alpha,0.71202998472793744,0.71202895807148214,-1.0266564552940949e-06,62,21,5,0,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,61,21,3,-1,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,62,20,4,0,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,62,20,5,0,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,62,21,4,0,1
59,56,19,3,5.96875,1.96875,betax,0.028582703883944259,0.0285790712769169,-3.6326070273588751e-06,62,21,5,0,1
59,56,19,3,5.96875,1.96875,betay,0.02042681009016243,0.020427206747924823,3.9665776239289352e-07,61,20,2,-1,1
59,56,19,3,5.96875,1.96875,betay,0.02042681009016243,0.020427206747924823,3.9665776239289352e-07,61,20,3,-1,1
59,56,19,3,5.96875,1.96875,betay,0.02042681009016243,0.020427206747924823,3.9665776239289352e-07,61,21,2,-1,1
59,56,19,3,5.96875,1.96875,betay,0.02042681009016243,0.020427206747924823,3.9665776239289352e-07,61,21,3,-1,1
