case	target_time	time	region	maximum	radius
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta	3.88264775877866910e+01	3.60843918243516776e-02
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_near_r_lt_1	3.88264775877866910e+01	3.60843918243516776e-02
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_inner_r_lt_0p5	3.88264775877866910e+01	3.60843918243516776e-02
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_0p5_1	1.91125488339994543e+00	5.01300392313165144e-01
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1_1p5	7.77645210784213115e-01	1.00065082987690235e+00
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1p5_2	4.38254956725824207e-01	1.50043396500256998e+00
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_outer_r_ge_2	2.84571871002504861e-01	2.00032549434669082e+00
d	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta	3.88264775881866342e+01	3.60843918243516290e-02
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_near_r_lt_1	3.88264775881866342e+01	3.60843918243516290e-02
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_inner_r_lt_0p5	3.88264775881866342e+01	3.60843918243516290e-02
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_0p5_1	1.91125488339994698e+00	5.01300392313165144e-01
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1_1p5	7.77645210784213559e-01	1.00065082987690235e+00
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1p5_2	4.38254956725824429e-01	1.50043396500256976e+00
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_outer_r_ge_2	2.84571871002505028e-01	2.00032549434669127e+00
d	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta	3.88264787503127877e+01	3.60843918243516290e-02
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_near_r_lt_1	3.88264787503127877e+01	3.60843918243516290e-02
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_inner_r_lt_0p5	3.88264787503127877e+01	3.60843918243516290e-02
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_0p5_1	1.91125488339995275e+00	5.01300392313165144e-01
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1_1p5	7.77645210784213892e-01	1.00065082987690235e+00
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1p5_2	4.38254956725824651e-01	1.50043396500256976e+00
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_outer_r_ge_2	2.84571871002506416e-01	2.00032549434669127e+00
d	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta	3.95909499807794774e+01	3.60843918243516776e-02
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_near_r_lt_1	3.95909499807794774e+01	3.60843918243516776e-02
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_inner_r_lt_0p5	3.95909499807794774e+01	3.60843918243516776e-02
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_0p5_1	1.91125488340885719e+00	5.01300392313165255e-01
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1_1p5	7.77645210784218777e-01	1.00065082987690235e+00
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1p5_2	4.38254956725826761e-01	1.50043396500256976e+00
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_outer_r_ge_2	2.84571871002520183e-01	2.00032549434669127e+00
d	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta	5.18077873391654222e+01	3.60843918243516776e-02
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_near_r_lt_1	5.18077873391654222e+01	3.60843918243516776e-02
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_inner_r_lt_0p5	5.18077873391654222e+01	3.60843918243516776e-02
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_annulus_0p5_1	1.91125488355308559e+00	5.01300392313165255e-01
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_annulus_1_1p5	7.77645210784222218e-01	1.00065082987690235e+00
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_annulus_1p5_2	4.38254956725827371e-01	1.50043396500256976e+00
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_outer_r_ge_2	2.84571871002524956e-01	2.00032549434669127e+00
d	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
