axisTau,region,field,n128,n256,n512,p_128_256,p_256_512,p_self
2.0030390813418952,R12,Z,0.002764912899625029,1.7503807687573187e-05,8.689386542352113e-08,7.303421430527976,7.654198748728856,7.301438925660089
2.013004449905785,R12,Z,0.0027652292392914956,1.7574898533900745e-05,8.731090468777718e-08,7.297738915410349,7.653138794417438,7.295725425374923
2.0229698184696754,R12,Z,0.0027678144966517063,1.7645989380228303e-05,8.777633754521225e-08,7.293263122452331,7.651292531258546,7.291230182871836
2.0329351870335652,R12,Z,0.002770399754011917,1.771708022655586e-05,8.824177040264729e-08,7.28880948687211,7.649463415972172,7.286757076728485
2.042900555597455,R12,Z,0.002772985011372128,1.778817107288342e-05,8.870720326008235e-08,7.284377823476677,7.647651209311698,7.282305922491441
2.0528659241613454,R12,Z,0.0027755702687323387,1.785926191921098e-05,8.917263611751741e-08,7.27996794931052,7.645855676486792,7.27787653793122
2.0628312927252352,R12,Z,0.0027781555260925493,1.7930352765538534e-05,8.963806897495247e-08,7.275579683619996,7.644076587059541,7.273468743006922
2.072796661289125,R12,Z,0.0027807407834527604,1.8001443611866092e-05,9.010350183238751e-08,7.27121284781839,7.642313714843491,7.269082359831569
2.0827620298530154,R12,Z,0.002783326040812971,1.8072534458193653e-05,9.056893468982258e-08,7.266867265451684,7.640566837805501,7.264717212638126
2.0927273984169052,R12,Z,0.0027859112981731817,1.814362530452121e-05,9.103436754725763e-08,7.262542762164981,7.6388357379703224,7.2603731277461945
2.1026927669807955,R12,Z,0.002788496555533393,1.821471615084877e-05,9.14998004046927e-08,7.2582391656695915,7.637120201327798,7.256049933529346
2.1126581355446854,R12,Z,0.0027910818128936035,1.8285806997176327e-05,9.196523326212775e-08,7.253956305710771,7.635420017742628,7.2517474603831005
2.1226235041085753,R12,Z,0.002793667070253814,1.8356897843503885e-05,9.24306661195628e-08,7.2496940140360655,7.633734980866586,7.2474655406935184
2.1325888726724656,R12,Z,0.0027962523276140253,1.8427988689831446e-05,9.289609897699787e-08,7.245452124364285,7.632064888053132,7.243204008806405
2.1425542412363554,R12,Z,0.002798837584974236,1.8499079536159e-05,9.336153183443291e-08,7.241230472355066,7.630409540274335,7.238962700997102
2.1525196098002457,R12,Z,0.002801422842334447,1.8570170382486562e-05,9.382696469186798e-08,7.237028895579022,7.628768742040032,7.2347414554408624
2.1624849783641356,R12,Z,0.0028084522714235775,1.8640043503865902e-05,9.42012807717171e-08,7.235226247755094,7.628442836730744,7.232928426060679
2.1724503469280254,R12,Z,0.0028217354550829107,1.8707632425702382e-05,9.45256097209788e-08,7.236811940142871,7.628706022122888,7.234523370648923
2.1824157154919157,R12,Z,0.0028350186387422443,1.8775221347538865e-05,9.484993867024051e-08,7.238384493659674,7.628967360136043,7.236105086688399
2.1923810840558056,R12,Z,0.0028483018224015775,1.884281026937535e-05,9.517426761950222e-08,7.23994407185528,7.629226870157407,7.237673739015675
2.2023464526196954,R12,Z,0.0028615850060609107,1.8910399191211828e-05,9.549859656876393e-08,7.24149083556129,7.629484571303782,7.239229489724788
2.2123118211835857,R12,Z,0.0028748681897202443,1.897798811304831e-05,9.582292551802563e-08,7.243024942947665,7.629740482426284,7.2407724982243495
2.2222771897474756,R12,Z,0.0028881513733795775,1.9045577034884794e-05,9.614725446728734e-08,7.244546549577846,7.629994622114935,7.242302921293228
2.232242558311366,R12,Z,0.002901434557038911,1.9113165956721277e-05,9.647158341654906e-08,7.2460558084625175,7.630247008703173,7.243820913134838
2.2422079268752557,R12,Z,0.002914717740698244,1.9180754878557757e-05,9.679591236581077e-08,7.247552870112019,7.6304976602722645,7.245326625430092
2.2521732954391456,R12,Z,0.002928000924357577,1.924834380039424e-05,9.712024131507246e-08,7.24903788258748,7.630746594655625,7.246820207389035
2.262138664003036,R12,Z,0.0029412841080169107,1.9315932722230723e-05,9.744457026433418e-08,7.250510991550694,7.630993829443051,7.248301805801218
2.2721040325669257,R12,Z,0.002954567291676244,1.9383521644067203e-05,9.776889921359589e-08,7.251972340312767,7.6312393819848685,7.24977156508483
2.282069401130816,R12,Z,0.0029678504753355775,1.945111056590369e-05,9.80932281628576e-08,7.253422069881587,7.631483269395996,7.251229627334636
2.292034769694706,R12,Z,0.0029811336589949107,1.951869948774017e-05,9.84175571121193e-08,7.2548603190081495,7.631725508559923,7.252676132368759
2.3020001382585957,R12,Z,0.002994416842654244,1.958628840957665e-05,9.8741886061381e-08,7.256287224231741,7.63196611613261,7.254111217774311
2.311965506822486,R12,Z,0.0030077000263135775,1.9647174812100972e-05,9.9048924401431e-08,7.258195003007823,7.631964849490746,7.256031555430442
2.321930875386376,R12,Z,0.0030209317063831474,1.96757545298514e-05,9.903114233919778e-08,7.2624307979248695,7.634320965136642,7.260283232142516
2.3318962439502657,R12,Z,0.0030340785020295056,1.9704334247601825e-05,9.901336027696458e-08,7.266601597506077,7.636674083413922,7.264469441302695
2.341861612514156,R12,Z,0.003047225297675864,1.973291396535225e-05,9.899557821473136e-08,7.270748344904024,7.63902421316277,7.268631396726933
2.351826981078046,R12,Z,0.0030603720933222224,1.9761493683102674e-05,9.897779615249816e-08,7.2748712645592075,7.641371363185069,7.272769325754726
2.361792349641936,R12,Z,0.003073518888968581,1.9790073400853102e-05,9.896001409026496e-08,7.278970577950958,7.643715542244621,7.276883452712983
2.371757718205826,R12,Z,0.003086665684614939,1.9818653118603527e-05,9.894223202803174e-08,7.283046503648418,7.646056759067369,7.280973998968126
2.381723086769716,R12,Z,0.0030998124802612973,1.9847232836353952e-05,9.892444996579854e-08,7.287099257360451,7.648395022341613,7.2850411829770705
2.391688455333606,R12,Z,0.003112959275907656,1.987581255410438e-05,9.890666790356533e-08,7.291129051984475,7.6507303407182325,7.289085220337119
2.401653823897496,R12,Z,0.003126106071554014,1.9904392271854804e-05,9.888888584133212e-08,7.295136097654283,7.653062722810892,7.293106323834803
2.4116191924613863,R12,Z,0.0031392528672003726,1.9932971989605232e-05,9.887110377909891e-08,7.299120601786836,7.655392177196265,7.297104703493679
2.421584561025276,R12,Z,0.003152399662846731,1.9961551707355657e-05,9.88533217168657e-08,7.303082769128092,7.657718712414236,7.30108056662114
2.431549929589166,R12,Z,0.003165546458493089,1.9990131425106082e-05,9.88355396546325e-08,7.307022801797872,7.66004233696812,7.305034117854216
2.4415152981530563,R12,Z,0.0031786932541394476,2.001871114285651e-05,9.881775759239929e-08,7.310940899333787,7.662363059324866,7.308965559204451
2.451480666716946,R12,Z,0.0031918400497858057,2.0047290860606934e-05,9.879997553016609e-08,7.3148372587342765,7.664680887915267,7.312875090101824
2.4614460352808365,R12,Z,0.0032049868454321643,2.007587057835736e-05,9.878219346793287e-08,7.318712074500728,7.666995831134166,7.316762907437765
2.4714114038447264,R12,Z,0.003215476521076272,2.0062696338864542e-05,9.862054207298302e-08,7.324373234048533,7.668411612852409,7.3224526840892645
2.481376772408616,R12,Z,0.003218362619410424,2.00270737394507e-05,9.833228613794473e-08,7.328231439528288,7.6700707368315095,7.326326889925063
2.4913421409725065,R12,Z,0.003221248717744576,1.999145114003686e-05,9.804403020290643e-08,7.332093049305122,7.67173769401561,7.330204427159468
2.5013075095363964,R12,Z,0.003224134816078728,1.9955828540623017e-05,9.775577426786814e-08,7.3359580817383945,7.673412541130887,7.334085314114612
2.511272878100286,R12,Z,0.0032270209144128798,1.9920205941209177e-05,9.746751833282985e-08,7.339826555269155,7.675095335463043,7.337969569192773
2.5212382466641765,R12,Z,0.003229907012747032,1.9884583341795334e-05,9.717926239779155e-08,7.343698488420789,7.676786134864348,7.341857210877019
2.5312036152280664,R12,Z,0.0032327931110811836,1.9848960742381494e-05,9.689100646275326e-08,7.3475738997996665,7.678484997760781,7.3457482577318425
2.5411689837919567,R12,Z,0.0032356792094153358,1.981333814296765e-05,9.660275052771496e-08,7.351452808095799,7.680191983159288,7.349642728403815
2.5511343523558465,R12,Z,0.0032385653077494875,1.9777715543553812e-05,9.631449459267666e-08,7.355335232083499,7.681907150655155,7.353540641622232
2.5610997209197364,R12,Z,0.0032414514060836396,1.9742092944139972e-05,9.602623865763837e-08,7.359221190622052,7.683630560439485,7.357442016199781
2.5710650894836267,R12,Z,0.0032443375044177913,1.970647034472613e-05,9.573798272260007e-08,7.363110702656381,7.685362273306798,7.361346871033197
2.5810304580475165,R12,Z,0.0032472236027519434,1.967084774531229e-05,9.544972678756178e-08,7.367003787217734,7.687102350662753,7.365255225103939
