resolution,axisTau,time,cycle,leaf_count,minimum_chi,minimum_conformal_spd_pivot,minimum_conformal_determinant,minimum_physical_determinant,chi_psi_power,full_reconstructed_C,full_reconstructed_H,full_reconstructed_M,full_reconstructed_Z,full_history_C,full_history_H,full_history_M,full_history_Z,full_relative_difference_C,full_relative_difference_H,full_relative_difference_M,full_relative_difference_Z
n128,2.006135392880382,3.256887615571772,285,44,0.3406412899494171,0.7484767849429517,0.9999996606927379,1.9771021730263143,-4.0,0.027802089654556866,0.00967003133072738,0.004935943537351927,0.0028066222478610407,0.02782168246473821,0.009679432952013026,0.00493758668854848,0.0028084824893895837,-0.0007042280856370494,-0.0009712987663900399,-0.0003327842730061598,-0.0006623653647729788
n128,2.1583451284528925,3.5038610608617073,303,44,0.3431921899318695,0.75357673276838,0.9999996691540639,1.9771291173052894,-4.0,0.02936979143868216,0.010698745951207407,0.005116841185854896,0.0028579823766946744,0.02936149700064459,0.01069023363463507,0.005115259575914006,0.002858717567540681,0.00028249370382539996,0.0007962703962575356,0.00030919446362746026,-0.00025717505442098644
n128,2.3181676982334865,3.763162149841378,322,44,0.34510529041290283,0.7583221259860902,0.9999997082219404,1.9771610591733617,-4.0,0.03118050404793299,0.011387750225980603,0.00524336520628306,0.003086051222258576,0.031183633185377826,0.011390627307746596,0.005244448843310801,0.003085820388763708,-0.00010034550580543165,-0.0002525832588725565,-0.00020662553113151127,7.480457894070492e-05
n128,2.4688307624579653,4.0075960898964995,340,44,0.3471469283103943,0.76083216077663,0.9999997786291,1.977194775308284,-4.0,0.03322152895325609,0.012320440077445784,0.005431796090350591,0.0033017405877237673,0.03322152898369858,0.01232043997274256,0.005431796078928811,0.0033017405872258713,-9.163482157159945e-10,8.498334779723314e-09,2.102762908434703e-09,1.5079803579738722e-10
n128,2.6187842879916565,4.250904593887905,358,44,0.3489527106285095,0.7638746460941377,0.9999998167527732,1.9772318321493723,-4.0,0.0347808156206183,0.013280255045857574,0.005648661605035968,0.0033650257414614805,0.03477107206104134,0.013274232792273395,0.0056495524865267,0.0033635853263127426,0.0002802202808085898,0.0004536799737070098,-0.00015769062998482965,0.00042823802847214077
n128,2.7764624206155277,4.506833740844586,377,44,0.3505827486515045,0.7678809372969653,0.9999997292992655,1.9772743021458086,-4.0,0.03553089191375455,0.013911619564833694,0.0058922377958255025,0.0032618241172823054,0.035536887480344975,0.01391479150978139,0.005892539580455994,0.003262416162635467,-0.00016871389183248486,-0.00022795490291510967,-5.121469722359146e-05,-0.00018147450345000574
n128,2.9334681390915125,4.761865739060173,396,44,0.35235434770584106,0.7718714148693517,0.9999996516045676,1.9773209999002368,-4.0,0.0368542633262954,0.014741823028093473,0.0061087324821964065,0.0032602651307176863,0.03685426332090286,0.014741823165837994,0.0061087325129829725,0.003260265133611711,1.4632067215087352e-10,-9.343791409053299e-09,-5.0397633125084215e-09,-8.876654949523811e-10
n128,3.0814732669886182,5.002622082444611,414,44,0.353765606880188,0.7731737416957003,0.9999995081965416,1.9773686744070984,-4.0,0.038640827292159174,0.015680364477591024,0.006195472215135805,0.003389462507392376,0.038645600768053734,0.015681161674855747,0.0061983605313986724,0.0033895080901532766,-0.00012351925703547176,-5.083789589393092e-05,-0.0004659806812199213,-1.3448193569116164e-05
n128,3.2368609743169796,5.255997472613671,433,44,0.3550258278846741,0.7752756314500431,0.9999992346300086,1.9774233559024499,-4.0,0.04086751044132874,0.016660325821784013,0.006494073691791932,0.0035364104102849256,0.04086757053927734,0.016661988933151666,0.006493242282630718,0.0035360680924666587,-1.4705534927512752e-06,-9.981469645227221e-05,0.0001280422206696658,9.680747353145637e-05
n128,3.391216241055919,5.508666202463884,452,44,0.3563976287841797,0.7777939830800946,0.9999991519022211,1.9774820289220378,-4.0,0.042805604477777155,0.017463032924201587,0.0067744809209633935,0.0036128459001980714,0.042805604285289046,0.017463032817803776,0.006774480897072586,0.0036128458930241437,4.4967969031039815e-09,6.092745275739889e-09,3.526588693346107e-09,1.985672208823318e-09
n128,3.544239023794242,5.760580936637083,471,44,0.3576674163341522,0.7805608793116718,0.9999988515323195,1.977544575279589,-4.0,0.04502874580934901,0.018099444313931068,0.007203499282383597,0.003685647641248339,0.04503384591662422,0.018104406837806942,0.0072028765766870085,0.003685680365924769,-0.00011325053793197896,-0.00027410585280876747,8.645236246361684e-05,-8.878869891321777e-06
n128,3.695653167825094,6.011713822190709,490,44,0.3585059642791748,0.7809801765120028,0.999998356655763,1.9776121181421509,-4.0,0.047955793661177304,0.019266514505371975,0.007544877720661005,0.0037761657931247475,0.04795507239526721,0.01926118139077442,0.007546092373535677,0.0037765670202022147,1.5040450865128421e-05,0.0002768840856309718,-0.00016096448526550314,-0.00010624121730685539
