resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n512,3.00160006532766,1.8488212972777676,shell_4_8,C,9.527269907238395e-07,5779.241133281006,2.0665835377137677e-09,0.00012516249482358324,7.71875,1.03125,7.71875,1.03125,0.006254489908478046
n512,3.00160006532766,1.8488212972777676,shell_4_8,H,2.679320162772403e-07,5779.241133281006,5.035949062796152e-10,6.286542338784784e-05,7.8125,1.59375,7.8125,1.59375,0.010905233295833632
n512,3.00160006532766,1.8488212972777676,shell_4_8,M,3.951482923396418e-07,5779.241133281006,1.6663959607891729e-09,0.00011230390603412567,7.71875,-1.0,7.71875,-1.0,0.04295219921823011
n512,3.00160006532766,1.8488212972777676,shell_4_8,Z,6.152764915965399e-08,5779.241133281006,4.658964733180299e-11,1.8524665929994864e-05,7.6875,-0.03125,7.6875,0.0,0.002085117897659501
n512,3.00160006532766,1.8488212972777676,shell_8_12,C,4.568475813601766e-07,10683.06121831515,1.5646905045722055e-09,0.00011056607784798308,7.875,-1.5,7.875,-1.5,0.002999126313361755
n512,3.00160006532766,1.8488212972777676,shell_8_12,H,2.2308536167338614e-07,10683.06121831515,1.3721873190113687e-09,6.97715295245871e-05,8.125,-2.3125,8.0,2.0625,0.009079907462109278
n512,3.00160006532766,1.8488212972777676,shell_8_12,M,1.3344369867923887e-07,10683.06121831515,1.0521788653205056e-09,9.066767255153149e-05,7.875,1.5,7.875,1.5,0.014505188156454364
n512,3.00160006532766,1.8488212972777676,shell_8_12,Z,2.3474464959724925e-08,10683.06121831515,1.0313102202480663e-10,1.4021210291237254e-05,8.5,-0.0625,8.5,0.0,0.000795528964522826
n512,3.00160006532766,1.8488212972777676,shell_12_16,C,6.662464447237222e-05,17057.50349663735,4.337702300493463e-08,0.0002850765850743397,15.9375,0.0625,16.0,0.0,0.4373794072862333
n512,3.00160006532766,1.8488212972777676,shell_12_16,H,1.6100399053439695e-05,17057.50349663735,6.413303677350979e-09,0.00013996256166137755,15.9375,-0.0625,16.0,0.0,0.6553102920410245
