family,gid,i,j,rho,z,region,difference,absolute_difference
C,28,14,1,5.2265625,-0.9765625,COARSE_FINE_INTERFACE,-4.1108475817140666e-05,4.1108475817140666e-05
C,28,15,1,5.2421875,-0.9765625,COARSE_FINE_INTERFACE,-3.9888881763464404e-05,3.9888881763464404e-05
C,28,16,1,5.2578125,-0.9765625,COARSE_FINE_INTERFACE,-3.004857273276179e-05,3.004857273276179e-05
C,28,17,1,5.2734375,-0.9765625,COARSE_FINE_INTERFACE,-3.820325261409598e-05,3.820325261409598e-05
C,28,18,1,5.2890625,-0.9765625,COARSE_FINE_INTERFACE,-1.246173792692016e-05,1.246173792692016e-05
C,28,19,1,5.3046875,-0.9765625,COARSE_FINE_INTERFACE,-3.107498972682813e-05,3.107498972682813e-05
C,28,20,1,5.3203125,-0.9765625,COARSE_FINE_INTERFACE,-8.454678943447657e-06,8.454678943447657e-06
C,28,21,1,5.3359375,-0.9765625,COARSE_FINE_INTERFACE,-2.0724658027346764e-05,2.0724658027346764e-05
C,28,22,1,5.3515625,-0.9765625,COARSE_FINE_INTERFACE,-1.4493592407069551e-05,1.4493592407069551e-05
C,28,23,1,5.3671875,-0.9765625,COARSE_FINE_INTERFACE,-1.352031968765259e-05,1.352031968765259e-05
C,28,24,1,5.3828125,-0.9765625,COARSE_FINE_INTERFACE,-6.436926805861946e-06,6.436926805861946e-06
C,28,25,1,5.3984375,-0.9765625,COARSE_FINE_INTERFACE,2.059890605464812e-06,2.059890605464812e-06
C,28,26,1,5.4140625,-0.9765625,COARSE_FINE_INTERFACE,1.1398973701231326e-05,1.1398973701231326e-05
C,28,27,1,5.4296875,-0.9765625,COARSE_FINE_INTERFACE,1.0761644182199527e-06,1.0761644182199527e-06
C,28,28,1,5.4453125,-0.9765625,COARSE_FINE_INTERFACE,-1.1019845575896761e-05,1.1019845575896761e-05
C,28,29,1,5.4609375,-0.9765625,COARSE_FINE_INTERFACE,-7.244754093949611e-06,7.244754093949611e-06
C,28,30,1,5.4765625,-0.9765625,COARSE_FINE_INTERFACE,-1.3526700941605789e-05,1.3526700941605789e-05
