state,measure,family,region,integral,volume,cell_count,max_magnitude,max_rho,max_z,nonfinite_count,negative_squared_count,rms,order
T5,proper_ring,H,COARSE_FINE_INTERFACE,0.4242093095121811,176.90692962724853,2720,2.3568921015754363,5.0546875,-0.0078125,0,0,0.04896859856040157,O6
T5,proper_ring,H,MESHBLOCK_EDGE_OR_CORNER,12.10164597699102,308.0876379294228,4448,9.025836895618998,5.1328125,0.0078125,0,0,0.19819152786918195,O6
T5,proper_ring,H,INTERIOR,0.1846984252916562,623.8743627289833,9216,1.130605549841443,5.1015625,0.0703125,0,0,0.017206123140970715,O6
T5,proper_ring,H,GLOBAL,12.710553711794805,1108.868930285652,16384,9.025836895618998,5.1328125,0.0078125,0,0,0.10706367030828855,O6
T5,proper_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O6
T5,proper_ring,M,COARSE_FINE_INTERFACE,4.929129673098901,176.90692962724853,2720,5.102527585626591,5.0546875,-0.0078125,0,0,0.1669216616238079,O6
T5,proper_ring,M,MESHBLOCK_EDGE_OR_CORNER,42.61975191118754,308.0876379294228,4448,10.283351203099992,5.0703125,-0.0078125,0,0,0.37193609103413766,O6
T5,proper_ring,M,INTERIOR,14.51129508300608,623.8743627289833,9216,5.023183366188403,5.1328125,-0.0859375,0,0,0.1525121758557743,O6
T5,proper_ring,M,GLOBAL,62.06017666729245,1108.868930285652,16384,10.283351203099992,5.0703125,-0.0078125,0,0,0.23657366404611893,O6
T5,coordinate_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O6
T5,coordinate_ring,C,COARSE_FINE_INTERFACE,2.2769394636266354,67.31107697242255,2720,5.621077840675188,5.0546875,-0.0078125,0,0,0.18392148825731458,O6
T5,coordinate_ring,C,MESHBLOCK_EDGE_OR_CORNER,23.719189469573305,116.86479234427973,4448,12.249057943824583,5.1328125,-0.0078125,0,0,0.4505137767460178,O6
T5,coordinate_ring,C,INTERIOR,6.243418687710275,236.79754626433163,9216,5.050010412269836,5.1328125,-0.0859375,0,0,0.16237629624994968,O6
T5,coordinate_ring,C,GLOBAL,32.23954762091062,420.9734155810335,16384,12.249057943824583,5.1328125,-0.0078125,0,0,0.276736939772312,O6
T5,coordinate_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O6
T5,coordinate_ring,H,COARSE_FINE_INTERFACE,0.18118548464765874,67.31107697242255,2720,2.3568921015754363,5.0546875,-0.0078125,0,0,0.05188220571485749,O6
T5,coordinate_ring,H,MESHBLOCK_EDGE_OR_CORNER,5.273686899257887,116.86479234427973,4448,9.025836895618998,5.1328125,0.0078125,0,0,0.21242974370976642,O6
T5,coordinate_ring,H,INTERIOR,0.07858731791515254,236.79754626433163,9216,1.130605549841443,5.1015625,0.0703125,0,0,0.018217452030631996,O6
T5,coordinate_ring,H,GLOBAL,5.5334597018207115,420.9734155810335,16384,9.025836895618998,5.1328125,0.0078125,0,0,0.11464920305159866,O6
T5,coordinate_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O6
T5,coordinate_ring,M,COARSE_FINE_INTERFACE,2.0946831341613708,67.31107697242255,2720,5.102527585626591,5.0546875,-0.0078125,0,0,0.17640703409590983,O6
T5,coordinate_ring,M,MESHBLOCK_EDGE_OR_CORNER,18.4163258629392,116.86479234427973,4448,10.283351203099992,5.0703125,-0.0078125,0,0,0.39697179363690743,O6
T5,coordinate_ring,M,INTERIOR,6.157915635350757,236.79754626433163,9216,5.023183366188403,5.1328125,-0.0859375,0,0,0.1612605989170621,O6
T5,coordinate_ring,M,GLOBAL,26.66892463245141,420.9734155810335,16384,10.283351203099992,5.0703125,-0.0078125,0,0,0.2516954800144394,O6
