
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 232
Number of logical  levels of refinement = 5 (6 levels total)
Number of physical levels of refinement = 3 (4 levels total)
  Physical level = 0 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 1 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 5): 64 MeshBlocks, cost = 64
Number of parallel ranks = 8
  Rank = 0: 29 MeshBlocks, cost = 29
  Rank = 1: 29 MeshBlocks, cost = 29
  Rank = 2: 29 MeshBlocks, cost = 29
  Rank = 3: 29 MeshBlocks, cost = 29
  Rank = 4: 29 MeshBlocks, cost = 29
  Rank = 5: 29 MeshBlocks, cost = 29
  Rank = 6: 29 MeshBlocks, cost = 29
  Rank = 7: 29 MeshBlocks, cost = 29
Load Balancing:
  Maximum normalized cost = 1, Average = 1
### WARNING in /pscratch/sd/h/hzhu/fo-gh-20m-20260817.57196231/src/src/parameter_input.cpp: input parameter <problem>/near_radius = 2.0 was not used by the code (check for a typo)

Setup complete, executing task list(s)...

elapsed=2.557042e+02 cycle=1290 time=2.668736e+00 dt=2.067910e-03
elapsed=2.575434e+02 cycle=1300 time=2.689415e+00 dt=2.067887e-03
elapsed=2.593828e+02 cycle=1310 time=2.710094e+00 dt=2.067863e-03
elapsed=2.612222e+02 cycle=1320 time=2.730772e+00 dt=2.067839e-03
elapsed=2.630614e+02 cycle=1330 time=2.751450e+00 dt=2.067815e-03
elapsed=2.648998e+02 cycle=1340 time=2.772128e+00 dt=2.067790e-03
elapsed=2.667389e+02 cycle=1350 time=2.792806e+00 dt=2.067765e-03
elapsed=2.686407e+02 cycle=1360 time=2.813484e+00 dt=2.067740e-03
elapsed=2.704817e+02 cycle=1370 time=2.834161e+00 dt=2.067714e-03
elapsed=2.723203e+02 cycle=1380 time=2.854838e+00 dt=2.067689e-03
elapsed=2.741601e+02 cycle=1390 time=2.875515e+00 dt=2.067663e-03
elapsed=2.759977e+02 cycle=1400 time=2.896191e+00 dt=2.067636e-03
elapsed=2.778370e+02 cycle=1410 time=2.916868e+00 dt=2.067610e-03
elapsed=2.796768e+02 cycle=1420 time=2.937543e+00 dt=2.067583e-03
elapsed=2.815161e+02 cycle=1430 time=2.958219e+00 dt=2.067555e-03
elapsed=2.833571e+02 cycle=1440 time=2.978895e+00 dt=2.067528e-03
elapsed=2.851975e+02 cycle=1450 time=2.999570e+00 dt=2.067500e-03
elapsed=2.871081e+02 cycle=1460 time=3.020245e+00 dt=2.067472e-03
elapsed=2.889492e+02 cycle=1470 time=3.040919e+00 dt=2.067443e-03
elapsed=2.907878e+02 cycle=1480 time=3.061594e+00 dt=2.067414e-03
elapsed=2.926274e+02 cycle=1490 time=3.082268e+00 dt=2.067385e-03
elapsed=2.944670e+02 cycle=1500 time=3.102941e+00 dt=2.067356e-03
elapsed=2.963060e+02 cycle=1510 time=3.123615e+00 dt=2.067326e-03
elapsed=2.981445e+02 cycle=1520 time=3.144288e+00 dt=2.067296e-03
elapsed=2.999833e+02 cycle=1530 time=3.164961e+00 dt=2.067265e-03
elapsed=3.018217e+02 cycle=1540 time=3.185633e+00 dt=2.067234e-03
elapsed=3.037250e+02 cycle=1550 time=3.206305e+00 dt=2.067203e-03
elapsed=3.055674e+02 cycle=1560 time=3.226977e+00 dt=2.067172e-03
elapsed=3.074071e+02 cycle=1570 time=3.247649e+00 dt=2.067140e-03
elapsed=3.092480e+02 cycle=1580 time=3.268320e+00 dt=2.067108e-03
elapsed=3.110872e+02 cycle=1590 time=3.288991e+00 dt=2.067076e-03
elapsed=3.129263e+02 cycle=1600 time=3.309662e+00 dt=2.067043e-03
elapsed=3.147640e+02 cycle=1610 time=3.330332e+00 dt=2.067010e-03
elapsed=3.166021e+02 cycle=1620 time=3.351002e+00 dt=2.066976e-03
elapsed=3.184404e+02 cycle=1630 time=3.371671e+00 dt=2.066942e-03
elapsed=3.202806e+02 cycle=1640 time=3.392341e+00 dt=2.066908e-03
elapsed=3.221845e+02 cycle=1650 time=3.413010e+00 dt=2.066873e-03
elapsed=3.240232e+02 cycle=1660 time=3.431611e+00 dt=0.000000e+00
elapsed=3.258634e+02 cycle=1670 time=3.431611e+00 dt=0.000000e+00
elapsed=3.277047e+02 cycle=1680 time=3.431611e+00 dt=0.000000e+00
elapsed=3.295461e+02 cycle=1690 time=3.431611e+00 dt=0.000000e+00
elapsed=3.313881e+02 cycle=1700 time=3.431611e+00 dt=0.000000e+00
elapsed=3.332293e+02 cycle=1710 time=3.431611e+00 dt=0.000000e+00
elapsed=3.350723e+02 cycle=1720 time=3.431611e+00 dt=0.000000e+00
elapsed=3.369140e+02 cycle=1730 time=3.431611e+00 dt=0.000000e+00
elapsed=3.387555e+02 cycle=1740 time=3.431611e+00 dt=0.000000e+00
elapsed=3.405970e+02 cycle=1750 time=3.431611e+00 dt=0.000000e+00
elapsed=3.424386e+02 cycle=1760 time=3.431611e+00 dt=0.000000e+00
elapsed=3.442806e+02 cycle=1770 time=3.431611e+00 dt=0.000000e+00
elapsed=3.461217e+02 cycle=1780 time=3.431611e+00 dt=0.000000e+00
elapsed=3.479639e+02 cycle=1790 time=3.431611e+00 dt=0.000000e+00
elapsed=3.498064e+02 cycle=1800 time=3.431611e+00 dt=0.000000e+00
elapsed=3.516480e+02 cycle=1810 time=3.431611e+00 dt=0.000000e+00
elapsed=3.534889e+02 cycle=1820 time=3.431611e+00 dt=0.000000e+00
elapsed=3.553299e+02 cycle=1830 time=3.431611e+00 dt=0.000000e+00
elapsed=3.571711e+02 cycle=1840 time=3.431611e+00 dt=0.000000e+00
elapsed=3.590139e+02 cycle=1850 time=3.431611e+00 dt=0.000000e+00
elapsed=3.608561e+02 cycle=1860 time=3.431611e+00 dt=0.000000e+00
elapsed=3.626972e+02 cycle=1870 time=3.431611e+00 dt=0.000000e+00
elapsed=3.645388e+02 cycle=1880 time=3.431611e+00 dt=0.000000e+00
elapsed=3.663806e+02 cycle=1890 time=3.431611e+00 dt=0.000000e+00
elapsed=3.682229e+02 cycle=1900 time=3.431611e+00 dt=0.000000e+00
elapsed=3.700632e+02 cycle=1910 time=3.431611e+00 dt=0.000000e+00
srun: interrupt (one more within 1 sec to abort)
srun: StepId=57196231.18 tasks 0-7: running
elapsed=3.719055e+02 cycle=1920 time=3.431611e+00 dt=0.000000e+00
elapsed=3.737473e+02 cycle=1930 time=3.431611e+00 dt=0.000000e+00
elapsed=3.755882e+02 cycle=1940 time=3.431611e+00 dt=0.000000e+00
srun: interrupt (one more within 1 sec to abort)
srun: StepId=57196231.18 tasks 0-7: running
elapsed=3.774301e+02 cycle=1950 time=3.431611e+00 dt=0.000000e+00
elapsed=3.792702e+02 cycle=1960 time=3.431611e+00 dt=0.000000e+00
elapsed=3.811115e+02 cycle=1970 time=3.431611e+00 dt=0.000000e+00
elapsed=3.829513e+02 cycle=1980 time=3.431611e+00 dt=0.000000e+00
elapsed=3.847928e+02 cycle=1990 time=3.431611e+00 dt=0.000000e+00
elapsed=3.866351e+02 cycle=2000 time=3.431611e+00 dt=0.000000e+00
elapsed=3.884760e+02 cycle=2010 time=3.431611e+00 dt=0.000000e+00
elapsed=3.903171e+02 cycle=2020 time=3.431611e+00 dt=0.000000e+00
elapsed=3.921582e+02 cycle=2030 time=3.431611e+00 dt=0.000000e+00
elapsed=3.940002e+02 cycle=2040 time=3.431611e+00 dt=0.000000e+00
elapsed=3.958409e+02 cycle=2050 time=3.431611e+00 dt=0.000000e+00
elapsed=3.976824e+02 cycle=2060 time=3.431611e+00 dt=0.000000e+00
elapsed=3.995240e+02 cycle=2070 time=3.431611e+00 dt=0.000000e+00
elapsed=4.013652e+02 cycle=2080 time=3.431611e+00 dt=0.000000e+00
elapsed=4.032063e+02 cycle=2090 time=3.431611e+00 dt=0.000000e+00
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
[2026-08-18T02:39:28.643] error: *** STEP 57196231.18 ON nid001133 CANCELLED AT 2026-08-18T02:39:28 DUE to SIGNAL Killed ***
srun: error: nid001133: task 3: Killed
srun: Terminating StepId=57196231.18
srun: error: nid001136: tasks 5-7: Killed
srun: error: nid001133: tasks 0,2: Killed
srun: error: nid001136: task 4: Killed
srun: error: nid001133: task 1: Killed
