
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 848
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 7 (8 levels total)
  Physical level = 0 (logical level = 2): 48 MeshBlocks, cost = 48
  Physical level = 1 (logical level = 3): 112 MeshBlocks, cost = 112
  Physical level = 2 (logical level = 4): 112 MeshBlocks, cost = 112
  Physical level = 3 (logical level = 5): 112 MeshBlocks, cost = 112
  Physical level = 4 (logical level = 6): 112 MeshBlocks, cost = 112
  Physical level = 5 (logical level = 7): 112 MeshBlocks, cost = 112
  Physical level = 6 (logical level = 8): 112 MeshBlocks, cost = 112
  Physical level = 7 (logical level = 9): 128 MeshBlocks, cost = 128
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=3.365882e+02 cycle=2080 time=1.928415e+01 dt=8.418154e-03
elapsed=3.391621e+02 cycle=2090 time=1.936830e+01 dt=8.411189e-03
elapsed=3.429652e+02 cycle=2100 time=1.945240e+01 dt=8.409254e-03
elapsed=3.455386e+02 cycle=2110 time=1.953650e+01 dt=8.411612e-03
elapsed=3.481123e+02 cycle=2120 time=1.962062e+01 dt=8.408523e-03
elapsed=3.519096e+02 cycle=2130 time=1.970468e+01 dt=8.403937e-03
elapsed=3.544848e+02 cycle=2140 time=1.978871e+01 dt=8.404249e-03
elapsed=3.570631e+02 cycle=2150 time=1.987277e+01 dt=8.408593e-03
elapsed=3.608663e+02 cycle=2160 time=1.995686e+01 dt=8.405747e-03
elapsed=3.647807e+02 cycle=2170 time=2.004090e+01 dt=8.403693e-03
elapsed=3.673587e+02 cycle=2180 time=2.012495e+01 dt=8.406384e-03
elapsed=3.711564e+02 cycle=2190 time=2.020904e+01 dt=8.412850e-03
elapsed=3.737395e+02 cycle=2200 time=2.029316e+01 dt=8.410818e-03
elapsed=3.763129e+02 cycle=2210 time=2.037727e+01 dt=8.411542e-03
elapsed=3.801072e+02 cycle=2220 time=2.046140e+01 dt=8.416795e-03
elapsed=3.826848e+02 cycle=2230 time=2.054561e+01 dt=8.425507e-03
elapsed=3.852581e+02 cycle=2240 time=2.062986e+01 dt=8.425361e-03
elapsed=3.890572e+02 cycle=2250 time=2.071413e+01 dt=8.429008e-03
elapsed=3.916342e+02 cycle=2260 time=2.079845e+01 dt=8.436944e-03
elapsed=3.942121e+02 cycle=2270 time=2.088287e+01 dt=8.448077e-03
elapsed=3.980164e+02 cycle=2280 time=2.096736e+01 dt=8.451272e-03
elapsed=4.005948e+02 cycle=2290 time=2.105190e+01 dt=8.458022e-03
elapsed=4.031887e+02 cycle=2300 time=2.113653e+01 dt=8.468839e-03
elapsed=4.069986e+02 cycle=2310 time=2.122128e+01 dt=8.482651e-03
elapsed=4.095734e+02 cycle=2320 time=2.130615e+01 dt=8.490993e-03
elapsed=4.121523e+02 cycle=2330 time=2.139110e+01 dt=8.501009e-03
elapsed=4.159643e+02 cycle=2340 time=2.147617e+01 dt=8.514905e-03
elapsed=4.185379e+02 cycle=2350 time=2.156139e+01 dt=8.531653e-03
elapsed=4.211146e+02 cycle=2360 time=2.164679e+01 dt=8.547259e-03
elapsed=4.249185e+02 cycle=2370 time=2.173232e+01 dt=8.560659e-03
elapsed=4.275174e+02 cycle=2380 time=2.181800e+01 dt=8.577768e-03
elapsed=4.300966e+02 cycle=2390 time=2.190386e+01 dt=8.597620e-03
elapsed=4.339038e+02 cycle=2400 time=2.198994e+01 dt=8.619088e-03
elapsed=4.364820e+02 cycle=2410 time=2.207622e+01 dt=8.639782e-03
elapsed=4.390564e+02 cycle=2420 time=2.216271e+01 dt=8.660074e-03
elapsed=4.428598e+02 cycle=2430 time=2.224941e+01 dt=8.683037e-03
elapsed=4.455247e+02 cycle=2440 time=2.233635e+01 dt=8.707616e-03
elapsed=4.484495e+02 cycle=2450 time=2.242354e+01 dt=8.732238e-03
elapsed=4.522694e+02 cycle=2460 time=2.251097e+01 dt=8.757159e-03
elapsed=4.548451e+02 cycle=2470 time=2.259866e+01 dt=8.783574e-03
elapsed=4.574233e+02 cycle=2480 time=2.268661e+01 dt=8.808976e-03
elapsed=4.612245e+02 cycle=2490 time=2.277482e+01 dt=8.834857e-03
elapsed=4.638039e+02 cycle=2500 time=2.286329e+01 dt=8.861605e-03
elapsed=4.663795e+02 cycle=2510 time=2.295203e+01 dt=8.889442e-03
elapsed=4.701756e+02 cycle=2520 time=2.304105e+01 dt=8.918352e-03
elapsed=4.727534e+02 cycle=2530 time=2.313037e+01 dt=8.948106e-03
elapsed=4.753302e+02 cycle=2540 time=2.321998e+01 dt=8.978343e-03
