# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    105     36     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     39     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    104     36     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     38     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    106     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    105     36     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    103     38     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    104     36     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     38     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    105     36     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    101     38     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    104     36     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     35      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     35      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     38     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    104     36     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     38     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     36     43      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     38     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    105     36     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    437     44     46     99     68      0      0      0      0   1215   1410  39617  39617      0 
    1    304     41     43     99     75      0      0      0      0   1215   1410  39617  39617      0 
    2    289     48     52    100     70      0      0      0      0   1215   1410  39617  39617      0 
    3    369     46     50    100     78      0      0      0      0   1215   1410  39617  39617      0 
    0    317     47     48     93     63      0      0      0      0   1215   1395  39617  39617      0 
    1    251     42     48    100     84      0      0      0      0   1215   1410  39617  39617      0 
    2    305     45     51     92     66      0      0      0      0   1215   1410  39617  39617      0 
    3    260     42     51    100     83      0      0      0      0   1215   1410  39617  39617      0 
    0    315     48     53     93     63      0      0      0      0   1215   1395  39617  39617      0 
    1    227     45     49    100     81      0      0      0      0   1215   1395  39617  39617      0 
    2    288     51     54     92     63      0      0      0      0   1215   1395  39617  39617      0 
    3    284     48     55    100     85      0      0      0      0   1215   1395  39617  39617      0 
    0    190     50     53    100     69      0      0      0      0   1215   1410  39617  39617      0 
