coordinate_time,trusted_radius,field,region,E_128_256_rms,E_256_512_rms,Q_rms,p_rms,E_128_256_linf,E_256_512_linf,p_linf,samples
0.0,16.0,z4c_Ayz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_Ayz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_Ayz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_Ayz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_Azz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_Azz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_Azz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_Azz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_Azz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_Azz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_Gamx,trusted_core,0.0005574807575968667,3.9791977876416945e-05,14.009878054522703,3.808372493132823,0.01604294776916504,0.0011674165725708008,3.7805478913511528,6290
0.0,16.0,z4c_Gamx,axis_trusted,1.610189282882379e-16,3.762585703790364e-16,0.42794753651997935,-1.224494152096763,4.070817712842608e-16,8.511709678994336e-16,-1.0641303231444756,127
0.0,16.0,z4c_Gamx,block_interiors_trusted,0.0004963031324659325,3.5363425358276217e-05,14.034362549378464,3.81089163200209,0.01386183500289917,0.0010061860084533691,3.784149312741992,5500
0.0,16.0,z4c_Gamx,same_level_seams_trusted,0.0009001675487591756,6.451559995302147e-05,13.952711428160839,3.8024736028809305,0.01604294776916504,0.0011674165725708008,3.7805478913511528,790
0.0,16.0,z4c_Gamx,full_domain,0.0004390288592598778,3.133709355294135e-05,14.009878054522702,3.8083724931328224,0.01604294776916504,0.0011674165725708008,3.7805478913511528,8385
0.0,16.0,z4c_Gamx,outer_two_layers,5.112569630162389e-16,1.145078806168004e-15,0.4464819017366637,-1.1633263983850979,2.0724162420475466e-15,3.774758389604651e-15,-0.8650705095182981,759
0.0,16.0,z4c_Gamy,trusted_core,0.0005126666520278154,3.643353425149466e-05,14.071285220065729,3.814682200003076,0.014478743076324463,0.001073002815246582,3.754210598686996,6290
0.0,16.0,z4c_Gamy,axis_trusted,6.713685148838408e-16,1.3679473902365527e-15,0.4907853325907104,-1.0268359610349556,1.7763568394002505e-15,4.144832484095093e-15,-1.2223923721985468,127
0.0,16.0,z4c_Gamy,block_interiors_trusted,0.0005443676200924885,3.868893998273839e-05,14.070367922599216,3.814588148633761,0.014478743076324463,0.001073002815246582,3.754210598686996,5500
0.0,16.0,z4c_Gamy,same_level_seams_trusted,5.647585899085002e-05,3.8205422972170764e-06,14.782157766447877,3.8857849713902963,0.0008923560380935669,6.151944398880005e-05,3.8585050715543154,790
0.0,16.0,z4c_Gamy,full_domain,0.00040373672517520734,2.8692242311987e-05,14.071285220065734,3.8146822000030767,0.014478743076324463,0.001073002815246582,3.754210598686996,8385
0.0,16.0,z4c_Gamy,outer_two_layers,4.992004109123467e-16,1.1308247461112721e-15,0.4414480781650898,-1.1796843326167004,1.942890346033583e-15,4.0338101816325776e-15,-1.0539387173101635,759
0.0,16.0,z4c_Gamz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_Gamz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_Gamz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_Gamz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_Gamz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_Gamz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_Theta,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_Theta,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_Theta,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_Theta,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_Theta,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_Theta,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_alpha,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_alpha,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_alpha,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_alpha,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_alpha,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_alpha,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_betax,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_betax,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_betax,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_betax,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_betax,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_betax,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_betay,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_betay,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_betay,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_betay,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_betay,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_betay,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_betaz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_betaz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_betaz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_betaz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_betaz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_betaz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_Bx,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_Bx,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_Bx,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_Bx,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_Bx,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_Bx,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_By,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_By,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_By,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_By,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_By,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_By,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_Bz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_Bz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_Bz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_Bz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_Bz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_Bz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,derived_K,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,derived_K,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,derived_K,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,derived_K,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,derived_K,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,derived_K,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,Gamma_evolved_minus_metric_x,trusted_core,0.0005574807575968667,3.9791977876416945e-05,14.009878054522703,3.808372493132823,0.01604294776916504,0.0011674165725708008,3.7805478913511528,6290
0.0,16.0,Gamma_evolved_minus_metric_x,axis_trusted,1.610189282882379e-16,3.762585703790364e-16,0.42794753651997935,-1.224494152096763,4.070817712842608e-16,8.511709678994336e-16,-1.0641303231444756,127
0.0,16.0,Gamma_evolved_minus_metric_x,block_interiors_trusted,0.0004963031324659325,3.5363425358276217e-05,14.034362549378464,3.81089163200209,0.01386183500289917,0.0010061860084533691,3.784149312741992,5500
0.0,16.0,Gamma_evolved_minus_metric_x,same_level_seams_trusted,0.0009001675487591756,6.451559995302147e-05,13.952711428160839,3.8024736028809305,0.01604294776916504,0.0011674165725708008,3.7805478913511528,790
0.0,16.0,Gamma_evolved_minus_metric_x,full_domain,0.0004390288592598778,3.133709355294135e-05,14.009878054522702,3.8083724931328224,0.01604294776916504,0.0011674165725708008,3.7805478913511528,8385
0.0,16.0,Gamma_evolved_minus_metric_x,outer_two_layers,5.112569630162389e-16,1.145078806168004e-15,0.4464819017366637,-1.1633263983850979,2.0724162420475466e-15,3.774758389604651e-15,-0.8650705095182981,759
0.0,16.0,Gamma_evolved_minus_metric_y,trusted_core,0.0005126666520278154,3.643353425149466e-05,14.071285220065729,3.814682200003076,0.014478743076324463,0.001073002815246582,3.754210598686996,6290
0.0,16.0,Gamma_evolved_minus_metric_y,axis_trusted,6.713685148838408e-16,1.3679473902365527e-15,0.4907853325907104,-1.0268359610349556,1.7763568394002505e-15,4.144832484095093e-15,-1.2223923721985468,127
0.0,16.0,Gamma_evolved_minus_metric_y,block_interiors_trusted,0.0005443676200924885,3.868893998273839e-05,14.070367922599216,3.814588148633761,0.014478743076324463,0.001073002815246582,3.754210598686996,5500
0.0,16.0,Gamma_evolved_minus_metric_y,same_level_seams_trusted,5.647585899085002e-05,3.8205422972170764e-06,14.782157766447877,3.8857849713902963,0.0008923560380935669,6.151944398880005e-05,3.8585050715543154,790
0.0,16.0,Gamma_evolved_minus_metric_y,full_domain,0.00040373672517520734,2.8692242311987e-05,14.071285220065734,3.8146822000030767,0.014478743076324463,0.001073002815246582,3.754210598686996,8385
0.0,16.0,Gamma_evolved_minus_metric_y,outer_two_layers,4.992004109123467e-16,1.1308247461112721e-15,0.4414480781650898,-1.1796843326167004,1.942890346033583e-15,4.0338101816325776e-15,-1.0539387173101635,759
0.0,16.0,Gamma_evolved_minus_metric_z,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,Gamma_evolved_minus_metric_z,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,Gamma_evolved_minus_metric_z,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,Gamma_evolved_minus_metric_z,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,Gamma_evolved_minus_metric_z,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,Gamma_evolved_minus_metric_z,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,con_C,trusted_core,9.040054760322636e-05,4.68190037752365e-07,193.0851584053589,7.593093464794076,0.0068525154565577395,3.5617488563843835e-05,7.587904073284213,6290
0.0,16.0,con_C,axis_trusted,1.0438188245900858e-10,1.107607658291734e-11,9.424084573412665,3.2363524862285984,5.751945586496277e-10,6.013056719211818e-11,3.2578795557372464,127
