cycle,time_hex,rk_stage,tree_checksum,gamma0,gamma1,beta_stage,dt,dt_hex,candidate_min,min_gid,min_i,min_j,min_rho,min_z,nonpositive,nonfinite
8,0x1.6cccccccccccbp-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.3317133546927305,7,56,67,3.640625,-0.015625,0,0
9,0x1.7fffffffffffep-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171424455611898,7,56,67,3.640625,-0.015625,0,0
9,0x1.7fffffffffffep-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171368073792767,7,56,67,3.640625,-0.015625,0,0
9,0x1.7fffffffffffep-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171411144489316,7,56,67,3.640625,-0.015625,0,0
9,0x1.7fffffffffffep-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171411895055741,7,56,67,3.640625,-0.015625,0,0
10,0x1.9333333333331p-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171505373708854,7,56,67,3.640625,-0.015625,0,0
10,0x1.9333333333331p-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171446122653914,7,56,67,3.640625,-0.015625,0,0
10,0x1.9333333333331p-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171491332489855,7,56,67,3.640625,-0.015625,0,0
10,0x1.9333333333331p-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171492082412024,7,56,67,3.640625,-0.015625,0,0
11,0x1.a666666666664p-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171590049402561,7,56,67,3.640625,-0.015625,0,0
11,0x1.a666666666664p-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171527931616041,7,56,67,3.640625,-0.015625,0,0
