region,family,variable,rms_order,ring_rms_order,linf_order
core_r8_mb_interior,state,state_z4c_Khat,3.1139571320197925,3.2546628208609736,2.893706367264742
core_r8_mb_interior,state,state_z4c_Axx,3.2779539783504283,3.473886305009686,3.688782667839657
core_r8_mb_interior,state,state_z4c_Axy,3.1610836663114896,3.2836904818781774,3.1638241413867494
core_r8_mb_interior,state,state_z4c_Axz,,,
core_r8_mb_interior,state,state_z4c_Ayy,3.568755900093415,3.654096428175325,3.9153115272226353
core_r8_mb_interior,state,state_z4c_Ayz,,,
core_r8_mb_interior,state,state_z4c_Azz,3.4187243498454545,3.6414530974549764,3.5049867308802454
core_r8_mb_interior,state,state_z4c_Gamx,3.530297356141328,3.773277270160678,3.1084032649451347
core_r8_mb_interior,state,state_z4c_Gamy,3.6628410781457936,3.7038890484059883,3.103259782177986
core_r8_mb_interior,state,state_z4c_Gamz,,,
core_r8_mb_interior,state,state_z4c_Theta,3.914607998098207,3.9414505148430834,4.042516359008603
core_r8_mb_interior,state,state_z4c_alpha,2.7844535619031046,2.8258293790421454,2.7216369260764313
core_r8_mb_interior,state,state_z4c_betax,4.1175143717027005,4.399947664408566,4.08730422075245
core_r8_mb_interior,state,state_z4c_betay,4.336868332455554,4.40571649548,4.181649691014233
core_r8_mb_interior,state,state_z4c_betaz,,,
core_r8_mb_interior,state,state_z4c_Bx,2.0739262744912876,2.051710858603606,2.0748160763617403
core_r8_mb_interior,state,state_z4c_By,2.085589837503002,2.055653885298131,2.144053285175784
core_r8_mb_interior,state,state_z4c_Bz,,,
core_r8_mb_interior,rhs,rhs_z4c_chi,3.3408923737672938,3.468008439528819,3.9502990287564335
core_r8_mb_interior,rhs,rhs_z4c_gxx,3.1911776448560594,3.308621442213217,3.7582090626843034
core_r8_mb_interior,rhs,rhs_z4c_gxy,3.171389629544214,3.2393978835298354,3.6311265337148257
core_r8_mb_interior,rhs,rhs_z4c_gxz,,,
core_r8_mb_interior,rhs,rhs_z4c_gyy,3.5021377535499734,3.6719625972342915,3.9315130751909306
core_r8_mb_interior,rhs,rhs_z4c_gyz,,,
core_r8_mb_interior,rhs,rhs_z4c_gzz,3.0778718891937813,3.182761166503982,3.55396542520202
core_r8_mb_interior,rhs,rhs_z4c_Khat,2.4035055388933904,2.4394142703225414,2.331668047703716
core_r8_mb_interior,rhs,rhs_z4c_Axx,2.586415336732655,2.8451092289627598,2.334288145181655
core_r8_mb_interior,rhs,rhs_z4c_Axy,2.406970285291104,2.447925752504145,2.3976997799688493
core_r8_mb_interior,rhs,rhs_z4c_Axz,,,
core_r8_mb_interior,rhs,rhs_z4c_Ayy,2.865631779329854,2.9956664512791957,2.5707685062603787
