cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
566,2.7058315314731471,1,pre_ko_rhs,1.7333350038647694e-15,1.7333350038647694e-15,9,18,-0.5,0
566,2.7058315314731471,2,pre_ko_rhs,2.3318293085745275e-15,2.3318293085745275e-15,9,53,6.875,0
566,2.7058315314731471,3,pre_ko_rhs,2.0238564098516941e-15,2.0238564098516941e-15,9,8,-6.75,0
566,2.7058315314731471,4,pre_ko_rhs,2.4027106068516157e-15,2.4027106068516157e-15,9,53,7.875,0
567,2.7114132117351994,1,pre_ko_rhs,2.3026465508246139e-15,2.3026465508246139e-15,9,8,-7.125,0
567,2.7114132117351994,2,pre_ko_rhs,2.0043038511364554e-15,2.0043038511364554e-15,9,53,7.5,0
567,2.7114132117351994,3,pre_ko_rhs,1.8111278686587119e-15,1.8111278686587119e-15,9,51,5.25,0
567,2.7114132117351994,4,pre_ko_rhs,2.0673449389717471e-15,2.0673449389717471e-15,9,8,-8,0
568,2.7169989908997589,1,pre_ko_rhs,1.8167797364866028e-15,1.8167797364866028e-15,9,51,6,0
568,2.7169989908997589,2,pre_ko_rhs,1.8217194670247658e-15,1.8217194670247658e-15,9,53,7.875,0
568,2.7169989908997589,3,pre_ko_rhs,2.1630961273758785e-15,2.1630961273758785e-15,9,53,8,0
568,2.7169989908997589,4,pre_ko_rhs,2.3325677729683076e-15,2.3325677729683076e-15,9,53,7.75,0
569,2.7225878371392849,1,pre_ko_rhs,2.2313133170815647e-15,2.2313133170815647e-15,9,53,7.5,0
569,2.7225878371392849,2,pre_ko_rhs,2.658791791165613e-15,2.658791791165613e-15,9,53,7.5,0
569,2.7225878371392849,3,pre_ko_rhs,2.5805069305502383e-15,2.5805069305502383e-15,9,53,7.75,0
569,2.7225878371392849,4,pre_ko_rhs,2.5356922335625968e-15,2.5356922335625968e-15,9,53,7.625,0
570,2.7281767535582491,1,pre_ko_rhs,1.5690274188842553e-15,1.5690274188842553e-15,9,51,5.625,0
570,2.7281767535582491,2,pre_ko_rhs,2.0045293188458472e-15,2.0045293188458472e-15,9,8,-7.875,0
570,2.7281767535582491,3,pre_ko_rhs,2.7286397232374455e-15,2.7286397232374455e-15,9,53,7.625,0
570,2.7281767535582491,4,pre_ko_rhs,2.225691924984376e-15,2.225691924984376e-15,9,53,7.5,0
571,2.7337659689506979,1,pre_ko_rhs,1.958938679366852e-15,1.958938679366852e-15,9,10,-5.125,0
571,2.7337659689506979,2,pre_ko_rhs,2.1691863312019979e-15,2.1691863312019979e-15,9,10,-4.625,0
571,2.7337659689506979,3,pre_ko_rhs,1.7667649712666929e-15,1.7667649712666929e-15,9,51,4.875,0
571,2.7337659689506979,4,pre_ko_rhs,1.7380506663398662e-15,1.7380506663398662e-15,9,53,6.5,0
572,2.7393557104226258,1,pre_ko_rhs,2.0572890890217199e-15,2.0572890890217199e-15,9,8,-6.125,0
572,2.7393557104226258,2,pre_ko_rhs,1.9342043336087761e-15,1.9342043336087761e-15,9,51,5.5,0
572,2.7393557104226258,3,pre_ko_rhs,1.9533696712670562e-15,1.9533696712670562e-15,9,51,5.125,0
572,2.7393557104226258,4,pre_ko_rhs,2.1713101918403448e-15,2.1713101918403448e-15,9,10,-5.25,0
573,2.7449462029990173,1,pre_ko_rhs,2.094985474966229e-15,2.094985474966229e-15,9,53,7,0
573,2.7449462029990173,2,pre_ko_rhs,1.9143741798554148e-15,1.9143741798554148e-15,9,39,2.375,0
573,2.7449462029990173,3,pre_ko_rhs,2.1633365218255149e-15,2.1633365218255149e-15,9,8,-6,0
573,2.7449462029990173,4,pre_ko_rhs,2.2579620657314126e-15,2.2579620657314126e-15,9,53,7.375,0
574,2.750537669230368,1,pre_ko_rhs,1.9475921348227372e-15,1.9475921348227372e-15,9,10,-5.625,0
574,2.750537669230368,2,pre_ko_rhs,2.0695515461374321e-15,2.0695515461374321e-15,9,8,-7.625,0
574,2.750537669230368,3,pre_ko_rhs,2.008487013765761e-15,2.008487013765761e-15,9,8,-6.375,0
574,2.750537669230368,4,pre_ko_rhs,1.9090772310040657e-15,1.9090772310040657e-15,9,10,-5.5,0
575,2.7561303287998067,1,pre_ko_rhs,2.0896640837745383e-15,2.0896640837745383e-15,9,53,6.875,0
575,2.7561303287998067,2,pre_ko_rhs,1.6925193030145005e-15,1.6925193030145005e-15,9,8,-6.875,0
575,2.7561303287998067,3,pre_ko_rhs,2.765738300841794e-15,2.765738300841794e-15,9,53,7.25,0
575,2.7561303287998067,4,pre_ko_rhs,1.8147046478978605e-15,1.8147046478978605e-15,9,16,-3.125,0
576,2.7617243981329196,1,pre_ko_rhs,1.8531654399643641e-15,1.8531654399643641e-15,9,53,7.625,0
576,2.7617243981329196,2,pre_ko_rhs,1.8437069495364128e-15,1.8437069495364128e-15,9,8,-6.5,0
576,2.7617243981329196,3,pre_ko_rhs,2.0289096324949163e-15,2.0289096324949163e-15,9,8,-6.5,0
576,2.7617243981329196,4,pre_ko_rhs,2.284755246435684e-15,2.284755246435684e-15,9,53,6.5,0
577,2.7673200900133699,1,pre_ko_rhs,2.0384719540575505e-15,2.0384719540575505e-15,9,53,6.375,0
577,2.7673200900133699,2,pre_ko_rhs,1.8576315974093803e-15,1.8576315974093803e-15,9,53,7.125,0
577,2.7673200900133699,3,pre_ko_rhs,2.1824807253326127e-15,2.1824807253326127e-15,9,53,7,0
577,2.7673200900133699,4,pre_ko_rhs,1.7029716885707981e-15,1.7029716885707981e-15,9,53,7.375,0
578,2.7729176132082567,1,pre_ko_rhs,1.736938816468589e-15,1.736938816468589e-15,9,51,5.5,0
578,2.7729176132082567,2,pre_ko_rhs,2.1297396346657327e-15,2.1297396346657327e-15,9,53,6.375,0
578,2.7729176132082567,3,pre_ko_rhs,1.5822392534864891e-15,1.5822392534864891e-15,9,39,2.625,0
578,2.7729176132082567,4,pre_ko_rhs,2.4439947629711255e-15,2.4439947629711255e-15,9,53,7.75,0
579,2.7785171721078186,1,pre_ko_rhs,2.1076766184433311e-15,2.1076766184433311e-15,9,53,7.25,0
579,2.7785171721078186,2,pre_ko_rhs,2.0587344580087705e-15,2.0587344580087705e-15,9,53,7.25,0
579,2.7785171721078186,3,pre_ko_rhs,2.5322066191463673e-15,2.5322066191463673e-15,9,53,8,0
579,2.7785171721078186,4,pre_ko_rhs,2.2714917710890349e-15,2.2714917710890349e-15,9,8,-7,0
580,2.7841189663843759,1,pre_ko_rhs,2.343790563474416e-15,2.343790563474416e-15,9,53,7.625,0
580,2.7841189663843759,2,pre_ko_rhs,1.8620613865468425e-15,1.8620613865468425e-15,9,53,8,0
