case	target_time	time	GH_RMS	reduction_RMS	curl_RMS	Psi_error_RMS	physical_lapse_min	physical_lapse_max	relative_metric_condition_max	relative_lapse_min	relative_lapse_max	relative_v2_max	relative_D_Linf	relative_source_Linf	transition_amplitude	e_G	e_alpha	bad_state	characteristic_speed_max	effective_CFL
shift_only	3.0	3.000160620520301	0.0004170293644063282	0.00012866282608801717	0.001637049801898096	0.01847147455965784	0.00954099474627556	0.9762113918400903	1.809483350239316	0.9999777480849577	1.285575371933616	0.001956129088347652	0.04490924750759304	0.3548467888773238	0.2752406070474245	0.08315564796478186	0.1297923503134938	0.0	0.9532037274407699	0.05000074280529465
shift_only	3.5	3.502124891786463	0.0008992953663181152	0.0002997801548001088	0.003531999410369323	0.030647247339144017	0.00954073319915523	0.9761967046868003	2.470295157018039	0.9999503357126255	1.439187705091463	0.007434255299823588	0.08669362735923798	0.7019820049590049	0.3845101260239364	0.1301047420237239	0.2065711433573884	0.0	0.9532612360003473	0.05000082180160031
shift_only	4.0	4.003088507576051	0.0024234295036698085	0.0006777842922158325	0.008331687056149038	0.04966125094185645	0.00954029835580737	0.9761814985381126	3.673541930979584	0.9999047604153609	1.601013503670671	0.03629375387392478	0.2026958561585706	1.606828998709843	0.5007238686754328	0.1859336872799626	0.3006850702565618	0.0	0.9533235875435843	0.05000085340051456
shift_only	4.2	4.2	0.003950488839631845	0.000984180300508973	0.013107463245029975	0.0598717989163051	0.009540067477656998	0.9761756264833973	4.432256243773066	0.9998805624130527	1.656406199629916	0.06617509148622637	0.2854954410994384	2.420572504711432	0.54679693359375	0.2089228288446119	0.340238866043137	0.0	0.9533487143627472	0.002325237666663231
wave_map	2.0	2.022571901744614	0.0004055527980160418	1.8372413053375242e-05	0.0003222713387685379	0.006131189948187349	0.009541197311969929	0.9762345944083778	1.226179300179657	0.9999989787000331	1.090601806602298	0.0002130933374948725	1.0	0.0	0.1065137740069787	0.02552263579241252	0.03880572149826673	0.0	0.953116728758338	0.05000048309877456
wave_map	2.2	2.200145343928392	0.00039717246100679605	2.7315101977211284e-05	0.0004396525820658837	0.0076251308384067875	0.009541180267528003	0.9762311036240606	1.290840020998159	0.9999971922969266	1.116174452650628	0.0003522376149174476	1.0	0.0	0.1316398890868902	0.03281871708999066	0.05010452384999543	0.0	0.9531295842563171	0.05000053818678233
wave_map	2.5	2.501414889836242	0.0004031227289983711	5.082779973933217e-05	0.0007280407868944926	0.010807979218731863	0.00954113480809335	0.9762243777923422	1.434880585510924	0.9999924277598629	1.169400143858008	0.0007813981100391247	1.0	0.0	0.1802510087626156	0.04823936623021727	0.07424570835184606	0.0	0.9531547255507039	0.05000062547111745
wave_map	3.0	3.000158403094828	0.000516948774992805	0.00012842083733556985	0.0016287931047482985	0.01850339752611935	0.009540994742995822	0.9762113637420773	1.810760439539755	0.9999777477412131	1.285481361273872	0.002469173022343339	1.0	0.0	0.2752401502524244	0.08296421993013169	0.1298097715719904	0.0	0.9532047678507825	0.05000074518553331
wave_map	3.5	3.502117895484415	0.0010058700971184444	0.0003006708703263731	0.003579962017883297	0.03078732010567707	0.009540733169555489	0.976196669766994	2.479642532765668	0.9999503326103198	1.438773976951373	0.009364882103537074	1.0	0.0	0.3845085366806107	0.1293618661805352	0.2066945019808384	0.0	0.9532639087473566	0.05000082455751027
wave_map	4.0	4.003073473159051	0.002981710925506445	0.000718319711542572	0.009614328179177192	0.05023918501553871	0.009540298133164973	0.9761814697640248	3.756629997530816	0.9999047370805357	1.598967817609729	0.04866005766096294	1.0	0.0	0.5007203449881297	0.1837067817335569	0.301173325435715	0.0	0.9533290839828084	0.05000085555120699
wave_map	4.2	4.2	0.005125784961115312	0.0011060983982904137	0.016256482388300617	0.06092749992777039	0.009540067002629542	0.9761756022624182	4.582666893531472	0.9998805126261177	1.654200447654359	0.09043473623130296	1.0	0.0	0.54679693359375	0.2056585830837676	0.3409992558869291	0.0	0.953355739883723	0.002788071725257999
