gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
30,10,31,5.1640625,-0.0078125,5.1640625,0.0078125,0.1640625,19.386311535712963,-1.7444592855259664,15.576815815499486,0.0014727383676919315
30,10,26,5.1640625,-0.0859375,5.1640625,0.0859375,0.1640625,19.364639010855132,0.6582519772271682,19.025862691981125,-3.78495875031644e-05
51,10,5,5.1640625,0.0859375,5.1640625,0.0859375,0.1640625,19.364638675853424,0.6582519763016162,19.02586235881172,-3.784958869430597e-05
30,9,26,5.1484375,-0.0859375,5.1484375,0.0859375,0.1484375,18.930122124974993,0.08863597827010944,18.851112585468545,-0.00020295701837457744
51,9,5,5.1484375,0.0859375,5.1484375,0.0859375,0.1484375,18.930121733728832,0.0886359781821883,18.85111219510182,-0.00020295701938302307
30,3,28,5.0546875,-0.0546875,5.0546875,0.0546875,0.0546875,18.54306109132406,-0.9148161588709867,18.191495989987946,-0.0001959048061684167
51,3,3,5.0546875,0.0546875,5.0546875,0.0546875,0.0546875,18.5430607909687,-0.9148161575550184,18.191495691254893,-0.00019590480361413425
30,2,29,5.0390625,-0.0390625,5.0390625,0.0390625,0.0390625,18.470633188357265,0.4853748038262924,18.04151897465151,9.907462267517612e-05
51,2,2,5.0390625,0.0390625,5.0390625,0.0390625,0.0390625,18.470633000250324,0.48537480262215166,18.041518790935683,9.907462234479166e-05
30,7,27,5.1171875,-0.0703125,5.1171875,0.0703125,0.1171875,18.04044157449879,-0.2256432376995732,18.134073125439855,0.000895886175641579
51,7,4,5.1171875,0.0703125,5.1171875,0.0703125,0.1171875,18.04044136975279,-0.2256432375998298,18.134072920460156,0.0008958861696513712
30,2,30,5.0390625,-0.0234375,5.0390625,0.0234375,0.0390625,17.11575399050655,0.8656136342370578,16.606031441075213,6.609618187974984e-05
51,2,1,5.0390625,0.0234375,5.0390625,0.0234375,0.0390625,17.11575382774196,0.8656136328189342,16.60603127941119,6.609618225690515e-05
30,4,26,5.0703125,-0.0859375,5.0703125,0.0703125,0.0703125,17.114772999591818,0.49178289479908627,16.878103552672652,4.5169486594774274e-05
51,4,5,5.0703125,0.0859375,5.0703125,0.0703125,0.0703125,17.114772854893392,0.49178289395513236,16.878103410733555,4.516948486833766e-05
30,12,28,5.1953125,-0.0546875,5.1953125,0.0546875,0.1953125,17.02414914693349,-0.42440603998514836,17.013209804897592,-4.157776725837146e-05
51,12,3,5.1953125,0.0546875,5.1953125,0.0546875,0.1953125,17.02414897174549,-0.4244060409449266,17.013209628799896,-4.157776633863484e-05
51,4,1,5.0703125,0.0234375,5.0703125,0.0234375,0.0703125,16.645183380177468,0.41861918144899835,16.451726327606412,0.0007446353605883894
30,4,30,5.0703125,-0.0234375,5.0703125,0.0234375,0.0703125,16.645183050762334,0.41861918945557697,16.4517259865313,0.000744635378195599
30,10,28,5.1640625,-0.0546875,5.1640625,0.0546875,0.1640625,15.9388796208855,-1.1195964123504303,15.13756121247292,-4.764668569207824e-05
51,10,3,5.1640625,0.0546875,5.1640625,0.0546875,0.1640625,15.938879579809921,-1.1195964075987868,15.137561192068935,-4.764668121447018e-05
30,6,27,5.1015625,-0.0703125,5.1015625,0.0703125,0.1015625,15.54756730761918,-0.9978082773100513,14.505935725065056,0.0006028638765643286
51,6,4,5.1015625,0.0703125,5.1015625,0.0703125,0.1015625,15.547567158220609,-0.9978082753541531,14.505935579061328,0.000602863873732843
30,8,27,5.1328125,-0.0703125,5.1328125,0.0703125,0.1328125,14.862091184973108,0.15463813893402317,15.01377664097168,0.0007612342690326441
51,8,4,5.1328125,0.0703125,5.1328125,0.0703125,0.1328125,14.862090920012871,0.1546381364666098,15.013776375860587,0.0007612342660582212
30,5,26,5.0859375,-0.0859375,5.0859375,0.0859375,0.0859375,14.436218369797581,0.6008465666902209,13.911880588211252,-3.779457562982988e-05
51,5,5,5.0859375,0.0859375,5.0859375,0.0859375,0.0859375,14.436218059295314,0.6008465646370483,13.911880282943292,-3.779457731568231e-05
30,11,30,5.1796875,-0.0234375,5.1796875,0.0234375,0.1796875,14.361538783117421,1.4893007981951383,13.100368648583004,0.00036465461079544814
51,11,1,5.1796875,0.0234375,5.1796875,0.0234375,0.1796875,14.361538474224732,1.489300791336901,13.10036838459831,0.00036465460778527367
30,10,29,5.1640625,-0.0390625,5.1640625,0.0390625,0.1640625,14.2586051542574,2.7620635874493296,6.307710237994511,0.00040178834259310724
51,10,2,5.1640625,0.0390625,5.1640625,0.0390625,0.1640625,14.258604944576124,2.76206358131022,6.307710054854141,0.0004017883328282099
30,12,31,5.1953125,-0.0078125,5.1953125,0.0078125,0.1953125,13.68595281598222,-1.1830883106992527,11.82762264476767,0.0001442690201966049
51,12,0,5.1953125,0.0078125,5.1953125,0.0078125,0.1953125,13.685952646911378,-1.183088305587676,11.827622490287856,0.00014426901981604072
30,9,27,5.1484375,-0.0703125,5.1484375,0.0703125,0.1484375,13.637800489520112,-0.9651571430759439,12.801821286302188,0.00031684752450353954
51,9,4,5.1484375,0.0703125,5.1484375,0.0703125,0.1484375,13.637800232758767,-0.9651571420568164,12.80182103030637,0.0003168475257939746
30,6,26,5.1015625,-0.0859375,5.1015625,0.0859375,0.1015625,13.037346705593658,-0.1171270650889728,12.939858712277822,-0.0001999674384068869
51,6,5,5.1015625,0.0859375,5.1015625,0.0859375,0.1015625,13.037346474237443,-0.11712706496024358,12.939858480402972,-0.00019996743872749396
30,11,26,5.1796875,-0.0859375,5.1796875,0.0859375,0.1796875,11.994156367577029,0.5496346969861188,11.850159715139998,4.154732380317634e-05
51,11,5,5.1796875,0.0859375,5.1796875,0.0859375,0.1796875,11.994156306912087,0.5496346959629494,11.850159655175691,4.1547322938226264e-05
30,9,24,5.1484375,-0.1171875,5.1484375,0.1171875,0.1484375,10.804756098043498,-0.04379499363589054,10.795733309996859,7.1474499776442735e-06
51,9,7,5.1484375,0.1171875,5.1484375,0.1171875,0.1484375,10.804755985935943,-0.04379499358854254,10.795733197935222,7.14745022262194e-06
