origin,field,active_value_count,nonzero_changed_values,changed_values_above_roundoff,max_abs_change,max_relative_change,max_gid,max_i,max_j
EXPLICIT_REFINED_CHILD,Atilde_yz,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Atilde_zz,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Gamma_x,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Gamma_y,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Gamma_z,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Theta,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,alpha,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,beta_x,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,beta_y,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,beta_z,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,B_x,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,B_y,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,B_z,8192,0,0,0.0,0.0,,,
UNCHANGED_LEAF,chi,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,gtilde_xx,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,gtilde_xy,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,gtilde_xz,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,gtilde_yy,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,gtilde_yz,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,gtilde_zz,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Khat,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Atilde_xx,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Atilde_xy,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Atilde_xz,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Atilde_yy,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Atilde_yz,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Atilde_zz,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Gamma_x,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Gamma_y,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Gamma_z,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,Theta,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,alpha,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,beta_x,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,beta_y,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,beta_z,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,B_x,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,B_y,71680,0,0,0.0,0.0,,,
UNCHANGED_LEAF,B_z,71680,0,0,0.0,0.0,,,
