hierarchy_origin,stencil_class,metric,cell_count,coordinate_jump,proper_jump,fraction_global_coordinate_jump,fraction_global_proper_jump
EXPLICIT_REFINED_CHILD,COARSE_FINE,M2,936,0.1788856216881518,0.42397360574744425,0.006786587766268094,0.006911691474251323
EXPLICIT_REFINED_CHILD,COARSE_FINE,Z2,936,-0.00016707271859317603,-0.00039289526626618183,-0.3147164782993282,-0.32206188486757437
EXPLICIT_REFINED_CHILD,MIXED_CORNER,C,288,0.719843696776871,1.695201093785047,0.02271509449033966,0.023037717058487447
EXPLICIT_REFINED_CHILD,MIXED_CORNER,H2,288,0.018042386382921955,0.04267552047704051,0.0033815124046216007,0.003483127181547842
EXPLICIT_REFINED_CHILD,MIXED_CORNER,M2,288,0.7029804390362917,1.6552630745796044,0.02666977033965531,0.02698438658709794
EXPLICIT_REFINED_CHILD,MIXED_CORNER,Z2,288,-4.300525546415407e-05,-9.875346234845857e-05,-0.08100941112353645,-0.0809496294607843
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,C,1560,19.856804630075164,45.78393218142054,0.6265932388766648,0.6222018610579592
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,H2,1560,5.1575163352811835,11.83367652523303,0.9666240980904782,0.9658511460887566
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,M2,1560,14.684286497561931,33.91564704259213,0.5570945174926272,0.5528987779669446
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,Z2,1560,0.0016017077291343674,0.0036936720822108473,3.0171521719559267,3.0277559823630704
UNCHANGED_LEAF,ACTIVE_ONLY,C,47320,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,ACTIVE_ONLY,H2,47320,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,ACTIVE_ONLY,M2,47320,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,ACTIVE_ONLY,Z2,47320,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,AXIS,C,936,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,AXIS,H2,936,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,AXIS,M2,936,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,AXIS,Z2,936,0.0,0.0,0.0,0.0
UNCHANGED_LEAF,COARSE_FINE,C,4368,7.44270073525972e-05,0.00015322138029124157,2.3485883285736237e-06,2.0822726102535884e-06
UNCHANGED_LEAF,COARSE_FINE,H2,4368,-3.361286601274427e-07,-9.271081077158844e-07,-6.29973890175447e-08,-7.566950359646848e-08
UNCHANGED_LEAF,COARSE_FINE,M2,4368,7.403684281389714e-05,0.00015252553321606712,2.8088201105946552e-06,2.486497775437246e-06
UNCHANGED_LEAF,COARSE_FINE,Z2,4368,1.815732997064592e-07,4.0573879572161204e-07,0.00034203136166085764,0.0003325899101708003
UNCHANGED_LEAF,MIXED_CORNER,C,2520,0.006532944241701678,0.015521520067254505,0.00020615092750665877,0.0002109368551837342
UNCHANGED_LEAF,MIXED_CORNER,H2,2520,0.00038547135028326146,0.0008061963922230057,7.224521883883908e-05,6.58008276414229e-05
UNCHANGED_LEAF,MIXED_CORNER,M2,2520,0.006132976456562744,0.014690178628553893,0.00023267371965466206,0.00023948184746832438
UNCHANGED_LEAF,MIXED_CORNER,Z2,2520,3.624108713918074e-06,6.286261619402743e-06,0.006826768254100759,0.005152938810272963
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,C,1248,0.0008668332356054738,0.0014995824668857624,2.7353436506159398e-05,2.0379267512650272e-05
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,H2,1248,0.0008075499545491893,0.0013975201305459013,0.0001513513861583454,0.00011406399498006281
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,M2,1248,-1.5536001506986374e-06,-2.744650696267629e-06,-5.894070007920587e-08,-4.4743773102921005e-08
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,Z2,1248,1.5209220301746005e-05,2.6201746759032393e-05,0.028649753779966643,0.021477947617520518
UNCHANGED_LEAF,SAME_LEVEL_SEAM,C,15288,3.018582411569463e-08,8.42682806903128e-08,9.525315705713744e-10,1.1452026633689704e-09
UNCHANGED_LEAF,SAME_LEVEL_SEAM,H2,15288,-3.5990727792525865e-09,-1.0122100648843136e-08,-6.745398856826603e-10,-8.26154280258085e-10
UNCHANGED_LEAF,SAME_LEVEL_SEAM,M2,15288,3.37806704114462e-08,9.437884655729283e-08,1.2815758046239875e-09,1.5385803744780567e-09
UNCHANGED_LEAF,SAME_LEVEL_SEAM,Z2,15288,1.0566208755957305e-12,2.883695466851095e-12,1.99036685142336e-09,2.363806533644875e-09
