hierarchy_origin,stencil_class,metric,cell_count,coordinate_volume,proper_volume,coordinate_integral,proper_integral,linf,max_gid,max_i,max_j,max_rho,max_z,coordinate_rms,proper_rms,coordinate_fraction_of_t3,proper_fraction_of_t3
EXPLICIT_REFINED_CHILD,MIXED_CORNER,H2,288,2.4298255680108563,6.274624272305392,0.02377269717029081,0.0559962644019615,0.8128207728678793,51,2,1,5.0390625,0.0234375,0.09891261421896218,0.09446820539504842,0.004245098351229403,0.004369802549560651
EXPLICIT_REFINED_CHILD,MIXED_CORNER,M2,288,2.4298255680108563,6.274624272305392,0.7077933000078095,1.6665356661493242,4.508811957443461,30,2,29,5.0390625,-0.0390625,0.5397164744847388,0.5153632470006597,0.02647896283705275,0.02682888633262915
EXPLICIT_REFINED_CHILD,MIXED_CORNER,Z2,288,2.4298255680108563,6.274624272305392,1.1381497676401609e-05,2.7243934594690595e-05,0.013385835338277433,51,2,2,5.0390625,0.0390625,0.0021642735815342656,0.002083728116765475,9.915655391209725e-06,1.240336516997643e-05
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,C,1560,13.161555160058795,33.45427105041823,19.92152883540564,45.932505505572585,12.155144384478826,30,8,31,5.1328125,-0.0078125,1.2302906630652939,1.171748165446944,0.5103372895159722,0.5235386755932386
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,H2,1560,13.161555160058795,33.45427105041823,5.188555518712785,11.904698431659066,9.00298950372201,51,8,0,5.1328125,0.0078125,0.6278698514453379,0.5965315438234051,0.9265220652066389,0.9290116423657756
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,M2,1560,13.161555160058795,33.45427105041823,14.710356161157634,33.97574886182984,10.273596434468395,30,4,31,5.0703125,-0.0078125,1.0572020334371084,1.0077637519910838,0.5503230591569673,0.5469618939426361
EXPLICIT_REFINED_CHILD,SAME_LEVEL_SEAM,Z2,1560,13.161555160058795,33.45427105041823,0.0018963026419790397,0.004365449528335292,0.1426959260821539,30,7,30,5.1171875,-0.0234375,0.012003287848086895,0.011423224185173502,0.001652074625845684,0.001987461261986594
UNCHANGED_LEAF,ACTIVE_ONLY,C,47320,16711.824839233806,30787.312209805375,4.263814849106478,8.148921569470694,0.0740792392991368,72,3,4,10.21875,0.28125,0.01597302720480455,0.016269124440370944,0.10922774708051902,0.09288140411753225
UNCHANGED_LEAF,ACTIVE_ONLY,H2,47320,16711.824839233806,30787.312209805375,0.0342161985673193,0.06805039060014657,0.017281021831712644,22,28,28,3.890625,-0.109375,0.0014308823981291254,0.0014867208197718678,0.006109997829989107,0.005310475145422417
UNCHANGED_LEAF,ACTIVE_ONLY,M2,47320,16711.824839233806,30787.312209805375,0.14174927164072737,0.2739374228903667,0.01468808102512315,38,28,3,9.78125,-3.78125,0.0029123829539455985,0.002982907560886152,0.005302923460723211,0.0044100082166021225
UNCHANGED_LEAF,ACTIVE_ONLY,Z2,47320,16711.824839233806,30787.312209805375,0.6659094635726681,1.2793735063409095,0.031494555221808294,71,28,3,9.78125,0.21875,0.0063124166391053185,0.006446333776941639,0.5801458604364882,0.5824612716194077
UNCHANGED_LEAF,AXIS,C,936,7.179030087304731,15.259762982302368,0.0006574813212868525,0.0011291001423581561,0.02322700496304139,80,0,28,0.0625,15.5625,0.009569931361468062,0.008601859348850048,1.6842946050233713e-05,1.2869482877885028e-05
UNCHANGED_LEAF,AXIS,H2,936,7.179030087304731,15.259762982302368,2.158111952283638e-06,5.268334957362862e-06,0.004747544866400159,18,0,14,0.03125,-1.09375,0.0005482821388232074,0.0005875743050636266,3.8537476100343014e-07,4.111271309701386e-07
UNCHANGED_LEAF,AXIS,M2,936,7.179030087304731,15.259762982302368,6.902828557584553e-07,2.3516053978894414e-06,0.0018361085440082314,43,2,11,0.15625,0.71875,0.00031008492758989305,0.0003925620655735657,2.5823886838828662e-08,3.785754796652514e-08
UNCHANGED_LEAF,AXIS,Z2,936,7.179030087304731,15.259762982302368,0.00013599345230590678,0.0002329529464926777,0.01049053028716182,0,0,3,0.0625,-15.5625,0.00435237305214751,0.003907151127374717,0.00011847862617607806,0.00010605665098512457
UNCHANGED_LEAF,COARSE_FINE,C,4368,1002.2374691258008,2140.663784833697,0.2577615628111128,0.51475477946589,0.041721499453100844,74,3,30,10.21875,3.90625,0.016037023315289976,0.015506934873509265,0.006603174806174248,0.0058671747280184035
UNCHANGED_LEAF,COARSE_FINE,H2,4368,1002.2374691258008,2140.663784833697,0.002584643540680159,0.0050785407683432305,0.012176641198287156,39,28,0,11.78125,-3.96875,0.0016058871040917693,0.001540264268486267,0.00046154064700614064,0.0003963160870562748
UNCHANGED_LEAF,COARSE_FINE,M2,4368,1002.2374691258008,2140.663784833697,0.03953645294546221,0.07901115366996184,0.020605626004735023,27,31,28,4.984375,-0.109375,0.0062807793179558554,0.006075331366804616,0.001479081913095571,0.0012719687336300697
UNCHANGED_LEAF,COARSE_FINE,Z2,4368,1002.2374691258008,2140.663784833697,0.03417919430165121,0.06854192313475387,0.016709700011817596,74,3,29,10.21875,3.84375,0.005839767986647,0.005658533767238202,0.02977719821065961,0.03120512931559043
UNCHANGED_LEAF,MIXED_CORNER,C,2520,889.978837592342,1635.5549458195173,0.32356162047914777,0.613826495880038,0.2776561490339168,50,31,0,4.984375,0.015625,0.019067276347446847,0.01937270414594421,0.008288799607249707,0.006996394103911567
UNCHANGED_LEAF,MIXED_CORNER,H2,2520,889.978837592342,1635.5549458195173,0.013437992784493506,0.022427187531895192,0.044539951706940695,27,31,31,4.984375,-0.015625,0.003885772423393024,0.0037030095999712907,0.0023996267905425964,0.0017501592704980069
UNCHANGED_LEAF,MIXED_CORNER,M2,2520,889.978837592342,1635.5549458195173,0.02150462179071,0.044884498824582605,0.27396063406440524,50,31,0,4.984375,0.015625,0.004915594668320608,0.005238604610207982,0.0008045005246797364,0.000722577465050097
UNCHANGED_LEAF,MIXED_CORNER,Z2,2520,889.978837592342,1635.5549458195173,0.05752254247489666,0.1085686428717186,0.03309227000063932,71,31,2,9.96875,0.15625,0.008039502910847493,0.008147411190747569,0.05011411719477938,0.04942812202350237
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,C,1248,1458.7789137403217,2311.100455090448,0.6788440021424693,1.1530995699164455,0.04236445821795476,75,31,4,15.9375,0.5625,0.02157199217381588,0.02233695624757405,0.01739020187255164,0.013143028341616335
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,H2,1248,1458.7789137403217,2311.100455090448,0.044520769816762576,0.07470458179188433,0.01986146636983373,77,31,10,15.9375,5.3125,0.005524418793964365,0.005685441665398682,0.007950088506608046,0.005829750885428766
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,M2,1248,1458.7789137403217,2311.100455090448,0.00467358573359366,0.007647420317027593,0.0032811245959800395,42,30,3,15.8125,-3.5625,0.0017899065958207863,0.0018190643754168116,0.00017484158574860908,0.00012311273895351986
UNCHANGED_LEAF,PHYSICAL_BOUNDARY,Z2,1248,1458.7789137403217,2311.100455090448,0.13078148002040024,0.22171974654763385,0.018346286013044708,42,31,28,15.9375,-0.4375,0.009468438995477897,0.009794736910110477,0.1139379125932978,0.10094250418443114
UNCHANGED_LEAF,SAME_LEVEL_SEAM,C,15288,5244.954512846828,9725.537671779713,1.4867295760852737,2.9408962328580968,0.07818605814478544,71,31,4,9.96875,0.28125,0.016836240756984346,0.017389337650913356,0.038086110176149025,0.033520333843336234
UNCHANGED_LEAF,SAME_LEVEL_SEAM,H2,15288,5244.954512846828,9725.537671779713,0.007460320325688581,0.015552224238221545,0.01727525204063249,45,28,2,3.890625,0.078125,0.0011926358904350905,0.0012645600123213946,0.001332191853846611,0.0012136550509812022
UNCHANGED_LEAF,SAME_LEVEL_SEAM,M2,15288,5244.954512846828,9725.537671779713,0.033273270988872485,0.0648064381105413,0.014930594282274114,74,1,28,10.09375,3.78125,0.0025187025710086824,0.0025813819323025565,0.001244772599531274,0.0010432927401473864
UNCHANGED_LEAF,SAME_LEVEL_SEAM,Z2,15288,5244.954512846828,9725.537671779713,0.256998455683364,0.5126488661589059,0.03300728325067238,71,31,3,9.96875,0.21875,0.006999941229719835,0.0072602769966155075,0.22389919104521563,0.23339400808070013
