comparison,scope,field,exact_byte_equal,max_abs_change,max_relative_change,nonzero_changed_values,changed_values_above_roundoff,roundoff_threshold,max_change_flat_index
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,My,False,0.24001643740098366,1.9737402113429992,87427,23338,1.649256604436354e-13,31655
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,Mz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,det_gamma,False,5.8199948504089605e-05,1.1029887197496498e-05,43861,16383,3.0525767624111405e-13,31686
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,chi,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gtilde_xx,True,0.0,0.0,0,0,2.257619535478232e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gtilde_xy,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gtilde_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gtilde_yy,True,0.0,0.0,0,0,1.7588296773403726e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gtilde_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gtilde_zz,True,0.0,0.0,0,0,1.848800191024801e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Khat,True,0.0,0.0,0,0,1.0079479641541977e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Atilde_xx,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Atilde_xy,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Atilde_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Atilde_yy,True,0.0,0.0,0,0,2.4676115273526223e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Atilde_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Atilde_zz,True,0.0,0.0,0,0,2.5423553518173785e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Gamma_x,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Gamma_y,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Gamma_z,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Theta,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,alpha,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,beta_x,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,beta_y,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,beta_z,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,B_x,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,B_y,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,B_z,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,chi,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gtilde_xx,True,0.0,0.0,0,0,2.257619535478232e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gtilde_xy,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gtilde_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gtilde_yy,True,0.0,0.0,0,0,1.7588296773403726e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gtilde_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gtilde_zz,True,0.0,0.0,0,0,1.848800191024801e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Khat,True,0.0,0.0,0,0,1.0079479641541977e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Atilde_xx,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Atilde_xy,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Atilde_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Atilde_yy,True,0.0,0.0,0,0,2.4676115273526223e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Atilde_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Atilde_zz,True,0.0,0.0,0,0,2.5423553518173785e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Gamma_x,True,0.0,0.0,0,0,1.4210854715202004e-14,0
