axis_tau,coordinate_time_N128,coordinate_time_N256,coordinate_time_N512,field,N128,N256,N512,difference_128_256,difference_256_512,observed_order,monotone_decreasing_with_resolution
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,M-norm2,0.003538558618469342,1.8249862347692363e-05,2.091819029467804e-06,0.0035203087561216494,1.615804331822456e-05,7.767305655394171,True
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,Z-norm2,0.00014080572751322033,1.2036836671535052e-06,5.618922002209645e-07,0.00013960204384606682,6.417914669325407e-07,7.764999740059925,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,C-norm2,0.0031431045174001295,3.636763927238348e-05,1.867028020002399e-05,0.003106736878127746,1.7697359072359493e-05,7.455722161837093,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,H-norm2,0.001381986402503375,1.6414472267207467e-05,8.188637437726508e-06,0.0013655719302361675,8.225834829480959e-06,7.375127489834237,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,M-norm2,0.0010775669009790566,8.958793026490438e-06,3.0451196833988274e-06,0.0010686081079525661,5.91367334309161e-06,7.4974625985752885,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,Z-norm2,0.0001620295329682624,2.6961937803511913e-06,1.8538092879534062e-06,0.0001593333391879112,8.423844923977851e-07,7.563353577372771,True
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,C-norm2,0.004051288820499283,5.589897483231374e-05,3.25168061582273e-05,0.00399538984566697,2.3382168674086438e-05,7.416783724461534,True
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,H-norm2,0.0019175251536381738,2.2411455122673756e-05,1.1090949179468719e-05,0.0018951136985155001,1.1320505943205037e-05,7.387202158697605,True
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,M-norm2,0.001465780877974213,1.1980922459658135e-05,4.081298230658302e-06,0.0014537999555145548,7.899624228999833e-06,7.523829022641172,True
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,Z-norm2,0.00015517052476200278,5.301251184132189e-06,4.324532121637586e-06,0.0001498692735778706,9.76719062494603e-07,7.261545260902406,True
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,C-norm2,0.0044757091121558614,7.912850622517698e-05,5.294666926792404e-05,0.004396580605930685,2.618183695725294e-05,7.39167178631686,True
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,H-norm2,0.002209932557851842,2.6930167220435193e-05,1.422906003984523e-05,0.002183002390631407,1.2701107180589962e-05,7.425215634962065,True
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,M-norm2,0.0014399046403952484,1.2868496414561688e-05,5.193046857751945e-06,0.0014270361439806868,7.675449556809744e-06,7.538554907844912,True
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,Z-norm2,0.00019394351881307583,9.7412867374311e-06,8.36044927796717e-06,0.00018420223207564474,1.3808374594639301e-06,7.05960322550548,True
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,C-norm2,0.0037922913672684085,0.00020847470776808876,0.00017332462819629415,0.00358381665950032,3.5150079571794616e-05,6.671825068588013,True
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,H-norm2,0.002008787292189779,3.8547909951994914e-05,2.6170074929838374e-05,0.0019702393822377843,1.237783502215654e-05,7.314468117959977,True
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,M-norm2,0.0009946496924504462,1.4946387132873161e-05,9.490615552701857e-06,0.000979703305317573,5.455771580171304e-06,7.488417853906942,True
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,Z-norm2,0.00016898389707686038,3.8416807934357626e-05,3.4351880414502685e-05,0.00013056708914250276,4.064927519854941e-06,5.005417857082826,True
3.0,4.870037041942558,4.870038103710076,4.870036426146619,C-norm2,0.004966624916994824,0.0006979006095673802,0.0005660043860301564,0.0042687243074274435,0.00013189622353722383,5.016329827205986,True
3.0,4.870037041942558,4.870038103710076,4.870036426146619,H-norm2,0.002257033367829565,7.068194069036558e-05,5.240699730248607e-05,0.0021863514271391995,1.8274943387879508e-05,6.902514566608587,True
3.0,4.870037041942558,4.870038103710076,4.870036426146619,M-norm2,0.0008110136330611959,2.8193148141180783e-05,1.8565418576320275e-05,0.0007828204849200151,9.627729564860508e-06,6.345342080568556,True
3.0,4.870037041942558,4.870038103710076,4.870036426146619,Z-norm2,0.0002882124001620018,0.00014637077758280337,0.00012346431649956866,0.00014184162257919845,2.2906461083234717e-05,2.630454452102559,True
