cycle,time,rk_stage,max_abs_prescribed_shift_state
562,1.3429687500000063,2,0
562,1.3429687500000063,3,0
562,1.3429687500000063,4,0
563,1.3453125000000064,1,0
563,1.3453125000000064,2,0
563,1.3453125000000064,3,0
563,1.3453125000000064,4,0
564,1.3476562500000064,1,0
564,1.3476562500000064,2,0
564,1.3476562500000064,3,0
564,1.3476562500000064,4,0
565,1.3500000000000065,1,0
565,1.3500000000000065,2,0
565,1.3500000000000065,3,0
565,1.3500000000000065,4,0
566,1.3523437500000066,1,0
566,1.3523437500000066,2,0
566,1.3523437500000066,3,0
566,1.3523437500000066,4,0
567,1.3546875000000067,1,0
567,1.3546875000000067,2,0
567,1.3546875000000067,3,0
567,1.3546875000000067,4,0
568,1.3570312500000068,1,0
568,1.3570312500000068,2,0
568,1.3570312500000068,3,0
568,1.3570312500000068,4,0
569,1.3593750000000069,1,0
569,1.3593750000000069,2,0
569,1.3593750000000069,3,0
569,1.3593750000000069,4,0
570,1.361718750000007,1,0
570,1.361718750000007,2,0
570,1.361718750000007,3,0
570,1.361718750000007,4,0
571,1.3640625000000071,1,0
571,1.3640625000000071,2,0
571,1.3640625000000071,3,0
571,1.3640625000000071,4,0
572,1.3664062500000071,1,0
572,1.3664062500000071,2,0
572,1.3664062500000071,3,0
572,1.3664062500000071,4,0
573,1.3687500000000072,1,0
573,1.3687500000000072,2,0
573,1.3687500000000072,3,0
573,1.3687500000000072,4,0
574,1.3710937500000073,1,0
574,1.3710937500000073,2,0
574,1.3710937500000073,3,0
574,1.3710937500000073,4,0
575,1.3734375000000074,1,0
575,1.3734375000000074,2,0
575,1.3734375000000074,3,0
575,1.3734375000000074,4,0
576,1.3757812500000075,1,0
576,1.3757812500000075,2,0
576,1.3757812500000075,3,0
576,1.3757812500000075,4,0
577,1.3781250000000076,1,0
577,1.3781250000000076,2,0
577,1.3781250000000076,3,0
577,1.3781250000000076,4,0
578,1.3804687500000077,1,0
578,1.3804687500000077,2,0
578,1.3804687500000077,3,0
578,1.3804687500000077,4,0
579,1.3828125000000078,1,0
579,1.3828125000000078,2,0
579,1.3828125000000078,3,0
579,1.3828125000000078,4,0
