time,axisTau,dt,cycle,axisKret,axisLapse,max_abs_K,maxAbsKret,maxRefLev,nmb_total,C-Linf,C-rho,C-z,C-norm2,H-norm2,M-norm2,Z-norm2
24.217427321403886,10.08899623706052,0.005262155025343586,4668.0,2368.622127585772,0.15504523056715178,0.19755996437035878,14912.62136560748,5.0,212.0,3.1782900124206432,0.0,-2.25,6.843871367537223,5.198046926171332,1.6146574334362735,0.007662655171709272
24.23847462019726,10.092263169156292,0.005261626566508691,4672.0,2518.6038925559037,0.15539417921055781,0.19854784897062933,15695.630405780601,5.0,212.0,3.3618601599030753,0.0,-2.1875,7.160400422781563,5.45231676782005,1.6759839148439775,0.007891874460738349
24.25951980639125,10.09553726927119,0.005261098595208562,4676.0,2680.5422770037217,0.15575771931169022,0.19868138564955,16533.522054932364,5.0,212.0,3.4982849425035476,0.0,-2.1875,7.48902472916084,5.714630631799716,1.7414002719406303,0.008111285141150368
24.280562881798993,10.098818851766168,0.005260571056635514,4680.0,2855.245188829552,0.15613667341774232,0.19985126882187457,17453.40342650497,5.0,212.0,3.715364005612512,0.0,-2.125,7.831256254645414,5.986210233152465,1.8112036493020067,0.008319171334339048
24.301603848014267,10.102108248975817,0.005260043895929732,4684.0,3043.5191324905836,0.15653194055068156,0.19965096503370858,18230.827262150215,5.0,212.0,3.8305591943178294,0.0,-2.125,8.188821617695599,6.2685384193704135,1.885641469863031,0.008514627131872916
24.32264270641125,10.105405812879138,0.005259517058167132,4688.0,3246.153041960016,0.15694450279056588,0.2009921158936391,19302.076548055564,5.0,212.0,4.083378694044277,0.0,-2.0625,8.563583035628016,6.563278872494897,1.9649126414511076,0.008697566235697575
24.343679458144216,10.108711916907463,0.005258990488335464,4692.0,3463.897851029422,0.15737543181118985,0.2008032129271508,20011.717884157737,5.0,212.0,4.19098071481449,0.0,2.0,8.957451166113556,6.872188590067225,2.04916803398526,0.008868692524495259
24.364714104147097,10.11202695788829,0.005258464131299674,4696.0,3697.441057490079,0.1578258953563711,0.2019875332050062,21246.652117901274,5.0,212.0,4.466688345609289,0.0,2.0,9.372294969520139,7.197029112086815,2.138509360635599,0.009029438345968652
24.385746645132887,10.115351358123661,0.005257937931757865,4700.0,3947.375460896206,0.15829716366033297,0.20181014537799774,21948.89534355177,5.0,212.0,4.586473232518165,0.0,1.9375,9.809853296340934,7.53948153998327,2.2329860916803876,0.00918187789260087
24.406777081592836,10.118685567602062,0.0052574118341895066,4704.0,4214.161183972486,0.15879061583237264,0.20285076447453973,23292.6547384317,5.0,212.0,4.866020445624483,0.0,1.9375,10.271652504908715,7.901069471012687,2.3325905539748373,0.00932862286625823
24.427805413795436,10.122030066343326,0.005256885782797647,4708.0,4498.080032672521,0.15930774624376723,0.20266745671437292,24075.293558538968,5.0,212.0,4.996213196203144,0.0,1.875,10.758934056850045,8.283093128727948,2.437251856668777,0.009472706965200188
24.44883164178517,10.125385366877056,0.005256359721447037,4712.0,4799.18121969551,0.1598501709729173,0.20359140102644405,25445.574742607892,5.0,212.0,5.281930718250179,0.0,1.875,11.272595650480001,8.686577193727967,2.5468296770142387,0.009617464730841052
24.469855765381,10.128752016856495,0.005255833593600185,4716.0,5117.2174850296,0.16041963438222445,0.20338609306142363,26305.47203372458,5.0,212.0,5.420271395186583,0.0,1.8125,11.813148903736614,9.112234042850407,2.661109192128909,0.009766409151860642
24.490877784174582,10.132130601811367,0.005255307342253289,4720.0,5451.570713819144,0.161018015916196,0.2042155257009876,27710.376471287713,5.0,212.0,5.714729031072929,0.0,1.8125,12.380695733826277,9.560443164684557,2.7797985229774063,0.009923111294876307
24.511897697528266,10.135521748045361,0.005254780909873938,4724.0,5801.166301835818,0.1616473372237157,0.20397582392309746,28642.422573306612,5.0,212.0,5.858790983264537,0.0,1.75,12.974924269180358,10.031246312157322,2.9025299563783618,0.01009108423627758
24.532915504572813,10.138926125686144,0.005254254238342421,4728.0,6164.375785248068,0.16230976971723352,0.2047261112389252,30091.118435824865,5.0,212.0,6.1644512095445965,0.0,1.75,13.595123308226954,10.524356400132543,3.028865945664134,0.010273672795941975
24.553931204204915,10.142344451898158,0.005253727268898151,4732.0,6538.907677265199,0.16300764268667672,0.20444613565423014,31089.309928278693,5.0,212.0,6.3120709389851966,0.0,1.6875,14.24021205644874,11.039176261852948,3.158310503708503,0.010473950070576749
24.574944795084527,10.145777494271085,0.005253199942092679,4736.0,6921.68709453816,0.16374345208505012,0.20512421154931326,32590.708877272864,5.0,212.0,6.630871243231032,0.0,1.6875,14.908779313917458,11.574821261451023,3.2903261602259506,0.010694621546193678
24.595956275631995,10.149226074399044,0.005252672197750379,4740.0,7308.7256803417,0.16451987009487967,0.2048075610195901,33649.72184595286,5.0,212.0,6.780670719527803,0.0,1.625,15.599123783243673,12.130137672503178,3.424356240049206,0.010937937615498956
24.616965644025086,10.152691071667867,0.005252143974937729,4744.0,7694.984625505332,0.16533975556875752,0.20541036600430057,35210.78828347843,5.0,212.0,7.11353642936066,0.0,1.625,16.309285187720302,12.703707059571657,3.559851910900154,0.011205615587798382
24.637972898195876,10.156173427269426,0.005251615211941749,4748.0,8074.235356575786,0.16620616541222308,0.20507193390919248,36328.017382691796,5.0,212.0,7.265507876817149,0.0,1.5625,17.037054983546778,13.29382613527167,3.696303306034891,0.011498772687614685
24.658978035827616,10.159674148463058,0.0052510858462579395,4752.0,8438.924828218695,0.1671223669419097,0.20558459928177802,37951.68648414546,5.0,212.0,7.611794701437891,0.0,1.5625,17.779956183167567,13.898452262269357,3.8332740614889937,0.011817872017440223
24.67998105435156,10.163194313104356,0.005250555814587827,4756.0,8780.055466935872,0.16809185120506426,0.20525059141744603,39129.664405479496,5.0,212.0,7.767908316920123,0.0,1.5,18.535184660656974,14.515107462897262,3.970438766325008,0.01216268394108099
24.700981950943795,10.16673507446066,0.005250025052845885,4760.0,9087.093824178077,0.16911834718663465,0.20564442605008829,40812.343259945876,5.0,212.0,8.124768555825819,0.0,1.5,19.29950957507114,15.140738907746533,4.107622978840546,0.012532265779191231
24.721980722522126,10.170297666330276,0.005249493496175534,4764.0,9347.927072702287,0.1702058367550727,0.2053517137758084,42061.388631112946,5.0,212.0,8.289554422460833,0.0,1.4375,20.0691382271098,15.771541578324513,4.24484541588061,0.012924963080333508
24.742977365743062,10.173883408478313,0.005248961078973598,4768.0,9548.892771300149,0.17135857010494915,0.20558235411118353,43790.00869300035,5.0,212.0,8.651213652085358,0.0,-1.4375,20.839560406360107,16.402759019718314,4.3823614421731385,0.01333843605131873
24.7639718769989,10.177493712395858,0.005248427734922583,4772.0,9674.914935886132,0.17258108133939445,0.20537857509479315,45130.87427267428,5.0,212.0,8.832259364487976,0.0,1.375,21.605398368626414,17.028490312792684,4.520705854048809,0.013769715026727317
24.784964252414966,10.181130087380186,0.005247893397029931,4776.0,9709.788399067973,0.17387820369257856,0.20538426811954016,46879.45691765156,5.0,212.0,9.189182621843905,0.0,1.375,22.360299954981507,17.641544680038486,4.6607310383048945,0.01421528914141588
24.805954487847025,10.184794146921403,0.005247357997673415,4780.0,9636.66354933012,0.17525508371404586,0.20532804913174174,48345.664675664346,5.0,212.0,9.397476393920188,0.0,1.3125,23.096922738070813,18.23339816615108,4.803633933014484,0.014671232593869257
24.826942578878896,10.18848761536448,0.005246821468651704,4784.0,9438.794353463883,0.17671719351195003,0.2050273829870238,50071.360573068116,5.0,212.0,9.735395781362266,0.0,1.3125,23.807065036627012,18.794317906091287,4.950962100834032,0.015133372894434744
24.847928520820254,10.19221233479374,0.005246283741239188,4788.0,9100.623155780084,0.17827033986674054,0.20518650216464884,51710.81288686172,5.0,212.0,9.985427543861446,0.0,1.25,24.48200368492203,19.313726572492794,5.104586194167385,0.01559750496735672
24.868912308704697,10.195970272058371,0.005245744746244104,4792.0,8609.284490356606,0.17992066866184342,0.20447491234225754,53349.39049868258,5.0,212.0,10.284199861901541,0.0,1.25,25.113096969777125,19.780880282896412,5.266623935070463,0.0160596534298433
24.889893937288015,10.19976352582015,0.005245204414069054,4796.0,7956.6144101907985,0.18167466260937165,0.2049214703904561,55224.723528343944,5.0,212.0,10.593704992441582,0.0,1.1875,25.692702215859164,20.185924677235445,5.439300383854298,0.016516382164032534
24.910873401046732,10.20359433345629,0.005244662674772977,4800.0,7141.747624054794,0.18353912964704683,0.20381063626517246,56685.53943709575,5.0,212.0,10.825975394978485,0.0,1.1875,26.215438489000732,20.521372518111978,5.624731639623747,0.0169651447211429
24.93185069417689,10.20746507758754,0.005244119458133772,4804.0,6174.36624094837,0.18552117861130263,0.20447037298567514,58872.51553738461,5.0,212.0,11.215164008806166,0.0,1.125,26.67979211840359,20.78400765414721,5.824624893690247,0.01740466053288708
