time,resolution,radius,field,coordinate_inventory,proper_inventory,coordinate_volume,proper_volume,proper_rms_amplitude,common_lattice_spacing,q128_256_amplitude,q256_512_amplitude
1.0,n256,4.0,con_Z,3.578792927761456e-08,1.6071855222222334e-07,264.48283152409067,1097.4243484811007,1.2101681256691135e-05,0.25,4.060659168259509,4.048050847316153
1.0,n256,8.0,con_C,1.41135076112419e-05,6.711523159379469e-05,2138.0501503087035,6858.137251339018,9.892531922727041e-05,0.25,3.8796530718252553,4.067842295964966
1.0,n256,8.0,con_H,4.143066790500522e-06,2.0420055108348993e-05,2138.0501503087035,6858.137251339018,5.456640834545355e-05,0.25,4.050941289413962,4.327609315410351
1.0,n256,8.0,con_M,3.2844796390737025e-06,1.593768464675343e-05,2138.0501503087035,6858.137251339018,4.820693595457943e-05,0.25,3.898027137927404,4.09401908104025
1.0,n256,8.0,con_Z,1.28378077830151e-06,5.84562004427779e-06,2138.0501503087035,6858.137251339018,2.919525047654603e-05,0.25,3.7128315253670308,3.9209102940251506
1.0,n256,12.0,con_C,1.4118463674901515e-05,6.71282980906384e-05,7201.5121097320525,17520.017020770345,6.189927415793611e-05,0.25,3.8797048086785426,4.067806442012896
1.0,n256,12.0,con_H,4.14458190044157e-06,2.0424004574020233e-05,7201.5121097320525,17520.017020770345,3.41431186800083e-05,0.25,4.050941360766009,4.327534447165414
1.0,n256,12.0,con_M,3.285142307681851e-06,1.5939472719446847e-05,7201.5121097320525,17520.017020770345,3.016266519745956e-05,0.25,3.897975086027999,4.093845563401053
1.0,n256,12.0,con_Z,1.2843624990511934e-06,5.847149335923544e-06,7201.5121097320525,17520.017020770345,1.826858166966118e-05,0.25,3.7130899551414744,3.9209784582131917
1.0,n512,4.0,con_C,6.350717441832528e-10,2.856523621427182e-09,264.48283152409067,1097.4251993811815,1.6133605958351317e-06,0.25,4.062779378239511,4.017539729446396
1.0,n512,4.0,con_H,1.2997609880738778e-11,5.764536479486202e-11,264.48283152409067,1097.4251993811815,2.291895077028593e-07,0.25,4.6565152404063035,3.1197358157879997
1.0,n512,4.0,con_M,5.436353718899623e-11,2.470404578093202e-10,264.48283152409067,1097.4251993811815,4.744566931069672e-07,0.25,4.082304204526342,3.8239472664914627
1.0,n512,4.0,con_Z,1.3084875501069865e-10,5.873494325864616e-10,264.48283152409067,1097.4251993811815,7.315782959367199e-07,0.25,4.060659168259509,4.048050847316153
1.0,n512,8.0,con_C,5.0794106087291006e-08,2.3863601918128774e-07,2138.0501503087035,6858.138065693307,5.898816493375696e-06,0.25,3.8796530718252553,4.067842295964966
1.0,n512,8.0,con_H,1.0748356225374244e-08,5.0649653994867995e-08,2138.0501503087035,6858.138065693307,2.7175974695694137e-06,0.25,4.050941289413962,4.327609315410351
1.0,n512,8.0,con_M,1.1256611501207617e-08,5.4648737956242044e-08,2138.0501503087035,6858.138065693307,2.8228445087906947e-06,0.25,3.898027137927404,4.09401908104025
1.0,n512,8.0,con_Z,5.548093607317105e-09,2.548046597369693e-08,2138.0501503087035,6858.138065693307,1.9275274473577837e-06,0.25,3.7128315253670308,3.9209102940251506
1.0,n512,12.0,con_C,5.081613950711923e-08,2.3869434243211857e-07,7201.5121097320525,17520.017247436557,3.6910828886742673e-06,0.25,3.8797048086785426,4.067806442012896
1.0,n512,12.0,con_H,1.075415086273673e-08,5.0664708389145885e-08,7201.5121097320525,17520.017247436557,1.7005347418558196e-06,0.25,4.050941360766009,4.327534447165414
1.0,n512,12.0,con_M,1.12637137469902e-08,5.466801770012577e-08,7201.5121097320525,17520.017247436557,1.7664420661913626e-06,0.25,3.897975086027999,4.093845563401053
1.0,n512,12.0,con_Z,5.54973339601015e-09,2.5484723692364454e-08,7201.5121097320525,17520.017247436557,1.2060705139879217e-06,0.25,3.7130899551414744,3.9209784582131917
2.0,n128,4.0,con_C,6.394968619934021e-05,0.00029768202384902943,264.48283152409067,1071.9831400783414,0.0005269656748856676,0.25,4.069065579946925,3.9694338731548875
2.0,n128,4.0,con_H,5.333751451219181e-06,2.3857864712708364e-05,264.48283152409067,1071.9831400783414,0.00014918384913716637,0.25,3.866273644273656,3.750863687203869
2.0,n128,4.0,con_M,8.266931231591178e-06,3.940350053186693e-05,264.48283152409067,1071.9831400783414,0.0001917226509074722,0.25,4.19414864719087,3.9758521581463184
2.0,n128,4.0,con_Z,1.1416348155495023e-05,5.3103237357922985e-05,264.48283152409067,1071.9831400783414,0.00022256994656528627,0.25,4.093700601370172,4.008547984836712
2.0,n128,8.0,con_C,0.00471714045047336,0.021841184394905556,2138.0501503087035,6861.374378306019,0.0017841548073075648,0.25,3.8761451866855965,3.9791420242286017
2.0,n128,8.0,con_H,0.0010882073651938395,0.0051027091735255225,2138.0501503087035,6861.374378306019,0.0008623724029839962,0.25,4.001904625125646,4.051868899544645
2.0,n128,8.0,con_M,0.0006162263950760652,0.0029452442970769304,2138.0501503087035,6861.374378306019,0.0006551716603804165,0.25,3.8358128205232767,3.9709975770539994
2.0,n128,8.0,con_Z,0.0007121906246179376,0.0032638926576923897,2138.0501503087035,6861.374378306019,0.0006897034135239484,0.25,3.854713619247473,3.963692925274039
2.0,n128,12.0,con_C,0.004898853234531312,0.02231740210106324,7201.5121097320525,17512.52746275805,0.0011288790269286509,0.25,3.879060963249667,3.9870657739628057
2.0,n128,12.0,con_H,0.0011191176961862477,0.005184013285360278,7201.5121097320525,17512.52746275805,0.0005440748340383455,0.25,3.994937032229358,4.0577548712245335
2.0,n128,12.0,con_M,0.0006399763775405471,0.003007616127960385,7201.5121097320525,17512.52746275805,0.00041441626078261753,0.25,3.8441594410528928,3.973505464152517
2.0,n128,12.0,con_Z,0.0007422324269279468,0.003342504584291593,7201.5121097320525,17512.52746275805,0.000436879424180106,0.25,3.8591882194678373,3.973026492184098
2.0,n256,4.0,con_C,2.3030445683515988e-07,1.0566496703486328e-06,264.48283152409067,1071.9911576061563,3.139568112168225e-05,0.25,4.069065579946925,3.9694338731548875
2.0,n256,4.0,con_H,2.667078928565134e-08,1.1217676069463384e-07,264.48283152409067,1071.9911576061563,1.0229533899398622e-05,0.25,3.866273644273656,3.750863687203869
2.0,n256,4.0,con_M,2.4903422723003008e-08,1.1759956283011288e-07,264.48283152409067,1071.9911576061563,1.0473871758171992e-05,0.25,4.19414864719087,3.9758521581463184
2.0,n256,4.0,con_Z,3.948458568063693e-08,1.8216613725887213e-07,264.48283152409067,1071.9911576061563,1.3035816041881072e-05,0.25,4.093700601370172,4.008547984836712
2.0,n256,8.0,con_C,2.198775195584004e-05,0.00010129878769803545,2138.0501503087035,6861.323593735093,0.00012150612559764752,0.25,3.8761451866855965,3.9791420242286017
2.0,n256,8.0,con_H,4.291572939254077e-06,1.9879898043406156e-05,2138.0501503087035,6861.323593735093,5.382736561432357e-05,0.25,4.001904625125646,4.051868899544645
2.0,n256,8.0,con_M,3.0159511762982686e-06,1.4445477104435843e-05,2138.0501503087035,6861.323593735093,4.588407639081827e-05,0.25,3.8358128205232767,3.9709975770539994
2.0,n256,8.0,con_Z,3.4193630496218293e-06,1.559434072988711e-05,2138.0501503087035,6861.323593735093,4.7673776768193884e-05,0.25,3.854713619247473,3.963692925274039
2.0,n256,12.0,con_C,2.267029618978932e-05,0.00010308992613582306,7201.5121097320525,17512.50629065117,7.6724481482864e-05,0.25,3.879060963249667,3.9870657739628057
2.0,n256,12.0,con_H,4.486423660869561e-06,2.0392682183127144e-05,7201.5121097320525,17512.50629065117,3.412424279311713e-05,0.25,3.994937032229358,4.0577548712245335
2.0,n256,12.0,con_M,3.0677030981506163e-06,1.4581688125413135e-05,7201.5121097320525,17512.50629065117,2.885557617226623e-05,0.25,3.8441594410528928,3.973505464152517
2.0,n256,12.0,con_Z,3.5250179217092785e-06,1.5871178848401862e-05,7201.5121097320525,17512.50629065117,3.0104432219325924e-05,0.25,3.8591882194678373,3.973026492184098
2.0,n512,4.0,con_C,9.391114079925323e-10,4.306195062322015e-09,264.48283152409067,1071.9919699397901,2.0042462663490726e-06,0.25,4.069065579946925,3.9694338731548875
2.0,n512,4.0,con_H,1.4327057231602028e-10,6.189533756424039e-10,264.48283152409067,1071.9919699397901,7.598593325783005e-07,0.25,3.866273644273656,3.750863687203869
2.0,n512,4.0,con_M,1.0114756098360633e-10,4.750115737485172e-10,264.48283152409067,1071.9919699397901,6.656659301462255e-07,0.25,4.19414864719087,3.9758521581463184
2.0,n512,4.0,con_Z,1.5258619118188364e-10,7.032039222672222e-10,264.48283152409067,1071.9919699397901,8.099251334803411e-07,0.25,4.093700601370172,4.008547984836712
2.0,n512,8.0,con_C,8.827787240765424e-08,4.073071513484531e-07,2138.0501503087035,6861.316922157894,7.704727403544477e-06,0.25,3.8761451866855965,3.9791420242286017
2.0,n512,8.0,con_H,1.5569796231225467e-08,7.226799373065263e-08,2138.0501503087035,6861.316922157894,3.2454076777167467e-06,0.25,4.001904625125646,4.051868899544645
2.0,n512,8.0,con_M,1.2270190976338837e-08,5.874259439929139e-08,2138.0501503087035,6861.316922157894,2.9259898945370917e-06,0.25,3.8358128205232767,3.9709975770539994
2.0,n512,8.0,con_Z,1.4021024191358763e-08,6.40598755952754e-08,2138.0501503087035,6861.316922157894,3.055549372690349e-06,0.25,3.854713619247473,3.963692925274039
2.0,n512,12.0,con_C,8.930924156375471e-08,4.099807288257098e-07,7201.5121097320525,17512.50296488082,4.838465076045688e-06,0.25,3.879060963249667,3.9870657739628057
2.0,n512,12.0,con_H,1.6050808504335733e-08,7.35296482312114e-08,7201.5121097320525,17512.50296488082,2.049071596078989e-06,0.25,3.994937032229358,4.0577548712245335
2.0,n512,12.0,con_M,1.2402908487481744e-08,5.909070071139512e-08,7201.5121097320525,17512.50296488082,1.8368997670432955e-06,0.25,3.8441594410528928,3.973505464152517
