cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
16,0.085429473940138639,4,pre_ko_rhs,1.2602309336312738e-14,1.2602309336312738e-14,9,2,-11.0625,0
17,0.090685271887492799,1,pre_ko_rhs,1.0825426856215346e-14,1.0825426856215346e-14,9,26,14.625,0
17,0.090685271887492799,2,pre_ko_rhs,1.3077995931457061e-14,1.3077995931457061e-14,9,26,15.25,0
17,0.090685271887492799,3,pre_ko_rhs,1.0740365886107057e-14,1.0740365886107057e-14,9,0,-15.625,0
17,0.090685271887492799,4,pre_ko_rhs,1.2983695127827014e-14,1.2983695127827014e-14,9,2,-9.8125,0
18,0.095930866374041038,1,pre_ko_rhs,1.2847267812889714e-14,1.2847267812889714e-14,9,26,15.625,0
18,0.095930866374041038,2,pre_ko_rhs,1.3662942045696387e-14,1.3662942045696387e-14,9,0,-14.6875,0
18,0.095930866374041038,3,pre_ko_rhs,1.5861733787931802e-14,1.5861733787931802e-14,9,0,-15.6875,0
18,0.095930866374041038,4,pre_ko_rhs,1.5082951545087325e-14,1.5082951545087325e-14,9,0,-14.3125,0
19,0.10116672650257336,1,pre_ko_rhs,1.3903480654343344e-14,1.3903480654343344e-14,9,26,14.75,0
19,0.10116672650257336,2,pre_ko_rhs,1.1604549220321091e-14,1.1604549220321091e-14,9,0,-15.4375,0
19,0.10116672650257336,3,pre_ko_rhs,1.4715674531158758e-14,1.4715674531158758e-14,9,26,12.8125,0
19,0.10116672650257336,4,pre_ko_rhs,1.3793268752199778e-14,1.3793268752199778e-14,9,26,12.9375,0
20,0.10639331411190608,1,pre_ko_rhs,1.4103216567595121e-14,1.4103216567595121e-14,9,26,14.75,0
20,0.10639331411190608,2,pre_ko_rhs,1.4444990122714187e-14,1.4444990122714187e-14,9,26,14.6875,0
20,0.10639331411190608,3,pre_ko_rhs,1.3714275089739197e-14,1.3714275089739197e-14,9,2,-11.3125,0
20,0.10639331411190608,4,pre_ko_rhs,1.098445845211462e-14,1.098445845211462e-14,9,26,13.1875,0
21,0.11161108393511858,1,pre_ko_rhs,1.2763773657458378e-14,1.2763773657458378e-14,9,26,15.4375,0
21,0.11161108393511858,2,pre_ko_rhs,1.3400392289737319e-14,1.3400392289737319e-14,9,0,-12.3125,0
21,0.11161108393511858,3,pre_ko_rhs,1.4307474031687443e-14,1.4307474031687443e-14,9,26,15.0625,0
21,0.11161108393511858,4,pre_ko_rhs,1.2506748254839482e-14,1.2506748254839482e-14,9,24,10.4375,0
22,0.11682048375133736,1,pre_ko_rhs,1.0874773694643932e-14,1.0874773694643932e-14,9,26,13.5625,0
22,0.11682048375133736,2,pre_ko_rhs,1.2167180583691216e-14,1.2167180583691216e-14,9,26,15.75,0
22,0.11682048375133736,3,pre_ko_rhs,1.3179153797805647e-14,1.3179153797805647e-14,9,0,-15,0
22,0.11682048375133736,4,pre_ko_rhs,1.2165760127424814e-14,1.2165760127424814e-14,9,18,7.5,0
23,0.12202195453095942,1,pre_ko_rhs,1.1726527882794689e-14,1.1726527882794689e-14,9,24,11.75,0
23,0.12202195453095942,2,pre_ko_rhs,1.3322765001660766e-14,1.3322765001660766e-14,9,0,-15.375,0
23,0.12202195453095942,3,pre_ko_rhs,1.4669725587971797e-14,1.4669725587971797e-14,9,26,12.75,0
23,0.12202195453095942,4,pre_ko_rhs,1.2734855148546358e-14,1.2734855148546358e-14,9,26,13.5,0
24,0.12721396638945451,1,pre_ko_rhs,1.2608101192899249e-14,1.2608101192899249e-14,9,26,13.8125,0
24,0.12721396638945451,2,pre_ko_rhs,1.2470285013290503e-14,1.2470285013290503e-14,9,0,-14.0625,0
24,0.12721396638945451,3,pre_ko_rhs,1.2433195017435608e-14,1.2433195017435608e-14,9,2,-9.5,0
24,0.12721396638945451,4,pre_ko_rhs,1.3935214502836589e-14,1.3935214502836589e-14,9,2,-10.0625,0
25,0.13239681183590327,1,pre_ko_rhs,1.2551607773419059e-14,1.2551607773419059e-14,9,0,-13.75,0
25,0.13239681183590327,2,pre_ko_rhs,1.5073859739590233e-14,1.5073859739590233e-14,9,2,-10.6875,0
25,0.13239681183590327,3,pre_ko_rhs,1.35232373110399e-14,1.35232373110399e-14,9,24,11,0
25,0.13239681183590327,4,pre_ko_rhs,1.2015907908053164e-14,1.2015907908053164e-14,9,0,-14.25,0
26,0.13757096641176131,1,pre_ko_rhs,1.2900907293603747e-14,1.2900907293603747e-14,9,0,-13.4375,0
