order,metric,stencil_class,hierarchy_origin,magnitude,gid,i,j,rho,z
o6,M2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,8.906544994270456,30,7,28,5.1171875,-0.0546875
o6,M2,ACTIVE_ONLY,UNCHANGED_LEAF,0.01468808102512315,38,28,3,9.78125,-3.78125
o6,M2,AXIS,UNCHANGED_LEAF,0.0018361085440082314,43,2,11,0.15625,0.71875
o6,M2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.0020943224917483456,34,0,26,6.015625,-0.171875
o6,M2,COARSE_FINE,EXPLICIT_REFINED_CHILD,2.2437625842720226,51,2,4,5.0390625,0.0703125
o6,M2,COARSE_FINE,UNCHANGED_LEAF,0.020605626004735023,27,31,28,4.984375,-0.109375
o6,M2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.009079213099505087,32,0,0,6.015625,-1.984375
o6,M2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,4.508811957443461,30,2,29,5.0390625,-0.0390625
o6,M2,MIXED_CORNER,UNCHANGED_LEAF,0.27396063406440524,50,31,0,4.984375,0.015625
o6,M2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.0032811245959800395,42,30,3,15.8125,-3.5625
o6,M2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.004364932341695579,32,0,4,6.015625,-1.859375
o6,M2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,10.273596434468395,30,4,31,5.0703125,-0.0078125
o6,M2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.014930594282274114,74,1,28,10.09375,3.78125
o6,Z2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.0022214972032806746,60,28,28,7.890625,1.890625
o6,Z2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,0.0321698370873064,30,7,28,5.1171875,-0.0546875
o6,Z2,ACTIVE_ONLY,UNCHANGED_LEAF,0.031494555221808294,71,28,3,9.78125,0.21875
o6,Z2,AXIS,UNCHANGED_LEAF,0.01049053028716182,0,0,3,0.0625,-15.5625
o6,Z2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.0025989704513417772,60,28,31,7.890625,1.984375
o6,Z2,COARSE_FINE,EXPLICIT_REFINED_CHILD,0.006508744793781938,51,2,3,5.0390625,0.0546875
o6,Z2,COARSE_FINE,UNCHANGED_LEAF,0.016709700011817596,74,3,29,10.21875,3.84375
o6,Z2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.0027593489562590134,60,31,31,7.984375,1.984375
o6,Z2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,0.013385835338277433,51,2,2,5.0390625,0.0390625
o6,Z2,MIXED_CORNER,UNCHANGED_LEAF,0.03309227000063932,71,31,2,9.96875,0.15625
o6,Z2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.018346286013044708,42,31,28,15.9375,-0.4375
o6,Z2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.0014955461884229935,60,0,24,7.015625,1.765625
o6,Z2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,0.1426959260821539,30,7,30,5.1171875,-0.0234375
o6,Z2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.03300728325067238,71,31,3,9.96875,0.21875
