path	time	r_core	r_min	r_max	samples	measure	maximum	radius	r_over_r_core
shrinking_width	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	matched_source	7.26586870801773694e+03	1.22563308954544134e-01	1.18709826471147473e+00
shrinking_width	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	dB_dr	1.81604852342672345e+01	1.54862121170805833e-01	1.49993139773651540e+00
shrinking_width	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	d2B_dr2	5.41616302365747288e+02	1.84667398143428640e-01	1.78861316453319752e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	Ricci	5.15095610876692353e+03	1.13872838626589881e-01	1.17896063655218497e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	Riemann	5.36360382860466325e+03	1.14243246881714569e-01	1.18279558751602276e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	spin	3.33725714842945251e+01	1.39010089758460520e-01	1.43921435423444732e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	spin_derivative	3.91983976594601791e+03	1.15270287952742106e-01	1.19342886064302744e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	matched_source	1.03019122175338471e+04	1.13872838626589881e-01	1.17896063655218497e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	dB_dr	1.94124531791701465e+01	1.44886111623847569e-01	1.50005062179714632e+00
shrinking_width	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	d2B_dr2	6.18867497713542889e+02	1.72767751191414742e-01	1.78871783980238841e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	Ricci	1.41184635786607105e+04	9.16038269043816938e-02	1.15838165719089314e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	Riemann	1.46802184506243848e+04	9.19288009081771773e-02	1.16249113534024495e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	spin	6.47652957296823217e+01	1.11615383980208413e-01	1.41143899586150567e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	spin_derivative	1.07940369751302951e+04	9.28353073398171802e-02	1.17395441649369991e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	matched_source	2.82369271573214210e+04	9.16038269043816938e-02	1.15838165719089314e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	dB_dr	2.37104224796859562e+01	1.18610877009279456e-01	1.49990092023439514e+00
shrinking_width	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	d2B_dr2	9.23241833697042694e+02	1.41444576749645834e-01	1.78864583230727359e+00
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	6.08237320612648236e-01	2.49998474121093717e-01	8.33328247070312389e-01
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	8.71055890298100599e-01	2.15574645996093717e-01	7.18582153320312389e-01
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.45154947718682137e+00	2.49998474121093717e-01	8.33328247070312389e-01
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	9.69831455414159604e-01	3.59037780761718717e-01	1.19679260253906250e+00
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.21647464122529647e+00	2.49998474121093717e-01	8.33328247070312389e-01
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	0.00000000000000000e+00	8.99999999999999911e-01	3.00000000000000000e+00
frozen_wormhole	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	0.00000000000000000e+00	8.99999999999999911e-01	3.00000000000000000e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	Ricci	6.08237320551299643e-01	2.49996567211821286e-01	1.16299438476562500e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	Riemann	8.71055890217342088e-01	2.15572756919133690e-01	1.00285339355468750e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	spin	1.45154947711361770e+00	2.49996567211821286e-01	1.16299438476562500e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	spin_derivative	9.69831455657458763e-01	3.59024433255550335e-01	1.67019653320312500e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	matched_source	1.21647464110259929e+00	2.49996567211821286e-01	1.16299438476562500e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	dB_dr	0.00000000000000000e+00	6.44878179516410355e-01	3.00000000000000000e+00
frozen_wormhole	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	d2B_dr2	0.00000000000000000e+00	6.44878179516410355e-01	3.00000000000000000e+00
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	Ricci	6.08237320364834022e-01	2.50006365981746081e-01	1.62315303167673508e+00
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	Riemann	8.71055890101291364e-01	2.15579977702418546e-01	1.39964153713602868e+00
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	spin	1.45154947689111946e+00	2.50006365981746081e-01	1.62315303167673508e+00
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455694076583e-01	3.59031242354526048e-01	2.33099124178687234e+00
