cycle,time,tau_c,authority_event,authority_event_index,records,agrees,would_refine_earlier,would_derefine,would_not_refine,other,native_refine,native_derefine,native_same,max_raw_dchi,max_dchi_over_dx,strongest_gid,strongest_logical_location,strongest_physical_location
69,0.19204100096399782,0.11827603134780826,False,4,32,0,32,0,0,0,32,0,0,0.016902881413248638,0.21320505734805334,33,"[3, 2, 2, 0]","[8.125, -4.125]"
70,0.1945972235959881,0.11985037738067561,False,4,32,0,32,0,0,0,32,0,0,0.016902884726184977,0.2110931244081148,33,"[3, 2, 2, 0]","[8.125, -4.125]"
71,0.19715229621123415,0.12142401513610808,False,4,32,0,32,0,0,0,32,0,0,0.016902888082535313,0.20898030613738597,33,"[3, 2, 2, 0]","[8.125, -4.125]"
72,0.19970626934591007,0.12299697573876911,False,4,32,0,32,0,0,0,32,0,0,0.016902891482330557,0.206898130883248,33,"[3, 2, 2, 0]","[8.125, -4.125]"
73,0.2022591931759289,0.1245692900914424,False,4,32,0,32,0,0,0,32,0,0,0.016902894925603488,0.20487070727985163,33,"[3, 2, 2, 0]","[8.125, -4.125]"
74,0.20481111751873105,0.12614098887613348,False,4,32,0,32,0,0,0,32,0,0,0.01690289841238807,0.2028429639232825,33,"[3, 2, 2, 0]","[8.125, -4.125]"
75,0.20736209183469953,0.1277121025549413,False,4,32,0,32,0,0,0,32,0,0,0.016902901942721118,0.2008155088450921,33,"[3, 2, 2, 0]","[8.125, -4.125]"
76,0.20991216522823847,0.12928266137072253,False,4,32,0,32,0,0,0,32,0,0,0.01690290551664028,0.19878894551418033,33,"[3, 2, 2, 0]","[8.125, -4.125]"
77,0.2124613864485605,0.1308526953475765,False,4,32,0,32,0,0,0,32,0,0,0.016902909134185417,0.19676387342042703,33,"[3, 2, 2, 0]","[8.125, -4.125]"
78,0.2150098038902336,0.13242223429118194,False,4,32,0,32,0,0,0,32,0,0,0.016902912795396994,0.19474088866278733,33,"[3, 2, 2, 0]","[8.125, -4.125]"
79,0.21755746559354125,0.13399130778901897,False,4,32,0,32,0,0,0,32,0,0,0.016902916500318676,0.19272058453446744,33,"[3, 2, 2, 0]","[8.125, -4.125]"
80,0.22010425918528861,0.1355598466318804,False,4,32,0,32,0,0,0,32,0,0,0.01690292024875713,0.19070367875869842,33,"[3, 2, 2, 0]","[8.125, -4.125]"
81,0.22265022357948538,0.13712787478648727,False,4,32,0,32,0,0,0,32,0,0,0.016902924040737177,0.18869076669687412,33,"[3, 2, 2, 0]","[8.125, -4.125]"
82,0.2251954072582967,0.13869542211247068,False,4,32,0,32,0,0,0,32,0,0,0.01690292787629983,0.18668243448514224,33,"[3, 2, 2, 0]","[8.125, -4.125]"
83,0.22773985834412908,0.1402625182478916,False,4,32,0,32,0,0,0,32,0,0,0.016902931755486652,0.18467926745511498,33,"[3, 2, 2, 0]","[8.125, -4.125]"
84,0.23028362460169413,0.14182919261051197,False,4,32,0,32,0,0,0,32,0,0,0.016902935678341263,0.1826818506640559,33,"[3, 2, 2, 0]","[8.125, -4.125]"
85,0.23282675343987405,0.1433954743989436,False,4,32,0,32,0,0,0,32,0,0,0.016902939644908997,0.18069076941645157,33,"[3, 2, 2, 0]","[8.125, -4.125]"
86,0.235369291913394,0.1449613925936782,False,4,32,0,32,0,0,0,32,0,0,0.016902943655235203,0.17870660978032354,33,"[3, 2, 2, 0]","[8.125, -4.125]"
87,0.23791128672431522,0.14652697595800704,False,4,32,0,32,0,0,0,32,0,0,0.01690294770936848,0.17672995910181355,33,"[3, 2, 2, 0]","[8.125, -4.125]"
88,0.24045278422337063,0.1480922530388435,False,4,32,0,32,0,0,0,32,0,0,0.016902951807357475,0.17476140652158845,33,"[3, 2, 2, 0]","[8.125, -4.125]"
89,0.2429938304111714,0.14965725216746614,False,4,32,0,32,0,0,0,32,0,0,0.016902955949252032,0.17289160146599458,33,"[3, 2, 2, 0]","[8.125, -4.125]"
90,0.24553447093931727,0.15122200146020273,False,4,32,0,32,0,0,0,32,0,0,0.016902960135104075,0.1710421352563995,33,"[3, 2, 2, 0]","[8.125, -4.125]"
91,0.24807475111144556,0.15278652881907615,False,4,32,0,32,0,0,0,32,0,0,0.01690296436496566,0.16919963158091697,33,"[3, 2, 2, 0]","[8.125, -4.125]"
92,0.25061471588425344,0.1543508619324341,False,4,32,0,32,0,0,0,32,0,0,0.01690296863889093,0.1673646525147223,33,"[3, 2, 2, 0]","[8.125, -4.125]"
93,0.25315440986852494,0.1559150282755817,False,4,32,0,32,0,0,0,32,0,0,0.01690297295693466,0.16553776383466443,33,"[3, 2, 2, 0]","[8.125, -4.125]"
94,0.25569387733018983,0.1574790551114335,False,4,32,0,32,0,0,0,32,0,0,0.01690297731915338,0.16371953537610265,33,"[3, 2, 2, 0]","[8.125, -4.125]"
95,0.2582331528940576,0.15904296376505753,False,4,32,0,32,0,0,0,32,0,0,0.016902981725587223,0.16191054801655314,33,"[3, 2, 2, 0]","[8.125, -4.125]"
96,0.2607721334829545,0.16060669075256093,False,4,32,0,32,0,0,0,32,0,0,0.016902986176035927,0.16011148437674141,33,"[3, 2, 2, 0]","[8.125, -4.125]"
97,0.2633108635384723,0.16217026344504853,False,4,30,0,30,0,0,0,30,0,0,0.016902990670551787,0.10716848777077749,33,"[3, 2, 2, 0]","[8.125, -4.125]"
98,0.2658493871773136,0.16373370901353118,False,4,30,0,30,0,0,0,30,0,0,0.016902995209189673,0.10710458560458433,33,"[3, 2, 2, 0]","[8.125, -4.125]"
99,0.2683877481927827,0.16529705442984358,False,4,30,0,30,0,0,0,30,0,0,0.016902999792005026,0.10704015545679198,33,"[3, 2, 2, 0]","[8.125, -4.125]"
100,0.27092599005599294,0.1668603264673882,False,4,30,0,30,0,0,0,30,0,0,0.0169030044190541,0.10697519746761593,33,"[3, 2, 2, 0]","[8.125, -4.125]"
101,0.2734641559168352,0.1684235517017317,False,4,30,0,30,0,0,0,30,0,0,0.01690300909039437,0.10690971174234849,33,"[3, 2, 2, 0]","[8.125, -4.125]"
102,0.27600228860475556,0.16998675651108394,False,4,30,0,30,0,0,0,30,0,0,0.01690301380608355,0.1068436983519207,33,"[3, 2, 2, 0]","[8.125, -4.125]"
103,0.27854043062939204,0.17154996707669004,False,4,30,0,30,0,0,0,30,0,0,0.01690301856618128,0.10677715733349637,33,"[3, 2, 2, 0]","[8.125, -4.125]"
104,0.28107862418112,0.1731132093831664,False,4,30,0,30,0,0,0,30,0,0,0.01690302337074841,0.10671008869106247,33,"[3, 2, 2, 0]","[8.125, -4.125]"
