event,authority_time,resolution,field,time_before,time_after,tau_before,tau_after,value_before,value_after,ratio,abs_log10_jump,leaves_after,max_level_after,created,deleted
127,16.898725326520633,n256,C-norm2,16.898717037665058,16.898725326520633,10.38362632367599,10.383631532476931,415442.8102397665,433477.1461373924,1.0434099121542568,0.018454958103674642,878,15,6,0
127,16.898725326520633,n256,H-norm2,16.898717037665058,16.898725326520633,10.38362632367599,10.383631532476931,249752.56123119508,240766.7079534257,0.9640209764677801,0.015913516029645837,878,15,6,0
127,16.898725326520633,n256,M-norm2,16.898717037665058,16.898725326520633,10.38362632367599,10.383631532476931,165633.85026136108,192654.0393041754,1.1631320469830169,0.0656290217110096,878,15,6,0
127,16.898725326520633,n256,Z-norm2,16.898717037665058,16.898725326520633,10.38362632367599,10.383631532476931,12.606906205998506,12.606934035613829,1.0000022074896782,9.586995279253959e-07,878,15,6,0
128,16.898729470799385,n256,C-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,433477.1461373924,596959.2278046445,1.3771411783158594,0.13897846445494125,902,16,24,0
128,16.898729470799385,n256,H-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,240766.7079534257,241329.79065528244,1.002338706653603,0.0010145015455583842,902,16,24,0
128,16.898729470799385,n256,M-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,192654.0393041754,355573.03818316234,1.845655764433567,0.26615070343540276,902,16,24,0
128,16.898729470799385,n256,Z-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,12.606934035613829,12.606953777909474,1.0000015659870662,6.800990090883073e-07,902,16,24,0
129,16.898731564091,n256,C-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,433477.1461373924,596959.2278046445,1.3771411783158594,0.13897846445494125,908,16,6,0
129,16.898731564091,n256,H-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,240766.7079534257,241329.79065528244,1.002338706653603,0.0010145015455583842,908,16,6,0
129,16.898731564091,n256,M-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,192654.0393041754,355573.03818316234,1.845655764433567,0.26615070343540276,908,16,6,0
129,16.898731564091,n256,Z-norm2,16.898725326520633,16.898731564091,10.383631532476931,10.383635452229438,12.606934035613829,12.606953777909474,1.0000015659870662,6.800990090883073e-07,908,16,6,0
130,16.898732610730065,n256,C-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,596959.2278046445,627217.2954796419,1.0506869921188309,0.021473355569621315,914,16,6,0
130,16.898732610730065,n256,H-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,241329.79065528244,269964.6893369034,1.1186546368928123,0.048696027151695,914,16,6,0
130,16.898732610730065,n256,M-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,355573.03818316234,357196.2071127505,1.004564938156959,0.0019780161182864856,914,16,6,0
130,16.898732610730065,n256,Z-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,12.606953777909474,12.606968949486095,1.0000012034292256,5.226423575597351e-07,914,16,6,0
131,16.898733657366087,n256,C-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,596959.2278046445,627217.2954796419,1.0506869921188309,0.021473355569621315,920,16,6,0
131,16.898733657366087,n256,H-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,241329.79065528244,269964.6893369034,1.1186546368928123,0.048696027151695,920,16,6,0
131,16.898733657366087,n256,M-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,355573.03818316234,357196.2071127505,1.004564938156959,0.0019780161182864856,920,16,6,0
131,16.898733657366087,n256,Z-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,12.606953777909474,12.606968949486095,1.0000012034292256,5.226423575597351e-07,920,16,6,0
132,16.898734703998745,n256,C-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,596959.2278046445,627217.2954796419,1.0506869921188309,0.021473355569621315,926,16,6,0
132,16.898734703998745,n256,H-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,241329.79065528244,269964.6893369034,1.1186546368928123,0.048696027151695,926,16,6,0
132,16.898734703998745,n256,M-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,355573.03818316234,357196.2071127505,1.004564938156959,0.0019780161182864856,926,16,6,0
132,16.898734703998745,n256,Z-norm2,16.898731564091,16.89873575062778,10.383635452229438,10.383638083091626,12.606953777909474,12.606968949486095,1.0000012034292256,5.226423575597351e-07,926,16,6,0
133,16.89873679725293,n256,C-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,627217.2954796419,648316.6916250947,1.033639691216292,0.014369177649124747,932,16,6,0
133,16.89873679725293,n256,H-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,269964.6893369034,310255.4230391417,1.1492444578629961,0.0604124180779293,932,16,6,0
133,16.89873679725293,n256,M-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,357196.2071127505,338004.8694862835,0.946272280488104,0.023983881675099343,932,16,6,0
133,16.89873679725293,n256,Z-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,12.606968949486095,12.606986139212758,1.0000013635098755,5.921644112183181e-07,932,16,6,0
