target_gid,direction,offset,local_gid,local_k,local_j,local_i,rho,z,storage,local_value,owner_found,owner_gid,owner_k,owner_j,owner_i,owner_value,same_bits,ulp_difference,level
23,rho,0,23,0,5,21,5.2734375,-1.9765625,active,0.3264438247710329,true,23,0,5,21,0.3264438247710329,true,0,5
23,rho,1,23,0,5,22,5.2890625,-1.9765625,active,0.32280379814331894,true,23,0,5,22,0.32280379814331894,true,0,5
23,rho,2,23,0,5,23,5.3046875,-1.9765625,active,0.32109759892406564,true,23,0,5,23,0.32109759892406564,true,0,5
23,rho,3,23,0,5,24,5.3203125,-1.9765625,active,0.32161139621571599,true,23,0,5,24,0.32161139621571599,true,0,5
23,rho,4,23,0,5,25,5.3359375,-1.9765625,active,0.32196170557709453,true,23,0,5,25,0.32196170557709453,true,0,5
23,z,-4,23,0,1,21,5.2734375,-2.0390625,ghost,1.3251487640011199,false,-1,0,0,0,nan,false,-1,5
23,z,-3,23,0,2,21,5.2734375,-2.0234375,ghost,1778.5552110738349,false,-1,0,0,0,nan,false,-1,5
23,z,-2,23,0,3,21,5.2734375,-2.0078125,ghost,1778.2999828968079,false,-1,0,0,0,nan,false,-1,5
23,z,-1,23,0,4,21,5.2734375,-1.9921875,active,0.34652676131628113,true,23,0,4,21,0.34652676131628113,true,0,5
23,z,0,23,0,5,21,5.2734375,-1.9765625,active,0.3264438247710329,true,23,0,5,21,0.3264438247710329,true,0,5
23,z,1,23,0,6,21,5.2734375,-1.9609375,active,0.31347607210166345,true,23,0,6,21,0.31347607210166345,true,0,5
23,z,2,23,0,7,21,5.2734375,-1.9453125,active,0.31536770555772314,true,23,0,7,21,0.31536770555772314,true,0,5
23,z,3,23,0,8,21,5.2734375,-1.9296875,active,0.31685563806469541,true,23,0,8,21,0.31685563806469541,true,0,5
23,z,4,23,0,9,21,5.2734375,-1.9140625,active,0.31925687101811745,true,23,0,9,21,0.31925687101811745,true,0,5
44,rho,-4,44,0,66,16,5.1953125,1.9765625,active,0.31813197925379327,true,44,0,66,16,0.31813197925379327,true,0,5
44,rho,-3,44,0,66,17,5.2109375,1.9765625,active,0.31922694771463817,true,44,0,66,17,0.31922694771463817,true,0,5
44,rho,-2,44,0,66,18,5.2265625,1.9765625,active,0.32077337265269251,true,44,0,66,18,0.32077337265269251,true,0,5
44,rho,-1,44,0,66,19,5.2421875,1.9765625,active,0.32332062712375326,true,44,0,66,19,0.32332062712375326,true,0,5
44,rho,0,44,0,66,20,5.2578125,1.9765625,active,0.32662465642076849,true,44,0,66,20,0.32662465642076849,true,0,5
44,rho,1,44,0,66,21,5.2734375,1.9765625,active,0.32644387695176486,true,44,0,66,21,0.32644387695176486,true,0,5
44,rho,2,44,0,66,22,5.2890625,1.9765625,active,0.3228038135032843,true,44,0,66,22,0.3228038135032843,true,0,5
44,rho,3,44,0,66,23,5.3046875,1.9765625,active,0.32109759612998978,true,44,0,66,23,0.32109759612998978,true,0,5
44,rho,4,44,0,66,24,5.3203125,1.9765625,active,0.32161139632212404,true,44,0,66,24,0.32161139632212404,true,0,5
44,z,-4,44,0,62,20,5.2578125,1.9140625,active,0.31882440549563695,true,44,0,62,20,0.31882440549563695,true,0,5
44,z,-3,44,0,63,20,5.2578125,1.9296875,active,0.31642944732575051,true,44,0,63,20,0.31642944732575051,true,0,5
44,z,-2,44,0,64,20,5.2578125,1.9453125,active,0.31493604462755515,true,44,0,64,20,0.31493604462755515,true,0,5
44,z,-1,44,0,65,20,5.2578125,1.9609375,active,0.31302434877567148,true,44,0,65,20,0.31302434877567148,true,0,5
44,z,0,44,0,66,20,5.2578125,1.9765625,active,0.32662465642076849,true,44,0,66,20,0.32662465642076849,true,0,5
44,z,1,44,0,67,20,5.2578125,1.9921875,active,0.34092728419056378,true,44,0,67,20,0.34092728419056378,true,0,5
44,z,2,44,0,68,20,5.2578125,2.0078125,ghost,1820.5437866304298,false,-1,0,0,0,nan,false,-1,5
44,z,3,44,0,69,20,5.2578125,2.0234375,ghost,1820.8064357661103,false,-1,0,0,0,nan,false,-1,5
44,z,4,44,0,70,20,5.2578125,2.0390625,ghost,1.3251511160111056,false,-1,0,0,0,nan,false,-1,5
44,rho,-4,44,0,66,17,5.2109375,1.9765625,active,0.31922694771463817,true,44,0,66,17,0.31922694771463817,true,0,5
44,rho,-3,44,0,66,18,5.2265625,1.9765625,active,0.32077337265269251,true,44,0,66,18,0.32077337265269251,true,0,5
44,rho,-2,44,0,66,19,5.2421875,1.9765625,active,0.32332062712375326,true,44,0,66,19,0.32332062712375326,true,0,5
44,rho,-1,44,0,66,20,5.2578125,1.9765625,active,0.32662465642076849,true,44,0,66,20,0.32662465642076849,true,0,5
44,rho,0,44,0,66,21,5.2734375,1.9765625,active,0.32644387695176486,true,44,0,66,21,0.32644387695176486,true,0,5
44,rho,1,44,0,66,22,5.2890625,1.9765625,active,0.3228038135032843,true,44,0,66,22,0.3228038135032843,true,0,5
44,rho,2,44,0,66,23,5.3046875,1.9765625,active,0.32109759612998978,true,44,0,66,23,0.32109759612998978,true,0,5
44,rho,3,44,0,66,24,5.3203125,1.9765625,active,0.32161139632212404,true,44,0,66,24,0.32161139632212404,true,0,5
44,rho,4,44,0,66,25,5.3359375,1.9765625,active,0.32196170659815287,true,44,0,66,25,0.32196170659815287,true,0,5
44,z,-4,44,0,62,21,5.2734375,1.9140625,active,0.31925687085631199,true,44,0,62,21,0.31925687085631199,true,0,5
44,z,-3,44,0,63,21,5.2734375,1.9296875,active,0.31685563791594762,true,44,0,63,21,0.31685563791594762,true,0,5
44,z,-2,44,0,64,21,5.2734375,1.9453125,active,0.31536770473732623,true,44,0,64,21,0.31536770473732623,true,0,5
44,z,-1,44,0,65,21,5.2734375,1.9609375,active,0.31347606895593133,true,44,0,65,21,0.31347606895593133,true,0,5
44,z,0,44,0,66,21,5.2734375,1.9765625,active,0.32644387695176486,true,44,0,66,21,0.32644387695176486,true,0,5
44,z,1,44,0,67,21,5.2734375,1.9921875,active,0.3465263216226277,true,44,0,67,21,0.3465263216226277,true,0,5
44,z,2,44,0,68,21,5.2734375,2.0078125,ghost,1778.3442119081533,false,-1,0,0,0,nan,false,-1,5
44,z,3,44,0,69,21,5.2734375,2.0234375,ghost,1778.5994406760869,false,-1,0,0,0,nan,false,-1,5
44,z,4,44,0,70,21,5.2734375,2.0390625,ghost,1.3251511160111056,false,-1,0,0,0,nan,false,-1,5
