gid,level,lx1,lx2,k,j,i,rho,z,z4c_chi,z4c_gxx,z4c_gxy,z4c_gxz,z4c_gyy,z4c_gyz,z4c_gzz,z4c_Khat,z4c_Axx,z4c_Axy,z4c_Axz,z4c_Ayy,z4c_Ayz,z4c_Azz,z4c_Gamx,z4c_Gamy,z4c_Gamz,z4c_Theta,z4c_alpha,z4c_betax,z4c_betay,z4c_betaz,z4c_Bx,z4c_By,z4c_Bz
23,3,5,14,0,4,54,5.7890625,-1.9921875,0.37677708509840618,0.63069626002706669,0.033775696033087804,0,1.4714235721892786,0,1.0788876776437619,2.0284222374587864,-0.21489715360918238,-0.059053332867153918,0,1.0770094028435973,0,-0.42724592640830622,0.22658223394055099,16.369694917930836,0,-0.35904363589642274,0.68336505362169286,0,0,0,26.787046259063928,-14.451926991617361,0
23,3,5,14,0,4,55,5.8046875,-1.9921875,0.37611008340676955,0.63068827403313454,0.033975641058139321,0,1.4762157020967632,0,1.0754103677231002,2.0089384975808935,-0.19158903220160003,-0.061379504258804542,0,0.97114013346741312,0,-0.38607777895719753,0.25525800433736673,16.088273537488053,0,-0.40840072618818724,0.68360749193669679,0,0,0,26.824194372788664,-14.449939546878149,0
23,3,5,14,0,4,56,5.8203125,-1.9921875,0.37550197416451553,0.63080455255201029,0.034230641729395772,0,1.4805338172931441,0,1.0720920409610066,1.9978607956059049,-0.16942168023660384,-0.063805963537054144,0,0.86945921563876338,0,-0.34710459465603077,0.27121835167294378,15.818727538739706,0,-0.45917773338422851,0.6838506721172608,0,0,0,26.864624812121871,-14.447460734169942,0
23,3,5,14,0,4,57,5.8359375,-1.9921875,0.37495412944585771,0.63104503942937795,0.034535570979205156,0,1.4843677031651417,0,1.0689354663924449,1.9795113715867148,-0.14832828041130475,-0.066315748352729936,0,0.77188934971782941,0,-0.31022642719713117,0.29510258182749022,15.560216044566628,0,-0.50364211792352775,0.68409014705315152,0,0,0,26.90314226033664,-14.448342764257545,0
23,3,5,14,0,4,58,5.8515625,-1.9921875,0.3744694526034148,0.63141133541163952,0.034890098113349075,0,1.4876979760801567,0,1.0659480223387898,1.9687009635159813,-0.12827230723435817,-0.068922207339997987,0,0.67840708264155425,0,-0.27534956304443176,0.30796808398246089,15.311778236591602,0,-0.5493032221011912,0.68433016749676245,0,0,0,26.944645618964838,-14.448875355991666,0
23,3,5,14,0,4,59,5.8671875,-1.9921875,0.37404901362021853,0.63190370650021399,0.035289394748976778,0,1.490516260586668,0,1.0631315040476097,1.9511751937015669,-0.10918871741782273,-0.071610358240799241,0,0.58891261782532822,0,-0.24237353733226497,0.3278469727603196,15.072596282114269,0,-0.5891433699730918,0.68456666103152664,0,0,0,26.984584337971626,-14.452638186845302,0
23,3,5,14,0,4,60,5.8828125,-1.9921875,0.37369529566923948,0.63252384677392037,0.035732059807905989,0,1.4928059900036181,0,1.060491937163704,1.9404136530006932,-0.091040724997980035,-0.07439144465152088,0,0.50335774778638576,0,-0.21120343800849978,0.33821822478288799,14.841900625211943,0,-0.63000982129351535,0.68480352347825124,0,0,0,27.027241584005676,-14.456246695762362,0
23,3,5,14,0,4,61,5.8984375,-1.9921875,0.37340915680984144,0.63327237204059217,0.036212316418473812,0,1.494560299147442,0,1.0580304141985382,1.9234116234212499,-0.073765308072953256,-0.077253314760887939,0,0.42163136921890204,0,-0.18174573057385185,0.35471857932054091,14.618771688185527,0,-0.66550329355027604,0.68503701747806556,0,0,0,27.06864368399615,-14.462900847998398,0
23,3,5,14,0,4,62,5.9140625,-1.9921875,0.37319232723234458,0.63415276102674756,0.036727899453369857,0,1.4957630515411247,0,1.0557506772145098,1.9124921947847744,-0.057328417320746124,-0.080204038168516095,0,0.34367702421971857,0,-0.15391136122679511,0.36363687170574921,14.402744175680134,0,-0.70188690112597385,0.68527071820407215,0,0,0,27.112518362061564,-14.469504232299716,0
23,3,5,14,0,4,63,5.9296875,-1.9921875,0.3730449528487611,0.6351676070437442,0.037273730108443544,0,1.4964074495872004,0,1.0536517268112495,1.8957214524921238,-0.041675989419750564,-0.08323214695255092,0,0.26938391425786223,0,-0.12760922200683941,0.37785402169679333,14.193004984217932,0,-0.73329704609532209,0.6855011780623832,0,0,0,27.155432832502996,-14.47907863314455,0
23,3,5,14,0,4,64,5.9453125,-1.9921875,0.37296934096084966,0.63631762524957036,0.037849015140781275,0,1.496483683106689,0,1.0517388237186343,1.8844277125071291,-0.026773857117667648,-0.086345327427794633,0,0.19869033401419844,0,-0.10276141774983673,0.38486894945196254,13.989182690347366,0,-0.76548728800885568,0.68573170341660705,0,0,0,27.200582166628731,-14.488764268498858,0
23,3,5,14,0,4,65,5.9609375,-1.9921875,0.37296676588970801,0.63760121090743616,0.038446986434413848,0,1.4959920762356038,0,1.0500140723123739,1.867609695721971,-0.012570154985758317,-0.089531663045501766,0,0.1314853269735668,0,-0.079288188600835849,0.3962045551729369,13.789866158054867,0,-0.79304810237231205,0.68595908848731202,0,0,0,27.245031476854209,-14.501276075878978,0
23,3,5,14,0,4,66,5.9765625,-1.9921875,0.37303868959956427,0.63902206758266111,0.039059985044041561,0,1.4949204166893322,0,1.0484802009311507,1.8557478336065234,0.00096276967043410768,-0.092793038009988935,0,0.06771389787024254,0,-0.057119007612984732,0.4025046382197276,13.595117636326821,0,-0.82130090494805141,0.68618640296478972,0,0,0,27.291502094773495,-14.513960864141325,0
23,3,5,14,0,4,67,5.9921875,-1.9921875,0.37318675680778718,0.64058134674868927,0.039686044718408191,0,1.493263719769071,0,1.0471402624135533,1.838621104573271,0.013869163697612211,-0.096120270968323596,0,0.0072853141519019921,0,-0.036191631877709386,0.41127889229818476,13.405009543853829,0,-0.84520426589637021,0.68641065775814958,0,0,0,27.337525157783798,-14.529439730867006,0
23,3,5,14,0,5,4,5.0078125,-1.9765625,0.31132102838876502,0.54239841711874581,0.074330883575403614,0,1.9231160628320305,0,0.96379036870488788,-0.97484207396678857,-0.067630201196277454,-0.015579277821343725,0,0.60493627881560952,0,-0.18612373399385432,-0.8926299982291146,4.8959379144100481,0,0.87860643181806175,0.66778494865552285,0,0,0,24.985366331212063,-18.198371552192157,0
23,3,5,14,0,5,5,5.0234375,-1.9765625,0.31189966222912985,0.54135895756557351,0.073490548273068099,0,1.9253843833346092,0,0.96439155647538088,-0.99032170960583743,-0.075102518925406245,-0.015625878142942379,0,0.65993323950343585,0,-0.19992030258053012,-0.84646197755934527,4.8511557677697974,0,0.91056198412563183,0.66810930656158418,0,0,0,25.031644094172858,-18.133460920213931,0
