cycle,time_hex,rk_stage,tree_checksum,gamma0,gamma1,beta_stage,dt,dt_hex,candidate_min,min_gid,min_i,min_j,min_rho,min_z,nonpositive,nonfinite
26,0x1.7666666666669p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172943688679923,22,45,67,3.6484375,-0.0078125,0,0
26,0x1.7666666666669p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172943874881083,22,45,67,3.6484375,-0.0078125,0,0
27,0x1.7b33333333336p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33173032133178076,22,45,67,3.6484375,-0.0078125,0,0
27,0x1.7b33333333336p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172975880725641,22,45,67,3.6484375,-0.0078125,0,0
27,0x1.7b33333333336p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33173018089369916,22,45,67,3.6484375,-0.0078125,0,0
27,0x1.7b33333333336p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33173018275439126,22,45,67,3.6484375,-0.0078125,0,0
28,0x1.8000000000003p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33173107647434269,22,45,67,3.6484375,-0.0078125,0,0
28,0x1.8000000000003p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33173050683678135,22,45,67,3.6484375,-0.0078125,0,0
28,0x1.8000000000003p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33173093422670419,22,45,67,3.6484375,-0.0078125,0,0
28,0x1.8000000000003p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33173093608605458,22,45,67,3.6484375,-0.0078125,0,0
