cycle,time_hex,rk_stage,checkpoint,tree_checksum,active_fine_min,active_min_gid,active_min_i,active_min_j,active_min_rho,active_min_z,active_nonpositive,active_nonfinite,consumed_coarse_min,coarse_min_gid,coarse_min_i,coarse_min_j,coarse_min_rho,coarse_min_z,coarse_nonpositive,coarse_nonfinite,consumed_coarse_cells
5,0x1.f333333333332p-5,3,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.3317203795018821,19,56,67,3.640625,-0.015625,0,0,0.56367134333190383,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,3,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.3317203795018821,19,56,67,3.640625,-0.015625,0,0,0.56367133344756293,21,34,5,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,3,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.3317203795018821,19,56,67,3.640625,-0.015625,0,0,0.56367133344756293,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,3,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.3317203795018821,19,56,67,3.640625,-0.015625,0,0,0.56367133344756293,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,3,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.3317203795018821,19,56,67,3.640625,-0.015625,0,0,0.56367133344756293,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,4,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33172040948939907,32,56,4,3.640625,0.015625,0,0,0.56367133344756293,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,4,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33172040948939907,32,56,4,3.640625,0.015625,0,0,0.56367133318778484,21,34,5,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,4,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33172040948939907,32,56,4,3.640625,0.015625,0,0,0.56367133318778484,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,4,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33172040948939907,32,56,4,3.640625,0.015625,0,0,0.56367133318778484,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,4,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33172040948939907,32,56,4,3.640625,0.015625,0,0,0.56367133318778484,15,34,37,7.90625,-3.90625,0,0,4656
6,0x1.0ccccccccccccp-4,1,S0_AFTER_EXP_RK_UPDATE,f0da73a9e8b1abc5,0.33172164858602854,35,56,4,3.640625,0.015625,0,0,0.33514592756767941,24,0,35,3.890625,-0.015625,0,0,7392
6,0x1.0ccccccccccccp-4,1,S1_AFTER_RESTRICT_U,f0da73a9e8b1abc5,0.33172164858602854,35,56,4,3.640625,0.015625,0,0,0.33514592756767941,24,0,35,3.890625,-0.015625,0,0,7392
6,0x1.0ccccccccccccp-4,1,S2_AFTER_RECV_U,f0da73a9e8b1abc5,0.33172164858602854,35,56,4,3.640625,0.015625,0,0,0.33514711314169482,24,0,35,3.890625,-0.015625,0,0,7392
6,0x1.0ccccccccccccp-4,1,S3_AFTER_PHYSICAL_AXIS_BC,f0da73a9e8b1abc5,0.33172164858602854,35,56,4,3.640625,0.015625,0,0,0.33514711314169482,24,0,35,3.890625,-0.015625,0,0,7392
6,0x1.0ccccccccccccp-4,1,S4_BEFORE_PARENT_STENCIL_GATE,f0da73a9e8b1abc5,0.33172164858602854,35,56,4,3.640625,0.015625,0,0,0.33514711314169482,24,0,35,3.890625,-0.015625,0,0,7392
6,0x1.0ccccccccccccp-4,2,S0_AFTER_EXP_RK_UPDATE,f0da73a9e8b1abc5,0.33172086173120513,35,56,4,3.640625,0.015625,0,0,0.33514711314169482,24,0,35,3.890625,-0.015625,0,0,7392
6,0x1.0ccccccccccccp-4,2,S1_AFTER_RESTRICT_U,f0da73a9e8b1abc5,0.33172086173120513,35,56,4,3.640625,0.015625,0,0,0.33514711314169482,24,0,35,3.890625,-0.015625,0,0,7392
