domain,axisTau,resolution,field,shell,norm2,fraction_of_full,weighted_rho,weighted_z
Rout128,3.9871200871741763,n512,C,shell_12_16,2.5873685907402073e-10,7.61285527102919e-06,11.0,5.125
Rout128,3.9871200871741763,n512,C,shell_16_32,1.0101065711848986e-15,2.972052440563268e-11,16.0625,0.0625
Rout128,3.9871200871741763,n512,C,shell_32_64,3.0564087611651004e-17,8.992919536523749e-13,23.9375,23.9375
Rout128,3.9871200871741763,n512,C,shell_4_8,3.31851547911904e-05,0.9764120252374195,5.21875,0.0
Rout128,3.9871200871741763,n512,C,shell_64_120,3.48822361661642e-14,1.026345517268946e-09,119.5,0.5
Rout128,3.9871200871741763,n512,C,shell_8_12,4.1463072497622435e-07,0.012199744989803984,10.4375,0.0625
Rout128,3.9871200871741763,n512,C,shell_gt_120,1.4894870998772183e-08,0.0004382541304710773,127.5,-0.5
Rout128,3.9871200871741763,n512,H,shell_0_4,2.443794739150877e-07,0.1272658958517586,3.375,0.03125
Rout128,3.9871200871741763,n512,H,shell_12_16,1.7704019952102309e-10,9.21975124704859e-05,11.0,5.125
Rout128,3.9871200871741763,n512,H,shell_16_32,7.886754626703032e-18,4.1071980262921544e-12,16.9375,0.5
Rout128,3.9871200871741763,n512,H,shell_32_64,7.77791727067127e-18,4.050518619484315e-12,23.6875,-23.9375
Rout128,3.9871200871741763,n512,H,shell_4_8,1.509441206587958e-06,0.7860741506413229,5.21875,0.09375
Rout128,3.9871200871741763,n512,H,shell_64_120,1.263316418997081e-17,6.578993449497435e-12,119.5,0.5
Rout128,3.9871200871741763,n512,H,shell_8_12,1.6559079645768956e-07,0.08623498822702469,10.4375,0.0625
Rout128,3.9871200871741763,n512,H,shell_gt_120,6.389897921464672e-10,0.000332767752687385,128.0,0.5
Rout128,3.9871200871741763,n512,M,shell_0_4,7.096591516830661e-08,0.0035530428190265265,3.40625,0.03125
Rout128,3.9871200871741763,n512,M,shell_12_16,5.403631881697537e-12,2.705430544845937e-07,12.0625,3.125
Rout128,3.9871200871741763,n512,M,shell_16_32,2.6070605377980005e-18,1.305274186998363e-13,15.9375,1.5
Rout128,3.9871200871741763,n512,M,shell_32_64,1.6114972234362872e-18,8.068265763968606e-14,23.8125,-23.9375
Rout128,3.9871200871741763,n512,M,shell_4_8,1.9774381325474988e-05,0.9900418165895637,5.15625,-0.0625
Rout128,3.9871200871741763,n512,M,shell_64_120,4.441564398674694e-18,2.223753255986026e-13,119.5,-2.0
Rout128,3.9871200871741763,n512,M,shell_8_12,1.277832001883099e-07,0.006397707698752662,10.125,-1.3125
Rout128,3.9871200871741763,n512,M,shell_gt_120,1.4305559754653346e-10,7.162349169721673e-06,123.0,0.5
Rout128,3.9871200871741763,n512,Z,shell_0_4,1.0431541465146723e-08,0.021927132822029197,3.28125,-0.03125
Rout128,3.9871200871741763,n512,Z,shell_12_16,1.8743300264086312e-11,3.939847584242094e-05,12.8125,0.375
Rout128,3.9871200871741763,n512,Z,shell_16_32,1.0355646631212356e-17,2.1767601643464177e-11,24.25,0.75
Rout128,3.9871200871741763,n512,Z,shell_32_64,1.9118446013351844e-18,4.0187033381999226e-12,48.0,-0.25
Rout128,3.9871200871741763,n512,Z,shell_4_8,4.3476795227136416e-07,0.9138835969801481,5.21875,-0.03125
Rout128,3.9871200871741763,n512,Z,shell_64_120,1.524822437641392e-16,3.2051815383070865e-10,120.0,0.0
Rout128,3.9871200871741763,n512,Z,shell_8_12,2.7101507606488483e-08,0.05696745384660647,10.5625,-0.0625
Rout128,3.9871200871741763,n512,Z,shell_gt_120,3.416939500599438e-09,0.007182417529069196,127.5,-0.5
