elapsed=4.056720e+02 cycle=770 time=3.183504e+00 dt=4.129679e-03
elapsed=4.095069e+02 cycle=780 time=3.224800e+00 dt=4.129562e-03
elapsed=4.133435e+02 cycle=790 time=3.266095e+00 dt=4.129446e-03
elapsed=4.171794e+02 cycle=800 time=3.307389e+00 dt=4.129329e-03
elapsed=4.210156e+02 cycle=810 time=3.348682e+00 dt=4.129213e-03
elapsed=4.248518e+02 cycle=820 time=3.389973e+00 dt=4.129097e-03
elapsed=4.286870e+02 cycle=830 time=3.431264e+00 dt=4.128981e-03
elapsed=4.325236e+02 cycle=840 time=3.472553e+00 dt=4.128866e-03
elapsed=4.512804e+02 cycle=850 time=3.513841e+00 dt=4.128750e-03
elapsed=4.551152e+02 cycle=860 time=3.555128e+00 dt=4.128635e-03
elapsed=4.591341e+02 cycle=870 time=3.596414e+00 dt=4.128519e-03
elapsed=4.629679e+02 cycle=880 time=3.637699e+00 dt=4.128404e-03
elapsed=4.668033e+02 cycle=890 time=3.678982e+00 dt=4.128289e-03
elapsed=4.709753e+02 cycle=900 time=3.720265e+00 dt=4.128174e-03
elapsed=4.748116e+02 cycle=910 time=3.761546e+00 dt=4.128058e-03
elapsed=4.786479e+02 cycle=920 time=3.802826e+00 dt=4.127943e-03
elapsed=4.824829e+02 cycle=930 time=3.844105e+00 dt=4.127828e-03
elapsed=4.863171e+02 cycle=940 time=3.885382e+00 dt=4.127712e-03
elapsed=4.901515e+02 cycle=950 time=3.926659e+00 dt=4.127597e-03
elapsed=4.939876e+02 cycle=960 time=3.967935e+00 dt=4.127481e-03
elapsed=5.127736e+02 cycle=970 time=4.009209e+00 dt=4.127365e-03
elapsed=5.166097e+02 cycle=980 time=4.050482e+00 dt=4.127249e-03
elapsed=5.204449e+02 cycle=990 time=4.091754e+00 dt=4.127133e-03
elapsed=5.242807e+02 cycle=1000 time=4.133025e+00 dt=4.127017e-03
elapsed=5.281185e+02 cycle=1010 time=4.174294e+00 dt=4.126900e-03
reference-GH controlled Schwarzschild final: time=4.200000e+00 state Linf=1.924428e+00 bad-state=0.000000e+00

Terminating on time limit
time=4.200000e+00 cycle=1017
tlim=4.200000e+00 nlim=-1

MeshBlock-cycles = 333576
cpu time used  = 5.285467e+02
zone-cycles/cpu_second = 2.068052e+07
particle-updates/cpu_second = 0.000000e+00
real 551.52
user 0.03
sys 0.04
