case_id,gauge,resolution,target,accepted_cycle,checkpoint_sha256,dt,minimum_lapse,minimum_chi,minimum_metric_minor,maximum_shift,maximum_conformal_gamma,invalid_points
candidate_c_r1,candidate_c,R1,0.5,65,355578231a5e72ebcfbe20e5e942f9f617aefef6149cd5c9779a1ade1d56db4e,0.0078125,0.014318275578567557,0.00019299683819735201,1.1246293644587169,0.004118984991857214,0.026829402947315385,0.0
candidate_c_r1,candidate_c,R1,1.0,129,1b09d05ba802dc6c55594edc57d1a8f17bfce2f12d6d9b26eab79a03091df5ab,0.0078125,0.014750374325530804,0.00018913296633051485,1.1246298318874894,0.015437693633477417,0.05582532451332502,0.0
candidate_c_r1,candidate_c,R1,2.0,257,522e7838a9f5b4cb197a5f58578fa8058eba89656bf4fd980efe9085b496a3ed,0.0078125,0.017120391973154542,0.0002063709082054692,1.124631820266599,0.042029983524999516,0.11250531142813912,0.0
candidate_c_r1,candidate_c,R1,5.0,641,5055bbbe8cc12f6d0d0f14de21e5bd2d828e77c9079df331c241ccd8433a6242,0.0078125,0.11106690776144248,0.0008177122917769163,1.1246497868003473,0.15342121073500203,0.3438816283756325,0.0
candidate_c_r1,candidate_c,R1,10.0,1281,d7cc5307faa4c4cef7bf5f779e67ed3503f8dbe600713eff4cd19fe043b74532,0.0078125,0.03309199013111449,0.0029544978702526342,1.1248559666024822,0.21168061642219127,0.44879832032558054,0.0
standard_r2,standard,R2,0.0,0,,0.005208333333333304,0.006846958479656029,4.688084042213362e-05,1.123245147055538,0.0,8.422576566360023e-15,0.0
standard_r2,standard,R2,0.1,20,62d3cc1660c178c23df15de68c8f85c72765841a4ff7d2ea5cf972c41eb2b2c8,0.0020833333333345194,0.006853824158237564,4.618909371524316e-05,1.123245147157437,5.5524689087251865e-05,0.0017288834968048545,0.0
standard_r2,standard,R2,0.25,49,5e15cf5cae3d3bd6517f790d263e225944ba76f11ac256407b38d61b068e175b,0.005208333333333304,0.006865207040518946,4.516855957912791e-05,1.123245151635243,0.0007375126809816285,0.009397933798050071,0.0
standard_r2,standard,R2,0.5,98,ef833825f9f11b7d59d01f7bd7add562ecaf9c2069e669d60e4cc8f051b487e3,1.7763568394002505e-15,0.006903213035988141,4.361857687965105e-05,1.1232452004140685,0.004133420639668828,0.026853958752523447,0.0
standard_r2,standard,R2,1.0,195,cbf396568dfe217870977fe59eff6060a614d3ab1809d322f1b4dce570d6f354,1.4210854715202004e-14,0.007119764992721244,4.162547487211764e-05,1.1232454151147744,0.015477040570574998,0.05574776202020454,0.0
standard_r2,standard,R2,2.0,388,853060353a1c07cacaf33aa4bc3f3acd6380bda68d10ab5971bf062a41a12040,2.842170943040401e-14,0.008310709527239158,4.4055571599499765e-05,1.123246608780181,0.04185213991517809,0.11268000312614407,0.0
standard_r2,standard,R2,5.0,964,1353bce3793655b6caa21fbdfe0d3c1255902b1c0a70061075a2c7f57d6772dc,0.005208333333333304,0.05932621947540286,0.00023199443893623912,1.123264031344115,0.15433892146559447,0.3503734989243081,0.0
standard_r2,standard,R2,10.0,1924,e0afe8f96a6b893b83b6d91fec461ae62e46539d288a249310e1644fe3419c9f,0.005208333333333304,0.02537871816767633,0.0013398180647133193,1.123506627588498,0.2117840238013547,0.42152779823782216,0.0
candidate_a_r2,candidate_a,R2,0.0,0,,0.005208333333333304,0.006846958479656029,4.688084042213362e-05,1.123245147055538,0.0,8.422576566360023e-15,0.0
candidate_a_r2,candidate_a,R2,0.1,20,8313d464eadb22dc247fd99ec804a1b362a39981049318e26bc38a478a80f467,0.0020833333333345194,0.006853813945110564,4.618904839566467e-05,1.1232451471571168,6.685222620272809e-07,0.0017842499469296908,0.0
candidate_a_r2,candidate_a,R2,0.25,49,db155b74efd2112553199c713eb560c5849f24a1568b97df2c71a8e745754907,0.005208333333333304,0.006864007058056358,4.516149892774568e-05,1.1232451515917137,9.737008597687507e-06,0.01116452386851529,0.0
candidate_a_r2,candidate_a,R2,0.5,98,3b000999a97657799695c24c79dbb94b4f4ab3e4d38eee4a4aa5035b49964527,1.7763568394002505e-15,0.006880739375059181,4.347504559223666e-05,1.1232451995447017,6.990957191524324e-05,0.044827883127179925,0.0
candidate_a_r2,candidate_a,R2,1.0,195,def3223b4da7f58d4939732d2a348c47686161378144c173bd3dc6150a9c0497,1.4210854715202004e-14,0.006913151216767695,4.019430807973111e-05,1.1232454104592808,0.0004656629133217433,0.1816294087332234,0.0
candidate_a_r2,candidate_a,R2,2.0,388,9caff294eb0086f6279ecb63112a207a8af619da461f27b11437984864769719,2.842170943040401e-14,0.006973342417927051,3.3960108883754274e-05,1.1232465782069174,0.0028987811223491057,0.7541070838695679,0.0
candidate_a_r2,candidate_a,R2,5.0,964,55ccdab911d24cac5eff532ea3086ddb5a03d4adf48fad378df289bfa8f4e39b,0.005208333333333304,0.007131634527377325,1.698069687617915e-05,1.1232635219300293,0.03112595900579086,4.932187875759041,0.0
candidate_c_r2,candidate_c,R2,0.0,0,,0.005208333333333304,0.006846958479656029,4.688084042213362e-05,1.123245147055538,0.0,8.422576566360023e-15,0.0
candidate_c_r2,candidate_c,R2,0.1,20,872505b87332bb56eefd71384fe11e5e0b9e4c0d10ee36c8cee74a67db7c7931,0.0020833333333345194,0.006853824174792744,4.618909389250238e-05,1.1232451474016143,5.541572139982286e-05,0.0017286275184084602,0.0
candidate_c_r2,candidate_c,R2,0.25,49,1be4d720cb6bee5ba870004205fc9a54582a9255cd31c57dae1726863c6399e5,0.005208333333333304,0.00686520687013148,4.516855869193253e-05,1.123245154459578,0.0007356402111728159,0.009392760808567626,0.0
candidate_c_r2,candidate_c,R2,0.5,98,23072b90a596691798a72b761cdb218d26416c4d33790d25cf7fd3e14e771145,1.7763568394002505e-15,0.006903191056868569,4.361843607889657e-05,1.1232452461643359,0.004119016620645891,0.026832012785367274,0.0
candidate_c_r2,candidate_c,R2,1.0,195,1ec12d14756ae0dddf1c2d1eac591b551082ecfb9f7c9665342058207b239712,1.4210854715202004e-14,0.007119291240849457,4.162217109461803e-05,1.1232458442528244,0.015437281063832792,0.05582517610992076,0.0
candidate_c_r2,candidate_c,R2,2.0,388,fbe9d44029a302062591ce66cc5f603a4f9e7de91d0698da9d70a15d17181296,2.842170943040401e-14,0.008311021428724545,4.4059907490130296e-05,1.1232481808427242,0.04203035461699397,0.1125067846194436,0.0
candidate_c_r2,candidate_c,R2,5.0,964,6941b77c61d2fbedd903e9b77044829f06f7525ec2e8ceae4460aa2be8738842,0.005208333333333304,0.05941902056998132,0.00023222739923413124,1.1232669303451512,0.15341718373389218,0.34385997750113495,0.0
